time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.107,599.6057,4.6292,250.0096,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.212,599.2070,4.2861,250.0151,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.320,598.7861,3.9291,250.0192,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.420,598.2927,3.5139,250.0229,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.528,597.7341,3.0463,250.0294,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.633,596.9876,2.4230,250.0522,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.745,596.3090,1.8570,250.0890,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.851,595.4349,1.1280,250.1567,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.958,594.6620,0.4832,250.2331,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.064,593.8527,-0.1920,250.3267,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.168,593.0106,-0.8947,250.4366,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.279,591.9612,-1.7706,250.5882,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.382,591.0579,-2.5248,250.7295,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.483,590.2679,-3.2365,250.8609,358.8414,180.0000,0.0037,358.8414,180.0000,0.0037
1.591,589.6235,-3.8392,250.9845,354.8419,179.9993,0.0134,354.8419,179.9993,0.0134
1.698,589.2307,-4.0924,251.0812,352.5706,179.9988,0.0135,352.5706,179.9988,0.0135
1.805,588.9124,-4.1941,251.1786,351.3279,179.9985,0.0061,351.3279,179.9985,0.0061
1.908,588.6379,-4.2176,251.2746,350.7043,179.9985,359.9923,350.7043,179.9985,359.9923
2.011,588.3414,-4.2248,251.3833,350.7043,179.9985,359.9923,350.7043,179.9985,359.9923
2.117,588.1102,-4.2564,251.4649,350.7043,179.9985,359.9923,350.7043,179.9985,359.9923
2.226,587.8870,-4.3281,251.5373,350.7043,179.9985,359.9923,350.7043,179.9985,359.9923
2.337,587.6252,-4.4670,251.6134,350.7043,179.9985,359.9923,350.7043,179.9985,359.9923
2.445,587.4100,-4.6166,251.6702,350.7043,179.9985,359.9923,350.7043,179.9985,359.9923
2.552,587.1536,-4.8194,251.7339,350.7043,179.9985,359.9923,350.7043,179.9985,359.9923
2.657,586.9407,-4.9953,251.7854,350.7043,179.9985,359.9923,350.7043,179.9985,359.9923
2.764,586.7280,-5.1698,251.8369,350.7043,179.9985,359.9923,350.7043,179.9985,359.9923
2.870,586.4727,-5.3718,251.8997,350.7043,179.9985,359.9924,350.7043,179.9985,359.9924
2.977,586.2600,-5.5329,251.9530,350.7043,179.9985,359.9924,350.7043,179.9985,359.9924
3.084,586.0470,-5.6883,252.0070,350.7043,179.9985,359.9923,350.7043,179.9985,359.9923
3.191,585.7912,-5.8698,252.0722,350.7608,179.9984,359.7436,350.7608,179.9984,359.7436
3.298,585.5784,-6.0188,252.1267,350.7830,179.9983,359.6643,350.7830,179.9983,359.6643
3.399,585.3655,-6.1675,252.1812,350.8992,179.9973,359.4379,350.8992,179.9973,359.4379
3.511,585.1104,-6.3465,252.2470,350.9818,179.9964,359.2987,350.9818,179.9964,359.2987
3.620,584.8976,-6.4965,252.3019,351.1468,179.9941,359.0958,351.1468,179.9941,359.0958
3.725,584.6850,-6.6471,252.3576,351.2588,179.9922,358.9675,351.2588,179.9922,358.9675
3.833,584.4302,-6.8280,252.4257,351.5693,179.9857,358.6774,351.5693,179.9857,358.6774
3.937,584.2183,-6.9783,252.4841,351.6988,179.9825,358.5742,351.6988,179.9825,358.5742
4.038,584.0062,-7.1277,252.5440,351.8988,179.9772,358.4269,351.8988,179.9772,358.4269
4.138,583.7944,-7.2755,252.6059,352.1039,179.9713,358.2899,352.1039,179.9713,358.2899
4.240,583.5827,-7.4211,252.6694,352.3334,179.9641,358.1638,352.3334,179.9641,358.1638
4.344,583.3711,-7.5640,252.7349,352.6380,179.9539,358.0142,352.6380,179.9539,358.0142
4.449,583.1595,-7.7036,252.8022,352.8734,179.9455,357.9282,352.8734,179.9455,357.9282
4.551,582.9058,-7.8658,252.8858,353.1877,179.9337,357.8333,353.1877,179.9337,357.8333
4.652,582.6944,-7.9958,252.9572,353.5235,179.9208,357.7772,353.5235,179.9208,357.7772
4.753,582.4827,-8.1204,253.0302,353.8576,179.9076,357.7443,353.8576,179.9076,357.7443
4.948,582.1013,-8.3283,253.1640,354.4942,179.8825,357.7741,354.4942,179.8825,357.7741
5.053,581.8466,-8.4535,253.2542,355.0123,179.8626,357.8511,355.0123,179.8626,357.8511
5.156,581.6343,-8.5485,253.3290,355.4228,179.8475,357.9490,355.4228,179.8475,357.9490
5.266,581.4218,-8.6342,253.4029,355.8293,179.8333,358.0761,355.8293,179.8333,358.0761
5.368,581.2090,-8.7098,253.4752,356.2411,179.8200,358.2318,356.2411,179.8200,358.2318
