time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.9548,4.8965,250.0014,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.9548,4.8965,250.0014,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.109,599.8637,4.7210,249.9921,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.220,599.7001,4.4113,249.9450,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.332,599.5231,4.0792,249.8779,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.444,599.2674,3.6013,249.7673,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.561,598.9694,3.0463,249.6269,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.676,598.6341,2.4230,249.4599,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.784,598.3293,1.8570,249.3027,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.902,597.9365,1.1280,249.0945,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.009,597.5888,0.4832,248.9064,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.112,597.2245,-0.1920,248.7065,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.224,596.8029,-0.9822,248.4721,359.8659,180.0000,0.0005,359.8659,180.0000,0.0005
1.334,596.5549,-1.4092,248.3354,358.7917,180.0000,0.0046,358.7917,180.0000,0.0046
1.446,596.3372,-1.6235,248.2221,357.7653,179.9998,0.0091,357.7653,179.9998,0.0091
1.558,596.1678,-1.6151,248.1416,357.3708,179.9998,0.0113,357.3708,179.9998,0.0113
1.668,596.0469,-1.5258,248.0880,357.3708,179.9998,0.0113,357.3708,179.9998,0.0113
1.780,595.9152,-1.4040,248.0305,357.3708,179.9998,0.0113,357.3708,179.9998,0.0113
1.890,595.8116,-1.3307,247.9839,357.3708,179.9998,0.0113,357.3708,179.9998,0.0113
2.002,595.6917,-1.2964,247.9270,357.3708,179.9998,0.0113,357.3708,179.9998,0.0113
2.112,595.5936,-1.3108,247.8780,357.3708,179.9998,0.0113,357.3708,179.9998,0.0113
2.224,595.4773,-1.3652,247.8179,357.3708,179.9998,0.0113,357.3708,179.9998,0.0113
2.335,595.3810,-1.4276,247.7672,357.3708,179.9998,0.0113,357.3708,179.9998,0.0113
2.463,595.2466,-1.5210,247.6961,357.3708,179.9997,0.0113,357.3708,179.9997,0.0113
2.571,595.1508,-1.5837,247.6457,357.3708,179.9997,0.0113,357.3708,179.9997,0.0113
2.683,595.0358,-1.6503,247.5857,357.3708,179.9997,0.0113,357.3708,179.9997,0.0113
2.795,594.9400,-1.6988,247.5361,357.3708,179.9997,0.0113,357.3708,179.9997,0.0113
2.906,594.8250,-1.7509,247.4770,357.3708,179.9997,0.0113,357.3708,179.9997,0.0113
3.018,594.7100,-1.7993,247.4180,357.3708,179.9997,0.0114,357.3708,179.9997,0.0114
3.127,594.6142,-1.8389,247.3689,357.3708,179.9997,0.0113,357.3708,179.9997,0.0113
3.237,594.4992,-1.8871,247.3098,357.3708,179.9997,0.0113,357.3708,179.9997,0.0113
3.349,594.4034,-1.9284,247.2604,357.3708,179.9997,0.0114,357.3708,179.9997,0.0114
3.460,594.2884,-1.9792,247.2011,357.3708,179.9997,0.0113,357.3708,179.9997,0.0113
3.569,594.1924,-2.0224,247.1515,357.3708,179.9997,0.0113,357.3708,179.9997,0.0113
