time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.108,598.6579,5.0566,250.4348,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.227,598.2891,4.7300,250.3393,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.340,597.8088,4.3090,250.1719,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.443,597.3327,3.8939,249.9830,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.557,596.6805,3.3270,249.7034,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.660,596.0764,2.8030,249.4305,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.765,595.4229,2.2370,249.1251,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.875,594.5799,1.5080,248.7201,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.987,593.8336,0.8632,248.3537,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.099,592.8911,0.0495,247.8831,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.202,592.1918,-0.5607,247.5314,0.2510,3.8000,-0.4500,359.6896,180.0000,0.0005,0.0000,0.0000,0.0000
1.307,591.6948,-0.9530,247.2866,0.2510,3.8000,-0.4500,358.6239,180.0000,0.0025,0.0000,0.0000,0.0000
1.419,591.2512,-1.1457,247.0721,0.2510,3.8000,-0.4500,357.7195,179.9999,0.0041,0.0000,0.0000,0.0000
1.529,590.9542,-1.1417,246.9303,0.2510,3.8000,-0.4500,357.5301,179.9999,0.0045,0.0000,0.0000,0.0000
1.641,590.6457,-1.0416,246.7850,0.2510,3.8000,-0.4500,357.5301,179.9999,0.0045,0.0000,0.0000,0.0000
1.754,590.3663,-0.9257,246.6537,0.2510,3.8000,-0.4500,357.5301,179.9999,0.0045,0.0000,0.0000,0.0000
1.864,590.1455,-0.8571,246.5482,0.2510,3.8000,-0.4500,357.5301,179.9999,0.0045,0.0000,0.0000,0.0000
1.975,589.8885,-0.8258,246.4225,0.2510,3.8000,-0.4500,357.5301,179.9999,0.0045,0.0000,0.0000,0.0000
2.085,589.6782,-0.8399,246.3174,0.2510,3.8000,-0.4500,357.5301,179.9999,0.0045,0.0000,0.0000,0.0000
