time_sec,angle_x,angle_y,angle_z
0.068,93.6684,-17.5853,-103.6533
0.197,93.6601,-17.5611,-103.6466
0.318,93.6504,-17.3472,-103.6386
0.445,93.6694,-16.8544,-103.6273
0.564,93.6566,-16.5563,-103.6093
0.691,93.6499,-16.1684,-103.5909
0.809,93.6544,-15.9207,-103.5922
0.927,93.6516,-15.5885,-103.5745
1.049,93.6614,-15.2221,-103.5644
1.167,93.6622,-14.7243,-103.5547
1.302,93.6674,-14.2120,-103.5377
1.422,93.6662,-13.8643,-103.5284
1.544,93.6751,-13.5231,-103.5224
1.663,93.6809,-13.0112,-103.5126
1.790,93.6782,-12.5228,-103.4987
1.908,93.6818,-12.2283,-103.4972
2.026,93.6758,-11.9626,-103.4780
2.148,93.6887,-11.7312,-103.4813
2.266,93.6954,-11.5714,-103.4798
2.401,93.6887,-11.7312,-103.4813
2.521,93.6789,-11.7814,-103.4809
2.643,93.6863,-11.7460,-103.4904
2.762,93.6953,-11.6596,-103.4864
2.889,93.7038,-11.6630,-103.4942
3.007,93.6931,-11.6772,-103.4895
3.126,93.6874,-11.6779,-103.4965
3.247,93.6839,-11.6610,-103.5004
3.365,93.6831,-11.6249,-103.4960
3.501,93.6797,-11.6151,-103.4932
3.620,93.6707,-11.6061,-103.4973
3.742,93.6850,-11.6045,-103.4989
3.861,93.6764,-11.5938,-103.4979
3.988,93.6820,-11.5860,-103.4977
4.106,93.6874,-11.5825,-103.4967
4.225,93.6786,-11.5762,-103.4948
4.346,93.6786,-11.5762,-103.4948
4.465,93.6840,-11.5656,-103.5006
4.600,93.6895,-11.5577,-103.5004
4.719,93.6897,-11.5533,-103.5012
4.841,93.6812,-11.5499,-103.4934
4.960,93.6950,-11.5426,-103.5070
5.087,93.6952,-11.5383,-103.5078
5.206,93.7006,-11.5348,-103.5068
5.324,93.7008,-11.5304,-103.5076
5.446,93.7096,-11.5366,-103.5094
5.564,93.7099,-11.5395,-103.5035
5.691,93.7030,-11.5128,-103.5045
5.810,93.6944,-11.5022,-103.5035
5.937,93.6731,-11.4700,-103.5097
6.055,93.6732,-11.4772,-103.5029
6.174,93.6732,-11.4772,-103.5029
6.295,93.6643,-11.4753,-103.5002
6.414,93.6589,-11.4788,-103.5013
6.541,93.6886,-11.5072,-103.5097
6.659,93.6886,-11.5072,-103.5097
6.786,93.7219,-11.5598,-103.5074
6.904,93.7424,-11.5836,-103.5192
7.023,93.7793,-11.6415,-103.5207
7.144,93.8003,-11.6637,-103.5274
7.263,93.8631,-11.7275,-103.5534
7.398,93.9088,-11.7961,-103.5563
7.518,93.9411,-11.8025,-103.5626
7.639,93.9640,-11.8043,-103.5722
7.759,94.0463,-11.8297,-103.5888
7.885,94.0877,-11.8453,-103.5912
8.004,94.1230,-11.8630,-103.6058
8.122,94.1674,-11.8898,-103.6164
8.244,94.1709,-11.8995,-103.6194
8.362,94.2353,-11.9096,-103.6383
8.497,94.2657,-11.9409,-103.6412
8.617,94.2889,-11.9382,-103.6517
8.739,94.2924,-11.9479,-103.6547
8.858,94.3368,-11.9675,-103.6722
8.985,94.3604,-11.9677,-103.6768
9.103,94.3922,-11.9757,-103.6885
9.221,94.3837,-11.9723,-103.6805
9.343,94.3922,-11.9757,-103.6885
9.461,94.4067,-11.9741,-103.6902
9.589,94.4070,-11.9769,-103.6843
9.707,94.4073,-11.9725,-103.6851
9.834,94.4126,-11.9690,-103.6841
9.952,94.4214,-11.9680,-103.6928
10.071,94.4214,-11.9680,-103.6928
10.192,94.4217,-11.9708,-103.6869
10.311,94.4217,-11.9708,-103.6869
10.438,94.4303,-11.9742,-103.6948
10.557,94.4306,-11.9771,-103.6889
10.684,94.4306,-11.9771,-103.6889
10.802,94.4395,-11.9833,-103.6909
10.920,94.4341,-11.9868,-103.6919
11.043,94.4339,-11.9912,-103.6911
11.161,94.4393,-11.9877,-103.6901
11.271,94.4237,-11.9460,-103.6904
11.381,94.3988,-11.9069,-103.6870
11.509,94.2904,-11.7065,-103.6626
11.639,94.1734,-11.5160,-103.6286
11.758,94.1334,-11.4468,-103.6187
11.893,94.0516,-11.3217,-103.6033
12.012,93.9875,-11.2207,-103.5843
12.134,93.9306,-11.1419,-103.5653
12.253,93.8551,-11.0162,-103.5437
12.371,93.8343,-10.9940,-103.5373
12.493,93.7478,-10.8768,-103.5234
12.611,93.7173,-10.8139,-103.5164
12.738,93.6935,-10.7776,-103.5081
12.859,93.6306,-10.6723,-103.4913
12.986,93.5829,-10.5969,-103.4811
13.105,93.5179,-10.5091,-103.4676
13.232,93.4503,-10.4101,-103.4464
13.350,93.3825,-10.3125,-103.4307
13.469,93.3709,-10.2994,-103.4203
13.590,93.3121,-10.2038,-103.4074
13.709,93.2800,-10.1613,-103.3980
13.836,93.2477,-10.1160,-103.3948
13.955,93.2475,-10.1131,-103.4009
14.085,93.1978,-10.0266,-103.3839
14.212,93.1806,-10.0213,-103.3737
14.334,93.1749,-10.0220,-103.3808
14.453,93.1659,-9.9841,-103.3747
14.580,93.1515,-9.9786,-103.3802
14.698,93.1513,-9.9829,-103.3794
14.817,93.1458,-9.9864,-103.3804
14.938,93.1458,-9.9864,-103.3804
15.052,93.1458,-9.9864,-103.3804
15.169,93.1513,-9.9829,-103.3794
15.291,93.1599,-9.9819,-103.3879
15.409,93.1544,-9.9855,-103.3889
15.536,93.1457,-9.9793,-103.3873
15.655,93.1457,-9.9793,-103.3873
15.784,93.1544,-9.9855,-103.3889
15.903,93.1600,-9.9776,-103.3887
16.030,93.1718,-9.9936,-103.3929
16.148,93.1944,-9.9954,-103.4020
16.267,93.2471,-10.0700,-103.4040
16.388,93.2557,-10.0691,-103.4126
16.506,93.3374,-10.1765,-103.4215
16.642,93.3985,-10.2402,-103.4454
16.761,93.4484,-10.2936,-103.4529
16.883,93.4896,-10.3452,-103.4581
17.002,93.5367,-10.4176,-103.4740
17.129,93.6050,-10.5223,-103.4832
17.247,-162.7048,90.0000,169.1283
17.366,93.6818,-10.6304,-103.5005
17.487,93.7112,-10.6588,-103.5084
17.606,93.7652,-10.7623,-103.5228
17.741,93.7924,-10.8155,-103.5270
17.860,93.8132,-10.8377,-103.5334
17.982,93.8525,-10.9068,-103.5423
18.109,93.9039,-11.0035,-103.5483
18.231,93.8985,-11.0070,-103.5494
18.350,93.9553,-11.0857,-103.5682
18.477,93.9819,-11.1072,-103.5677
18.595,93.9994,-11.1197,-103.5714
18.714,94.0173,-11.1350,-103.5691
18.835,94.0294,-11.1509,-103.5738
18.954,94.0500,-11.1703,-103.5863
19.081,94.0647,-11.1715,-103.5820
19.200,94.0964,-11.1795,-103.5933
19.326,94.1032,-11.1989,-103.5991
19.445,94.0998,-11.1892,-103.5962
19.563,94.0998,-11.1892,-103.5962
19.685,94.0910,-11.1830,-103.5943
19.803,94.0910,-11.1830,-103.5943
19.930,94.0910,-11.1830,-103.5943
20.049,94.0910,-11.1830,-103.5943
20.175,94.0910,-11.1830,-103.5943
20.294,94.0910,-11.1830,-103.5943
20.412,94.0769,-11.1874,-103.5867
20.534,94.0766,-11.1846,-103.5927
20.652,94.0769,-11.1874,-103.5867
20.780,94.0854,-11.1908,-103.5946
20.898,94.0857,-11.1937,-103.5886
21.026,94.0854,-11.1908,-103.5946
21.144,94.0854,-11.1908,-103.5946
21.254,94.0854,-11.1908,-103.5946
21.364,94.0854,-11.1908,-103.5946
21.492,94.0854,-11.1908,-103.5946
21.611,94.0854,-11.1908,-103.5946
21.732,94.0854,-11.1908,-103.5946
21.853,94.0857,-11.1937,-103.5886
21.980,94.0857,-11.1937,-103.5886
22.099,94.0859,-11.1893,-103.5894
22.226,94.0581,-11.1405,-103.5838
22.344,94.0426,-11.1148,-103.5763
22.462,94.0030,-11.0457,-103.5669
22.584,94.0032,-11.0413,-103.5678
22.702,93.9374,-10.9535,-103.5531
22.837,93.9167,-10.9385,-103.5399
22.957,93.8809,-10.8820,-103.5276
23.079,93.8720,-10.8801,-103.5250
23.198,93.8152,-10.7985,-103.5125
