time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.107,598.6015,5.0092,250.4589,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.217,598.2777,4.7300,250.4630,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.341,597.7819,4.3091,250.4674,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.453,597.1821,3.8045,250.4660,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.578,596.4935,3.2257,250.4257,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.704,595.5952,2.4682,250.2933,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.829,594.7551,1.7567,250.0980,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.954,593.8583,0.9947,249.8300,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.079,592.9120,0.1880,249.4950,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.205,591.7922,-0.7688,249.0465,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.315,591.2119,-1.2839,248.8032,0.2510,3.8000,-0.4500,358.8571,180.0000,0.0031,0.0000,0.0000,0.0000
1.441,590.7123,-1.6099,248.5922,0.2510,3.8000,-0.4500,357.0617,179.9998,0.0078,0.0000,0.0000,0.0000
1.566,590.2750,-1.6830,248.4090,0.2510,3.8000,-0.4500,355.9489,179.9996,0.0100,0.0000,0.0000,0.0000
1.677,590.0128,-1.6276,248.3061,0.2510,3.8000,-0.4500,355.7746,179.9996,0.0101,0.0000,0.0000,0.0000
1.802,589.7264,-1.5360,248.2031,0.2510,3.8000,-0.4500,355.7746,179.9996,0.0101,0.0000,0.0000,0.0000
1.927,589.4149,-1.4697,248.0809,0.2510,3.8000,-0.4500,355.7746,179.9996,0.0100,0.0000,0.0000,0.0000
2.039,589.2048,-1.4641,247.9323,0.2510,3.8000,-0.4500,355.7746,179.9996,0.0101,0.0000,0.0000,0.0000
2.164,588.9249,-1.5061,247.6087,0.2510,3.8000,-0.4500,355.7746,179.9996,0.0101,0.0000,0.0000,0.0000
2.276,588.7328,-1.5587,247.2978,0.2510,3.8000,-0.4500,355.7746,179.9996,0.0101,0.0000,0.0000,0.0000
