time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.107,599.6055,4.6292,250.0089,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.217,599.2817,4.3500,250.0130,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.341,598.7859,3.9291,250.0174,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.453,598.1862,3.4245,250.0160,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.578,597.4976,2.8457,249.9757,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.704,596.5992,2.0882,249.8433,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.829,595.7591,1.3767,249.6480,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.954,594.8624,0.6147,249.3800,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.079,593.9160,-0.1920,249.0450,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.205,592.7963,-1.1488,248.5965,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.315,592.2158,-1.6549,248.3457,358.8571,180.0000,0.0031,358.8571,180.0000,0.0031
1.441,591.7163,-1.9664,248.1233,357.0617,179.9998,0.0078,357.0617,179.9998,0.0078
1.566,591.2789,-2.0304,247.9333,355.9489,179.9996,0.0100,355.9489,179.9996,0.0100
1.677,591.0167,-1.9736,247.8293,355.7746,179.9996,0.0101,355.7746,179.9996,0.0101
1.802,590.7304,-1.8819,247.7263,355.7746,179.9996,0.0101,355.7746,179.9996,0.0101
1.927,590.4188,-1.8157,247.6041,355.7746,179.9996,0.0100,355.7746,179.9996,0.0100
2.039,590.2087,-1.8101,247.4555,355.7746,179.9996,0.0101,355.7746,179.9996,0.0101
2.164,589.9288,-1.8521,247.1319,355.7746,179.9996,0.0101,355.7746,179.9996,0.0101
2.276,589.7368,-1.9047,246.8210,355.7746,179.9996,0.0101,355.7746,179.9996,0.0101
2.400,589.5166,-1.9709,246.3053,355.7746,179.9996,0.0101,355.7746,179.9996,0.0101
2.525,589.2690,-2.0369,245.5661,355.7746,179.9996,0.0101,355.7746,179.9996,0.0101
2.636,589.0947,-2.0742,244.9998,355.7746,179.9996,0.0101,355.7746,179.9996,0.0101
2.762,588.8866,-2.1093,244.3109,355.7746,179.9996,0.0101,355.7746,179.9996,0.0101
2.873,588.6786,-2.1369,243.6253,355.7746,179.9996,0.0101,355.7746,179.9996,0.0101
2.984,588.4704,-2.1608,242.9467,355.7746,179.9996,0.0101,355.7746,179.9996,0.0101
3.095,588.2968,-2.1800,242.3865,355.7747,179.9995,0.0101,355.7747,179.9995,0.0101
3.207,588.0881,-2.2043,241.7191,355.7746,179.9995,0.0101,355.7746,179.9995,0.0101
3.317,587.9142,-2.2262,241.1658,355.6913,179.9996,-0.0052,355.6913,179.9996,-0.0052
3.432,587.7051,-2.2547,240.5043,355.6913,179.9996,-0.0052,355.6913,179.9996,-0.0052
3.540,587.5309,-2.2799,239.9543,355.6913,179.9995,-0.0052,355.6913,179.9995,-0.0052
3.665,587.2873,-2.3169,239.1813,355.6105,179.9996,359.9778,355.6105,179.9996,359.9778
3.777,587.1141,-2.3422,238.6084,355.6105,179.9996,359.9778,355.6105,179.9996,359.9778
3.889,586.9017,-2.3771,237.9940,355.5303,179.9996,359.9588,355.5303,179.9996,359.9588
3.998,586.7158,-2.4171,237.6134,355.5303,179.9996,359.9588,355.5303,179.9996,359.9588
4.123,586.4799,-2.4814,237.3273,355.3729,179.9998,359.9168,355.3729,179.9998,359.9168
4.248,586.1931,-2.5765,237.1837,355.3729,179.9998,359.9168,355.3729,179.9998,359.9168
4.359,585.9859,-2.6549,237.1698,355.3729,179.9998,359.9169,355.3729,179.9998,359.9169
4.472,585.7371,-2.7570,237.2190,355.3729,179.9998,359.9169,355.3729,179.9998,359.9169
4.581,585.5303,-2.8470,237.2981,355.3729,179.9998,359.9169,355.3729,179.9998,359.9169
4.695,585.2829,-2.9586,237.4231,355.3729,179.9998,359.9169,355.3729,179.9998,359.9169
4.804,585.0360,-3.0723,237.5692,355.3729,179.9998,359.9169,355.3729,179.9998,359.9169
4.929,584.7896,-3.1868,237.7284,355.3729,179.9998,359.9169,355.3729,179.9998,359.9169
5.054,584.5436,-3.3009,237.8957,355.3729,179.9998,359.9169,355.3729,179.9998,359.9169
5.154,584.3388,-3.3951,238.0389,355.3729,179.9998,359.9169,355.3729,179.9998,359.9169
5.262,584.1339,-3.4879,238.1834,355.3729,179.9998,359.9169,355.3729,179.9998,359.9169
5.374,583.8882,-3.5967,238.3572,355.3729,179.9998,359.9169,355.3729,179.9998,359.9169
5.474,583.6834,-3.6849,238.5018,355.3729,179.9998,359.9169,355.3729,179.9998,359.9169
5.582,583.4786,-3.7702,238.6449,355.3729,179.9998,359.9169,355.3729,179.9998,359.9169
5.695,583.2325,-3.8682,238.8125,355.3729,179.9998,359.9169,355.3729,179.9998,359.9169
