time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.121,599.6055,4.6292,250.0089,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.236,599.2069,4.2861,250.0138,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.361,598.6927,3.8505,250.0181,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.484,597.9645,3.2394,250.0225,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.598,597.3709,2.7427,250.0428,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.707,596.5950,2.0882,250.1727,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.834,595.7621,1.3767,250.4670,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.945,594.8812,0.6147,250.9406,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.056,594.1154,-0.0547,251.4698,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.166,593.1630,-0.8947,252.2570,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.292,592.1785,-1.7705,253.1978,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.416,591.1657,-2.6781,254.2780,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.529,590.1282,-3.6137,255.4839,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.654,589.3251,-4.5315,256.4840,357.4259,179.9998,0.0089,357.4259,179.9998,0.0089
1.765,588.7926,-5.1498,257.2080,353.7270,179.9991,0.0069,353.7270,179.9991,0.0069
1.875,588.4618,-5.4203,257.7064,352.0012,179.9992,359.9844,352.0012,179.9992,359.9844
1.986,588.1393,-5.5670,258.2392,351.1134,179.9997,359.9363,351.1134,179.9997,359.9363
2.112,587.8618,-5.6326,258.7303,351.1134,179.9997,359.9363,351.1134,179.9997,359.9363
2.222,587.6491,-5.6871,259.1171,351.1134,179.9997,359.9363,351.1134,179.9997,359.9363
2.335,587.4064,-5.7896,259.5602,351.1134,179.9997,359.9363,351.1134,179.9997,359.9363
2.457,587.1711,-5.9420,259.9860,351.2510,179.9995,359.8419,351.2510,179.9995,359.8419
2.569,586.9403,-6.1345,260.4017,351.7123,179.9970,359.5658,351.7123,179.9970,359.5658
2.680,586.7504,-6.3117,260.7462,352.0959,179.9934,359.3699,352.0959,179.9934,359.3699
2.792,586.5237,-6.5289,261.1605,352.5540,179.9874,359.1579,352.5540,179.9874,359.1579
2.905,586.2979,-6.7375,261.5776,353.0250,179.9796,358.9485,353.0250,179.9796,358.9485
3.029,586.0721,-6.9307,261.9978,353.5186,179.9695,358.7294,353.5186,179.9695,358.7294
3.139,585.8837,-7.0782,262.3499,353.9496,179.9592,358.5359,353.9496,179.9592,358.5359
3.250,585.6545,-7.2389,262.7393,354.4890,179.9441,358.2903,354.4890,179.9441,358.2903
3.361,585.4574,-7.3581,262.9930,354.9480,179.9295,358.0771,354.9480,179.9295,358.0771
3.472,585.2134,-7.4879,263.2108,355.4895,179.9100,357.8174,355.4895,179.9100,357.8174
3.584,584.9631,-7.6080,263.3550,356.0050,179.8892,357.5605,356.0050,179.8892,357.5605
3.694,584.7517,-7.7027,263.4063,356.4092,179.8712,357.3530,356.4092,179.8712,357.3530
3.806,584.4965,-7.8120,263.4063,356.8588,179.8495,357.1177,356.8588,179.8495,357.1177
3.917,584.2867,-7.8994,263.3297,357.0829,179.8379,357.0003,357.0829,179.8379,357.0003
4.029,584.0423,-7.9993,263.1136,357.3786,179.8220,356.8468,357.3786,179.8220,356.8468
4.140,583.8442,-8.0786,262.8432,357.5285,179.8137,356.7720,357.5285,179.8137,356.7720
4.250,583.6114,-8.1703,262.4381,357.6034,179.8094,356.7352,357.6034,179.8094,356.7352
4.376,583.3821,-8.2584,261.9729,357.7538,179.8007,356.6698,357.7538,179.8007,356.6698
4.501,583.1548,-8.3435,261.4694,357.8349,179.7960,356.6488,357.8349,179.7960,356.6488
4.612,582.9288,-8.4250,260.9519,357.9162,179.7912,356.6295,357.9162,179.7912,356.6295
4.722,582.7400,-8.4903,260.5234,357.9971,179.7865,356.6276,357.9971,179.7865,356.6276
4.834,582.5132,-8.5648,260.0178,358.2486,179.7717,356.6747,358.2486,179.7717,356.6747
4.946,582.2861,-8.6343,259.5209,358.3279,179.7671,356.6948,358.3279,179.7671,356.6948
5.069,582.0587,-8.6980,259.0306,358.6304,179.7501,356.8814,358.6304,179.7501,356.8814
5.183,581.8690,-8.7459,258.6261,358.8304,179.7395,357.0316,358.8304,179.7395,357.0316
5.305,581.6034,-8.8043,258.0670,359.1198,179.7253,357.3495,359.1198,179.7253,357.3495
5.418,581.4138,-8.8390,257.6728,359.2749,179.7183,357.5463,359.2749,179.7183,357.5463
5.544,581.1486,-8.8771,257.1266,359.5648,179.7069,357.9670,359.5648,179.7069,357.9670
5.668,580.9218,-8.8992,256.6618,359.7960,179.6995,358.3387,359.7960,179.6995,358.3387
