time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.122,598.5437,4.9589,250.4598,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.249,598.1248,4.5996,250.4645,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.360,597.6887,4.2305,250.4681,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.472,597.0723,3.7129,250.4719,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.584,596.3657,3.1227,250.4704,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.695,595.7175,2.5814,250.4435,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.806,594.8785,1.8789,250.3593,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.918,594.1343,1.2539,250.2400,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.043,593.0328,0.3253,249.9964,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.155,592.2080,-0.3721,249.7705,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.266,591.1813,-1.2423,249.4488,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.377,590.3127,-1.9799,249.1480,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.488,589.5482,-2.7053,248.8835,0.2510,3.8000,-0.4500,356.8786,179.9998,0.0072,0.0000,0.0000,0.0000
1.599,589.1023,-3.0649,248.7317,0.2510,3.8000,-0.4500,353.9880,179.9993,0.0121,0.0000,0.0000,0.0000
1.711,588.6934,-3.2448,248.5942,0.2510,3.8000,-0.4500,351.9901,179.9989,0.0118,0.0000,0.0000,0.0000
1.822,588.4124,-3.2692,248.5031,0.2510,3.8000,-0.4500,351.1726,179.9987,0.0075,0.0000,0.0000,0.0000
1.933,588.1143,-3.2447,248.4087,0.2510,3.8000,-0.4500,350.9713,179.9987,0.0049,0.0000,0.0000,0.0000
2.044,587.8394,-3.2378,248.3208,0.2510,3.8000,-0.4500,350.9713,179.9987,0.0049,0.0000,0.0000,0.0000
2.156,587.6199,-3.2733,248.2466,0.2510,3.8000,-0.4500,350.9713,179.9987,0.0049,0.0000,0.0000,0.0000
