time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.100,599.6597,4.6766,250.0081,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.210,599.3533,4.4113,250.0122,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.322,598.8761,4.0053,250.0167,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.431,598.2925,3.5139,250.0217,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.544,597.7366,3.0463,250.0581,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.668,597.0021,2.4230,250.2159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.792,596.0674,1.6198,250.6010,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.918,595.2100,0.8739,251.1105,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.043,594.3076,0.0815,251.7779,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.155,593.3658,-0.7521,252.5910,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.266,592.7280,-1.3556,253.2055,359.6592,180.0000,0.0025,359.6592,180.0000,0.0025
1.377,592.1973,-1.7995,253.7861,358.2787,179.9998,0.0132,358.2787,179.9998,0.0132
1.502,591.8085,-1.9588,254.2789,357.3843,179.9995,0.0205,357.3843,179.9995,0.0205
1.614,591.4953,-1.9451,254.7277,357.2039,179.9995,0.0219,357.2039,179.9995,0.0219
1.726,591.2659,-1.8804,255.0836,357.2039,179.9995,0.0219,357.2039,179.9995,0.0219
1.835,591.0116,-1.8071,255.4977,357.2039,179.9995,0.0219,357.2039,179.9995,0.0219
1.961,590.7700,-1.7775,255.9026,357.2039,179.9995,0.0219,357.2039,179.9995,0.0219
2.073,590.5355,-1.8016,256.3057,357.2039,179.9995,0.0219,357.2039,179.9995,0.0219
2.185,590.3436,-1.8554,256.6480,357.2039,179.9995,0.0219,357.2039,179.9995,0.0219
2.295,590.1160,-1.9449,257.0687,357.2039,179.9995,0.0219,357.2039,179.9995,0.0219
2.406,589.9277,-2.0279,257.4276,357.2039,179.9995,0.0219,357.2039,179.9995,0.0219
2.517,589.7032,-2.1259,257.8696,357.2039,179.9995,0.0219,357.2039,179.9995,0.0219
2.629,589.5168,-2.2010,258.2462,357.2039,179.9995,0.0219,357.2039,179.9995,0.0219
2.739,589.2937,-2.2811,258.7057,357.2039,179.9995,0.0219,357.2039,179.9995,0.0219
2.850,589.1081,-2.3400,259.0951,357.2039,179.9995,0.0219,357.2039,179.9995,0.0219
2.962,588.8858,-2.4038,259.5701,357.2039,179.9995,0.0219,357.2039,179.9995,0.0219
3.072,588.6639,-2.4625,260.0518,357.2039,179.9995,0.0219,357.2039,179.9995,0.0219
3.183,588.4789,-2.5089,260.4567,357.3514,179.9994,359.9319,357.3514,179.9994,359.9319
3.294,588.2568,-2.5628,260.9467,357.4989,179.9991,359.8444,357.4989,179.9991,359.8444
3.407,588.0720,-2.6063,261.3580,357.7992,179.9979,359.6823,357.7992,179.9979,359.6823
3.519,587.8505,-2.6567,261.8543,357.9477,179.9969,359.6068,357.9477,179.9969,359.6068
3.627,587.6657,-2.6967,262.2694,358.1685,179.9952,359.4970,358.1685,179.9952,359.4970
3.754,587.4067,-2.7490,262.8525,358.3223,179.9938,359.4234,358.3223,179.9938,359.4234
3.863,587.2217,-2.7834,263.2704,358.6271,179.9903,359.2798,358.6271,179.9903,359.2798
3.975,586.9992,-2.8209,263.7728,358.7813,179.9883,359.2094,358.7813,179.9883,359.2094
4.100,586.7766,-2.8542,264.2759,359.0101,179.9849,359.1060,359.0101,179.9849,359.1060
4.211,586.5536,-2.8832,264.7792,359.3215,179.9797,358.9718,359.3215,179.9797,358.9718
4.325,586.3675,-2.9040,265.1986,359.3965,179.9784,358.9399,359.3965,179.9784,358.9399
4.435,586.1442,-2.9248,265.7031,359.7850,179.9706,358.7878,359.7850,179.9706,358.7878
4.546,585.9581,-2.9385,266.1259,359.7850,179.9706,358.7878,359.7850,179.9706,358.7878
4.655,585.7346,-2.9503,266.6358,0.1023,179.9636,358.6854,0.1023,179.9636,358.6854
4.781,585.5092,-2.9570,267.1255,0.2624,179.9599,358.6418,0.2624,179.9599,358.6418
4.891,585.2783,-2.9600,267.5337,0.4248,179.9560,358.6039,0.4248,179.9560,358.6039
5.016,585.0405,-2.9602,267.8498,0.6743,179.9498,358.5658,0.6743,179.9498,358.5658
5.142,584.7953,-2.9582,268.0677,0.8390,179.9457,358.5576,0.8390,179.9457,358.5576
5.266,584.5457,-2.9559,268.1405,0.9211,179.9436,358.5557,0.9211,179.9436,358.5557
5.391,584.2563,-2.9534,268.0634,1.1668,179.9375,358.5859,1.1668,179.9375,358.5859
5.505,584.0539,-2.9515,267.9104,1.1668,179.9375,358.5859,1.1668,179.9375,358.5859
5.614,583.8203,-2.9509,267.5743,1.3228,179.9337,358.6465,1.3228,179.9337,358.6465
