time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.107,598.6015,5.0092,250.4589,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.220,598.2777,4.7300,250.4630,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.331,597.7819,4.3091,250.4674,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.444,597.1816,3.8045,250.4713,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.569,596.4890,3.2258,250.4747,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.692,595.7144,2.5814,250.4778,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.804,594.8671,1.8789,250.4805,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.929,593.9557,1.1250,250.4828,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.054,592.9873,0.3254,250.4850,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.179,592.0121,-0.4811,250.5164,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.305,591.2377,-1.1297,250.6633,0.2510,3.8000,-0.4500,358.7610,180.0000,0.0050,0.0000,0.0000,0.0000
1.418,590.8541,-1.3344,250.8389,0.2510,3.8000,-0.4500,357.8417,179.9998,0.0088,0.0000,0.0000,0.0000
1.527,590.4938,-1.3776,251.1076,0.2510,3.8000,-0.4500,357.2994,179.9997,0.0110,0.0000,0.0000,0.0000
1.638,590.2416,-1.3228,251.3651,0.2510,3.8000,-0.4500,357.2994,179.9997,0.0110,0.0000,0.0000,0.0000
1.763,589.9280,-1.2220,251.7598,0.2510,3.8000,-0.4500,357.2994,179.9997,0.0110,0.0000,0.0000,0.0000
1.875,589.7198,-1.1780,252.0553,0.2510,3.8000,-0.4500,357.2994,179.9997,0.0110,0.0000,0.0000,0.0000
2.000,589.4794,-1.1761,252.4189,0.2510,3.8000,-0.4500,357.2994,179.9998,0.0110,0.0000,0.0000,0.0000
2.111,589.2448,-1.2262,252.7906,0.2510,3.8000,-0.4500,357.2994,179.9997,0.0110,0.0000,0.0000,0.0000
2.222,589.0135,-1.3114,253.1685,0.2510,3.8000,-0.4500,357.2994,179.9998,0.0110,0.0000,0.0000,0.0000
