time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.4180,4.8499,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.4180,4.8499,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.120,597.9604,4.4592,250.4765,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.221,597.4955,4.0666,250.4845,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.329,596.8481,3.5238,250.4930,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.429,596.2416,3.0179,250.4993,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.541,595.5806,2.4682,250.5052,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.651,594.7232,1.7567,250.5186,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.763,593.9616,1.1249,250.5436,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.873,592.9981,0.3253,250.5958,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.973,592.1583,-0.3721,250.6594,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.081,591.3688,-1.0412,250.7353,0.2510,3.8000,-0.4500,359.9188,180.0000,0.0003,0.0000,0.0000,0.0000
1.206,590.7142,-1.6123,250.8314,0.2510,3.8000,-0.4500,358.0738,179.9999,0.0079,0.0000,0.0000,0.0000
1.320,590.2480,-1.8701,250.9302,0.2510,3.8000,-0.4500,356.5117,179.9996,0.0138,0.0000,0.0000,0.0000
1.429,589.8824,-1.9122,251.0346,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
1.540,589.6199,-1.8648,251.1239,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
1.651,589.3330,-1.7947,251.2341,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
1.762,589.1072,-1.7629,251.3251,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
1.888,588.8452,-1.7755,251.4312,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
1.999,588.5884,-1.8400,251.5338,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
2.112,588.3344,-1.9403,251.6337,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
2.235,588.0819,-2.0575,251.7323,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
2.360,587.8301,-2.1769,251.8307,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
2.485,587.5784,-2.2897,251.9269,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
2.586,587.3669,-2.3757,251.9888,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
2.697,587.1111,-2.4688,252.0314,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
2.820,586.8548,-2.5537,252.0432,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
2.933,586.5977,-2.6351,252.0486,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
3.041,586.3834,-2.7036,252.0668,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
3.153,586.1271,-2.7882,252.1094,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
3.278,585.8721,-2.8760,252.1734,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
3.403,585.6185,-2.9665,252.2572,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
3.514,585.3658,-3.0588,252.3560,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
3.625,585.1558,-3.1362,252.4463,0.2510,3.8000,-0.4500,355.7115,179.9994,0.0156,0.0000,0.0000,0.0000
3.751,584.8603,-3.2488,252.5794,0.2510,3.8000,-0.4500,355.8322,179.9991,359.7046,0.0000,0.0000,0.0000
3.864,584.6509,-3.3254,252.6790,0.2510,3.8000,-0.4500,355.8322,179.9991,359.7046,0.0000,0.0000,0.0000
3.975,584.3972,-3.4158,252.7701,0.2510,3.8000,-0.4500,355.8791,179.9988,359.6372,0.0000,0.0000,0.0000
4.084,584.1849,-3.4880,252.7809,0.2510,3.8000,-0.4500,356.0342,179.9975,359.4412,0.0000,0.0000,0.0000
4.209,583.8940,-3.5780,252.6909,0.2510,3.8000,-0.4500,356.0342,179.9975,359.4412,0.0000,0.0000,0.0000
4.320,583.6894,-3.6382,252.5477,0.2510,3.8000,-0.4500,356.2196,179.9954,359.2739,0.0000,0.0000,0.0000
4.445,583.4540,-3.7007,252.2485,0.2510,3.8000,-0.4500,356.2196,179.9954,359.2739,0.0000,0.0000,0.0000
4.570,583.1893,-3.7631,251.7410,0.2510,3.8000,-0.4500,356.2886,179.9945,359.2320,0.0000,0.0000,0.0000
4.681,583.0050,-3.8021,251.3046,0.2510,3.8000,-0.4500,356.2886,179.9945,359.2320,0.0000,0.0000,0.0000
4.806,582.7870,-3.8443,250.7252,0.2510,3.8000,-0.4500,356.2886,179.9946,359.2320,0.0000,0.0000,0.0000
4.931,582.5362,-3.8885,249.9988,0.2510,3.8000,-0.4500,356.2886,179.9946,359.2320,0.0000,0.0000,0.0000
5.056,582.3223,-3.9232,249.3636,0.2510,3.8000,-0.4500,356.2886,179.9946,359.2320,0.0000,0.0000,0.0000
5.181,582.1042,-3.9585,248.7995,0.2510,3.8000,-0.4500,356.2886,179.9946,359.2320,0.0000,0.0000,0.0000
5.281,581.9169,-3.9886,248.4160,0.2510,3.8000,-0.4500,356.4547,179.9924,359.2399,0.0000,0.0000,0.0000
5.390,581.6853,-4.0289,248.0609,0.2510,3.8000,-0.4500,356.4547,179.9924,359.2399,0.0000,0.0000,0.0000
5.515,581.4463,-4.0664,247.8120,0.2510,3.8000,-0.4500,356.7811,179.9883,359.3236,0.0000,0.0000,0.0000
5.625,581.2414,-4.0997,247.6752,0.2510,3.8000,-0.4500,356.8568,179.9874,359.3540,0.0000,0.0000,0.0000
5.737,580.9913,-4.1348,247.5728,0.2510,3.8000,-0.4500,357.0848,179.9850,359.4551,0.0000,0.0000,0.0000
5.851,580.7386,-4.1652,247.5293,0.2510,3.8000,-0.4500,357.3098,179.9831,359.5697,0.0000,0.0000,0.0000
5.959,580.5284,-4.1824,247.5275,0.2510,3.8000,-0.4500,357.6740,179.9810,359.7799,0.0000,0.0000,0.0000
6.084,580.2761,-4.2000,247.5567,0.2510,3.8000,-0.4500,357.8919,179.9804,359.9157,0.0000,0.0000,0.0000
6.209,579.9831,-4.2086,247.6179,0.2510,3.8000,-0.4500,358.1776,179.9805,0.0993,0.0000,0.0000,0.0000
6.320,579.7757,-4.2035,247.6718,0.2510,3.8000,-0.4500,358.5428,179.9819,0.3433,0.0000,0.0000,0.0000
6.431,579.5274,-4.1909,247.7447,0.2510,3.8000,-0.4500,358.8235,179.9840,0.5363,0.0000,0.0000,0.0000
6.556,579.2808,-4.1664,247.8219,0.2510,3.8000,-0.4500,359.1680,179.9880,0.7788,0.0000,0.0000,0.0000
6.682,579.0350,-4.1325,247.9021,0.2510,3.8000,-0.4500,359.4365,179.9921,0.9723,0.0000,0.0000,0.0000
6.807,578.7914,-4.0846,247.9829,0.2510,3.8000,-0.4500,359.8463,180.0001,1.2752,0.0000,0.0000,0.0000
6.931,578.5087,-4.0175,248.0792,0.2510,3.8000,-0.4500,0.1919,180.0086,1.5375,0.0000,0.0000,0.0000
7.046,578.3086,-3.9587,248.1481,0.2510,3.8000,-0.4500,0.5199,180.0181,1.7906,0.0000,0.0000,0.0000
7.157,578.0689,-3.8823,248.2332,0.2510,3.8000,-0.4500,0.7184,180.0246,1.9472,0.0000,0.0000,0.0000
7.268,577.8719,-3.8067,248.3031,0.2510,3.8000,-0.4500,1.0563,180.0369,2.2167,0.0000,0.0000,0.0000
7.379,577.6361,-3.7096,248.3884,0.2510,3.8000,-0.4500,1.3141,180.0473,2.4257,0.0000,0.0000,0.0000
7.487,577.4406,-3.6227,248.4605,0.2510,3.8000,-0.4500,1.4471,180.0531,2.5349,0.0000,0.0000,0.0000
7.612,577.1704,-3.4848,248.5604,0.2510,3.8000,-0.4500,1.8585,180.0725,2.8767,0.0000,0.0000,0.0000
7.723,576.9791,-3.3794,248.6332,0.2510,3.8000,-0.4500,2.1121,180.0858,3.0908,0.0000,0.0000,0.0000
7.838,576.7502,-3.2486,248.7234,0.2510,3.8000,-0.4500,2.2461,180.0931,3.2056,0.0000,0.0000,0.0000
7.946,576.5621,-3.1300,248.7986,0.2510,3.8000,-0.4500,2.5102,180.1085,3.4330,0.0000,0.0000,0.0000
8.070,576.3005,-2.9575,248.9079,0.2510,3.8000,-0.4500,2.7641,180.1242,3.6552,0.0000,0.0000,0.0000
8.182,576.1144,-2.8312,248.9892,0.2510,3.8000,-0.4500,2.8249,180.1281,3.7089,0.0000,0.0000,0.0000
8.307,575.8937,-2.6714,249.0879,0.2510,3.8000,-0.4500,3.0131,180.1406,3.8765,0.0000,0.0000,0.0000
8.418,575.6741,-2.5076,249.1888,0.2510,3.8000,-0.4500,3.1340,180.1489,3.9855,0.0000,0.0000,0.0000
8.543,575.4556,-2.3393,249.2907,0.2510,3.8000,-0.4500,3.2558,180.1575,4.0965,0.0000,0.0000,0.0000
8.667,575.2383,-2.1673,249.3936,0.2510,3.8000,-0.4500,3.3781,180.1664,4.2098,0.0000,0.0000,0.0000
8.768,575.0574,-2.0242,249.4813,0.2510,3.8000,-0.4500,3.3781,180.1664,4.2098,0.0000,0.0000,0.0000
8.875,574.8413,-1.8493,249.5876,0.2510,3.8000,-0.4500,3.4365,180.1708,4.2650,0.0000,0.0000,0.0000
8.987,574.6614,-1.7039,249.6777,0.2510,3.8000,-0.4500,3.4365,180.1708,4.2650,0.0000,0.0000,0.0000
9.098,574.4457,-1.5292,249.7866,0.2510,3.8000,-0.4500,3.4365,180.1708,4.2650,0.0000,0.0000,0.0000
9.223,574.2300,-1.3553,249.8957,0.2510,3.8000,-0.4500,3.4365,180.1708,4.2650,0.0000,0.0000,0.0000
9.348,573.9779,-1.1549,250.0103,0.2510,3.8000,-0.4500,3.4365,180.1708,4.2650,0.0000,0.0000,0.0000
9.459,573.7971,-1.0184,250.0126,0.2510,3.8000,-0.4500,3.4365,180.1708,4.2650,0.0000,0.0000,0.0000
9.584,573.5814,-0.8638,249.9218,0.2510,3.8000,-0.4500,3.4365,180.1708,4.2650,0.0000,0.0000,0.0000
9.710,573.3325,-0.6954,249.7154,0.2510,3.8000,-0.4500,3.4365,180.1708,4.2650,0.0000,0.0000,0.0000
