time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.4220,4.4699,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.4220,4.4699,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.120,598.9644,4.0792,250.0265,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.221,598.4995,3.6866,250.0345,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.329,597.8521,3.1438,250.0430,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.429,597.2457,2.6379,250.0493,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.541,596.5846,2.0882,250.0552,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.651,595.7272,1.3767,250.0686,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.763,594.9656,0.7449,250.0936,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.873,594.0021,-0.0547,250.1458,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.973,593.1623,-0.7521,250.2094,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.081,592.3727,-1.4206,250.2847,359.9188,180.0000,0.0003,359.9188,180.0000,0.0003
1.206,591.7181,-1.9771,250.3689,358.0738,179.9999,0.0079,358.0738,179.9999,0.0079
1.320,591.2520,-2.2222,250.4579,356.5117,179.9996,0.0138,356.5117,179.9996,0.0138
1.429,590.8863,-2.2577,250.5575,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
1.540,590.6238,-2.2103,250.6467,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
1.651,590.3369,-2.1402,250.7569,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
1.762,590.1111,-2.1085,250.8479,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
1.888,589.8491,-2.1210,250.9540,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
1.999,589.5923,-2.1855,251.0566,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
2.112,589.3383,-2.2858,251.1566,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
2.235,589.0858,-2.4031,251.2552,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
2.360,588.8340,-2.5224,251.3536,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
2.485,588.5823,-2.6353,251.4498,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
2.586,588.3708,-2.7212,251.5117,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
2.697,588.1150,-2.8143,251.5543,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
2.820,587.8587,-2.8993,251.5660,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
2.933,587.6016,-2.9807,251.5715,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
3.041,587.3873,-3.0491,251.5896,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
3.153,587.1310,-3.1338,251.6322,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
3.278,586.8760,-3.2215,251.6963,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
3.403,586.6224,-3.3120,251.7800,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
3.514,586.3698,-3.4043,251.8789,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
3.625,586.1597,-3.4817,251.9691,355.7115,179.9994,0.0156,355.7115,179.9994,0.0156
3.751,585.8663,-3.5899,252.1034,355.8322,179.9991,359.7046,355.8322,179.9991,359.7046
3.864,585.6569,-3.6665,252.2030,355.8322,179.9991,359.7046,355.8322,179.9991,359.7046
3.975,585.4036,-3.7561,252.2944,355.8791,179.9988,359.6372,355.8791,179.9988,359.6372
4.084,585.1926,-3.8262,252.3064,356.0342,179.9975,359.4412,356.0342,179.9975,359.4412
4.209,584.9017,-3.9161,252.2164,356.0342,179.9975,359.4412,356.0342,179.9975,359.4412
4.320,584.6982,-3.9750,252.0745,356.2196,179.9954,359.2739,356.2196,179.9954,359.2739
4.445,584.4628,-4.0375,251.7753,356.2196,179.9954,359.2739,356.2196,179.9954,359.2739
4.570,584.1983,-4.0997,251.2683,356.2886,179.9945,359.2320,356.2886,179.9945,359.2320
4.681,584.0140,-4.1387,250.8319,356.2886,179.9945,359.2320,356.2886,179.9945,359.2320
4.806,583.7961,-4.1809,250.2525,356.2886,179.9946,359.2320,356.2886,179.9946,359.2320
4.931,583.5452,-4.2251,249.5261,356.2886,179.9946,359.2320,356.2886,179.9946,359.2320
5.056,583.3314,-4.2598,248.8910,356.2886,179.9946,359.2320,356.2886,179.9946,359.2320
5.181,583.1133,-4.2951,248.3268,356.2886,179.9946,359.2320,356.2886,179.9946,359.2320
5.281,582.9260,-4.3268,247.9444,356.4547,179.9924,359.2399,356.4547,179.9924,359.2399
5.390,582.6943,-4.3670,247.5893,356.4547,179.9924,359.2399,356.4547,179.9924,359.2399
5.515,582.4548,-4.4087,247.3423,356.7811,179.9883,359.3236,356.7811,179.9883,359.3236
5.625,582.2497,-4.4431,247.2059,356.8568,179.9874,359.3540,356.8568,179.9874,359.3540
5.737,581.9990,-4.4819,247.1048,357.0848,179.9850,359.4551,357.0848,179.9850,359.4551
5.851,581.7456,-4.5161,247.0626,357.3098,179.9831,359.5697,357.3098,179.9831,359.5697
5.959,581.5340,-4.5400,247.0630,357.6740,179.9810,359.7799,357.6740,179.9810,359.7799
6.084,581.2808,-4.5617,247.0935,357.8919,179.9804,359.9157,357.8919,179.9804,359.9157
6.209,580.9866,-4.5759,247.1564,358.1776,179.9805,0.0993,358.1776,179.9805,0.0993
6.320,580.7775,-4.5779,247.2124,358.5428,179.9819,0.3433,358.5428,179.9819,0.3433
6.431,580.5280,-4.5710,247.2871,358.8235,179.9840,0.5363,358.8235,179.9840,0.5363
6.556,580.2796,-4.5534,247.3664,359.1680,179.9880,0.7788,359.1680,179.9880,0.7788
