time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.9048,4.8965,250.0026,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.9048,4.8965,250.0026,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.108,599.6597,4.6766,250.0074,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.209,599.3533,4.4113,250.0110,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.322,598.9633,4.0792,250.0143,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.431,598.3964,3.6013,250.0178,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.556,597.7333,3.0463,250.0209,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.681,596.9849,2.4230,250.0237,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.792,596.1609,1.7391,250.0261,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.918,595.2700,1.0016,250.0282,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.031,594.3198,0.2166,250.0301,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.139,593.4877,-0.4699,250.0316,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.251,592.4459,-1.3284,250.0331,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.362,591.5453,-2.0697,250.0342,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.473,590.5157,-2.9395,250.0355,359.4229,180.0000,0.0017,359.4229,180.0000,0.0017
1.586,589.8195,-3.5806,250.0431,355.4904,179.9995,0.0113,355.4904,179.9995,0.0113
1.697,589.4010,-3.8577,250.0597,352.9983,179.9990,0.0134,352.9983,179.9990,0.0134
1.809,589.0060,-3.9791,250.0871,351.4036,179.9986,0.0076,351.4036,179.9986,0.0076
1.932,588.6760,-3.9879,250.1134,350.6925,179.9986,359.9942,350.6925,179.9986,359.9942
2.043,588.3807,-3.9821,250.1300,350.6924,179.9986,359.9942,350.6924,179.9986,359.9942
2.168,588.1038,-4.0178,250.1326,350.6924,179.9986,359.9942,350.6924,179.9986,359.9942
