time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.121,598.6015,5.0092,250.4589,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.223,598.2029,4.6661,250.4638,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.333,597.7819,4.3091,250.4674,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.444,597.1816,3.8045,250.4713,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.569,596.4890,3.2258,250.4747,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.695,595.7144,2.5814,250.4778,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.820,594.8671,1.8789,250.4805,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.930,593.9557,1.1250,250.4828,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.031,593.1523,0.4616,250.4846,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.139,592.3134,-0.2305,250.4862,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.239,591.4421,-0.9484,250.4877,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.348,590.3582,-1.8405,250.4893,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.472,589.3755,-2.7016,250.4984,0.2510,3.8000,-0.4500,358.8532,180.0000,0.0033,0.0000,0.0000,0.0000
1.598,588.7231,-3.3144,250.5335,0.2510,3.8000,-0.4500,354.8934,179.9994,0.0123,0.0000,0.0000,0.0000
1.709,588.2551,-3.6029,250.5773,0.2510,3.8000,-0.4500,352.3258,179.9988,0.0124,0.0000,0.0000,0.0000
1.820,587.9420,-3.6815,250.6188,0.2510,3.8000,-0.4500,351.2398,179.9986,0.0058,0.0000,0.0000,0.0000
1.931,587.6172,-3.6908,250.6684,0.2510,3.8000,-0.4500,350.6914,179.9986,359.9941,0.0000,0.0000,0.0000
2.042,587.3231,-3.6939,250.7105,0.2510,3.8000,-0.4500,350.6914,179.9986,359.9941,0.0000,0.0000,0.0000
2.155,587.0912,-3.7317,250.7345,0.2510,3.8000,-0.4500,350.6914,179.9986,359.9941,0.0000,0.0000,0.0000
