time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.110,598.5438,4.9589,250.4605,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.222,598.1249,4.5996,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.334,597.6889,4.2305,250.4700,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.446,597.0726,3.7129,250.4743,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.557,596.4893,3.2258,250.4775,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.668,595.7150,2.5814,250.4846,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.779,595.0149,1.9998,250.4986,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.890,594.1163,1.2539,250.5285,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.001,593.1611,0.4615,250.5738,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.113,592.3267,-0.2305,250.6231,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.225,591.5359,-0.9064,250.6830,0.2510,3.8000,-0.4500,359.4522,180.0000,0.0023,0.0000,0.0000,0.0000
1.335,591.0746,-1.2322,250.7361,0.2510,3.8000,-0.4500,358.3429,179.9999,0.0069,0.0000,0.0000,0.0000
1.447,590.6518,-1.3684,250.8034,0.2510,3.8000,-0.4500,357.4766,179.9998,0.0103,0.0000,0.0000,0.0000
1.558,590.3618,-1.3441,250.8616,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0110,0.0000,0.0000,0.0000
1.668,590.0549,-1.2475,250.9339,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0110,0.0000,0.0000,0.0000
1.780,589.8187,-1.1676,250.9947,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0110,0.0000,0.0000,0.0000
1.891,589.5479,-1.1112,251.0619,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0110,0.0000,0.0000,0.0000
2.002,589.2844,-1.1085,251.0899,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0110,0.0000,0.0000,0.0000
2.113,589.0695,-1.1405,251.0726,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0110,0.0000,0.0000,0.0000
2.225,588.8160,-1.2050,251.0100,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0110,0.0000,0.0000,0.0000
2.349,588.5659,-1.2812,250.9135,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0110,0.0000,0.0000,0.0000
2.460,588.3593,-1.3441,250.8156,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0110,0.0000,0.0000,0.0000
2.572,588.1127,-1.4127,250.6844,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0110,0.0000,0.0000,0.0000
2.683,587.8669,-1.4719,250.5439,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
2.794,587.6625,-1.5151,250.4224,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
2.905,587.4187,-1.5617,250.2580,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
3.016,587.2181,-1.5973,250.0892,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
3.127,586.9803,-1.6379,249.8488,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
3.238,586.7841,-1.6713,249.6230,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
3.350,586.5501,-1.7118,249.3302,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
3.461,586.3560,-1.7461,249.0738,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
3.572,586.1235,-1.7882,248.7606,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
3.684,585.8907,-1.8313,248.4488,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0110,0.0000,0.0000,0.0000
3.794,585.6964,-1.8678,248.1917,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0110,0.0000,0.0000,0.0000
3.906,585.4628,-1.9121,247.8863,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0110,0.0000,0.0000,0.0000
4.017,585.2680,-1.9493,247.6338,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
4.128,585.0339,-1.9944,247.3336,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
4.238,584.8384,-2.0322,247.0877,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
4.368,584.5640,-2.0857,246.7500,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
4.478,584.3677,-2.1241,246.5125,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
4.589,584.1318,-2.1703,246.2305,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
4.835,583.6594,-2.2620,245.6718,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
4.945,583.4232,-2.3068,245.3917,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
5.055,583.2267,-2.3432,245.1559,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
5.166,582.9908,-2.3858,244.8713,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
5.276,582.7946,-2.4200,244.6332,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
5.388,582.5591,-2.4595,244.3470,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
5.499,582.3629,-2.4910,244.1092,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
5.611,582.1274,-2.5268,243.8251,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
5.722,581.8922,-2.5602,243.5424,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
5.833,581.6963,-2.5860,243.3075,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
5.944,581.4614,-2.6144,243.0262,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
6.056,581.2657,-2.6357,242.7929,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
6.181,581.0310,-2.6582,242.5152,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0109,0.0000,0.0000,0.0000
6.292,580.7965,-2.6771,242.2400,0.2510,3.8000,-0.4500,357.2993,179.9997,0.0110,0.0000,0.0000,0.0000
6.404,580.5623,-2.6904,241.9655,0.2510,3.8000,-0.4500,357.4596,179.9998,0.0492,0.0000,0.0000,0.0000
6.514,580.3679,-2.6967,241.7371,0.2510,3.8000,-0.4500,357.6934,180.0002,0.1304,0.0000,0.0000,0.0000
6.626,580.1345,-2.7021,241.4645,0.2510,3.8000,-0.4500,357.8396,180.0006,0.1999,0.0000,0.0000,0.0000
6.737,579.9406,-2.7028,241.2376,0.2510,3.8000,-0.4500,357.9817,180.0012,0.2750,0.0000,0.0000,0.0000
