time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.110,599.5479,4.5789,250.0105,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.222,599.1290,4.2196,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.334,598.6929,3.8505,250.0200,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.446,598.0766,3.3329,250.0243,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.557,597.4933,2.8458,250.0275,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.668,596.7191,2.2014,250.0346,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.779,596.0189,1.6198,250.0486,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.890,595.1204,0.8739,250.0785,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.001,594.1652,0.0815,250.1238,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.113,593.3307,-0.6105,250.1731,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.225,592.5399,-1.2822,250.2293,359.4522,180.0000,0.0023,359.4522,180.0000,0.0023
1.335,592.0786,-1.5992,250.2753,358.3429,179.9999,0.0069,358.3429,179.9999,0.0069
1.447,591.6557,-1.7284,250.3371,357.4766,179.9998,0.0103,357.4766,179.9998,0.0103
1.558,591.3657,-1.7026,250.3942,357.2993,179.9997,0.0110,357.2993,179.9997,0.0110
1.668,591.0588,-1.6061,250.4664,357.2993,179.9997,0.0110,357.2993,179.9997,0.0110
1.780,590.8226,-1.5261,250.5273,357.2993,179.9997,0.0110,357.2993,179.9997,0.0110
1.891,590.5518,-1.4698,250.5945,357.2993,179.9997,0.0110,357.2993,179.9997,0.0110
2.002,590.2883,-1.4671,250.6225,357.2993,179.9997,0.0110,357.2993,179.9997,0.0110
2.113,590.0734,-1.4991,250.6052,357.2993,179.9997,0.0110,357.2993,179.9997,0.0110
2.225,589.8199,-1.5636,250.5426,357.2993,179.9997,0.0110,357.2993,179.9997,0.0110
2.349,589.5698,-1.6398,250.4461,357.2993,179.9997,0.0110,357.2993,179.9997,0.0110
2.460,589.3632,-1.7027,250.3482,357.2993,179.9997,0.0110,357.2993,179.9997,0.0110
2.572,589.1166,-1.7712,250.2169,357.2993,179.9997,0.0110,357.2993,179.9997,0.0110
2.683,588.8708,-1.8304,250.0765,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
2.794,588.6664,-1.8736,249.9550,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
2.905,588.4226,-1.9203,249.7906,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
3.016,588.2220,-1.9558,249.6218,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
3.127,587.9842,-1.9965,249.3814,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
3.238,587.7880,-2.0299,249.1555,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
3.350,587.5540,-2.0704,248.8628,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
3.461,587.3599,-2.1047,248.6064,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
3.572,587.1274,-2.1468,248.2932,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
3.684,586.8946,-2.1899,247.9814,357.2993,179.9997,0.0110,357.2993,179.9997,0.0110
3.794,586.7003,-2.2263,247.7243,357.2993,179.9997,0.0110,357.2993,179.9997,0.0110
3.906,586.4667,-2.2707,247.4189,357.2993,179.9997,0.0110,357.2993,179.9997,0.0110
4.017,586.2719,-2.3079,247.1664,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
4.128,586.0378,-2.3529,246.8662,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
4.238,585.8423,-2.3908,246.6203,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
4.368,585.5679,-2.4443,246.2826,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
4.478,585.3716,-2.4827,246.0451,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
4.589,585.1357,-2.5289,245.7631,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
4.835,584.6633,-2.6205,245.2044,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
4.945,584.4271,-2.6653,244.9243,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
5.055,584.2306,-2.7018,244.6885,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
5.166,583.9948,-2.7443,244.4039,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
5.276,583.7985,-2.7786,244.1658,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
5.388,583.5630,-2.8181,243.8796,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
5.499,583.3668,-2.8496,243.6418,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
5.611,583.1313,-2.8854,243.3577,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
5.722,582.8961,-2.9188,243.0750,357.2993,179.9997,0.0109,357.2993,179.9997,0.0109
