time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.119,598.4825,4.9058,250.4622,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.235,598.0439,4.5306,250.4682,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.357,597.4946,4.0666,250.4718,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.469,596.8504,3.5238,250.4385,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.594,596.1264,2.9113,250.3247,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.704,595.4705,2.3534,250.1561,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.830,594.4822,1.5080,249.8036,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.955,593.5781,0.7305,249.3993,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.082,592.6278,-0.0900,248.9100,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.192,591.7101,-0.8889,248.4255,0.2510,3.8000,-0.4500,359.8004,180.0000,0.0005,0.0000,0.0000,0.0000
1.316,591.0789,-1.4149,248.1445,0.2510,3.8000,-0.4500,357.8922,179.9999,0.0049,0.0000,0.0000,0.0000
1.441,590.6227,-1.6328,248.0068,0.2510,3.8000,-0.4500,356.5070,179.9998,0.0079,0.0000,0.0000,0.0000
1.567,590.2059,-1.6351,247.9651,0.2510,3.8000,-0.4500,355.8174,179.9996,0.0089,0.0000,0.0000,0.0000
1.678,589.9496,-1.5666,247.9872,0.2510,3.8000,-0.4500,355.8174,179.9996,0.0089,0.0000,0.0000,0.0000
1.803,589.6667,-1.4897,248.0430,0.2510,3.8000,-0.4500,355.8174,179.9996,0.0089,0.0000,0.0000,0.0000
1.904,589.4476,-1.4547,247.9909,0.2510,3.8000,-0.4500,355.8174,179.9997,0.0089,0.0000,0.0000,0.0000
2.015,589.2057,-1.4491,247.7120,0.2510,3.8000,-0.4500,355.8174,179.9997,0.0089,0.0000,0.0000,0.0000
2.123,589.0170,-1.4700,247.3267,0.2510,3.8000,-0.4500,355.8174,179.9997,0.0089,0.0000,0.0000,0.0000
2.248,588.7649,-1.5230,246.6309,0.2510,3.8000,-0.4500,355.8174,179.9997,0.0089,0.0000,0.0000,0.0000
2.362,588.5895,-1.5667,246.0721,0.2510,3.8000,-0.4500,355.8174,179.9997,0.0089,0.0000,0.0000,0.0000
2.471,588.3810,-1.6165,245.3787,0.2510,3.8000,-0.4500,355.8174,179.9996,0.0089,0.0000,0.0000,0.0000
2.595,588.1733,-1.6589,244.6839,0.2510,3.8000,-0.4500,355.8174,179.9996,0.0089,0.0000,0.0000,0.0000
2.696,588.0001,-1.6879,244.1106,0.2510,3.8000,-0.4500,355.8174,179.9996,0.0089,0.0000,0.0000,0.0000
2.804,587.8267,-1.7120,243.5437,0.2510,3.8000,-0.4500,355.8174,179.9996,0.0089,0.0000,0.0000,0.0000
2.915,587.6183,-1.7372,242.8707,0.2510,3.8000,-0.4500,355.8174,179.9996,0.0089,0.0000,0.0000,0.0000
3.040,587.4097,-1.7608,242.2035,0.2510,3.8000,-0.4500,355.8174,179.9996,0.0089,0.0000,0.0000,0.0000
3.165,587.1661,-1.7912,241.4309,0.2510,3.8000,-0.4500,355.6508,179.9996,359.9846,0.0000,0.0000,0.0000
3.276,586.9921,-1.8132,240.8802,0.2510,3.8000,-0.4500,355.6508,179.9996,359.9846,0.0000,0.0000,0.0000
3.401,586.7831,-1.8416,240.2207,0.2510,3.8000,-0.4500,355.6508,179.9996,359.9846,0.0000,0.0000,0.0000
3.513,586.5742,-1.8718,239.5621,0.2510,3.8000,-0.4500,355.6508,179.9996,359.9846,0.0000,0.0000,0.0000
3.638,586.3651,-1.9033,238.9042,0.2510,3.8000,-0.4500,355.6508,179.9997,359.9846,0.0000,0.0000,0.0000
3.763,586.1559,-1.9366,238.2471,0.2510,3.8000,-0.4500,355.5711,179.9996,359.9686,0.0000,0.0000,0.0000
3.876,585.9467,-1.9693,237.5898,0.2510,3.8000,-0.4500,355.5711,179.9996,359.9686,0.0000,0.0000,0.0000
3.985,585.7719,-1.9988,237.0431,0.2510,3.8000,-0.4500,355.4123,179.9998,359.9331,0.0000,0.0000,0.0000
4.096,585.5624,-2.0320,236.3861,0.2510,3.8000,-0.4500,355.4123,179.9998,359.9331,0.0000,0.0000,0.0000
4.221,585.3529,-2.0655,235.7293,0.2510,3.8000,-0.4500,355.4123,179.9998,359.9331,0.0000,0.0000,0.0000
4.347,585.1083,-2.1060,234.9635,0.2510,3.8000,-0.4500,355.3350,180.0000,359.9146,0.0000,0.0000,0.0000
4.457,584.9338,-2.1345,234.4164,0.2510,3.8000,-0.4500,355.3350,180.0000,359.9146,0.0000,0.0000,0.0000
4.569,584.7243,-2.1690,233.7599,0.2510,3.8000,-0.4500,355.3350,180.0000,359.9146,0.0000,0.0000,0.0000
4.679,584.5497,-2.1979,233.2129,0.2510,3.8000,-0.4500,355.3350,180.0000,359.9147,0.0000,0.0000,0.0000
4.804,584.3403,-2.2339,232.5571,0.2510,3.8000,-0.4500,355.2542,180.0001,359.8968,0.0000,0.0000,0.0000
4.915,584.1309,-2.2699,231.9013,0.2510,3.8000,-0.4500,355.1752,180.0002,359.8815,0.0000,0.0000,0.0000
5.041,583.9210,-2.3050,231.2453,0.2510,3.8000,-0.4500,355.1752,180.0002,359.8815,0.0000,0.0000,0.0000
5.166,583.6762,-2.3457,230.4800,0.2510,3.8000,-0.4500,355.1753,180.0002,359.8815,0.0000,0.0000,0.0000
5.279,583.5015,-2.3755,229.9339,0.2510,3.8000,-0.4500,355.0970,180.0004,359.8707,0.0000,0.0000,0.0000
5.387,583.2921,-2.4099,229.2781,0.2510,3.8000,-0.4500,355.0970,180.0004,359.8707,0.0000,0.0000,0.0000
5.498,583.1175,-2.4382,228.7318,0.2510,3.8000,-0.4500,355.0970,180.0005,359.8707,0.0000,0.0000,0.0000
5.624,582.9078,-2.4717,228.0763,0.2510,3.8000,-0.4500,355.0970,180.0005,359.8707,0.0000,0.0000,0.0000
5.748,582.6636,-2.5105,227.3121,0.2510,3.8000,-0.4500,355.0183,180.0007,359.8728,0.0000,0.0000,0.0000
5.874,582.4544,-2.5425,226.6568,0.2510,3.8000,-0.4500,355.0183,180.0007,359.8728,0.0000,0.0000,0.0000
5.985,582.2801,-2.5684,226.1109,0.2510,3.8000,-0.4500,355.0183,180.0007,359.8728,0.0000,0.0000,0.0000
6.098,582.0713,-2.5987,225.4558,0.2510,3.8000,-0.4500,355.0183,180.0007,359.8728,0.0000,0.0000,0.0000
6.220,581.8624,-2.6278,224.8009,0.2510,3.8000,-0.4500,355.0183,180.0007,359.8728,0.0000,0.0000,0.0000
6.346,581.6192,-2.6603,224.0368,0.2510,3.8000,-0.4500,355.0183,180.0007,359.8728,0.0000,0.0000,0.0000
6.457,581.4455,-2.6824,223.4911,0.2510,3.8000,-0.4500,355.0183,180.0007,359.8728,0.0000,0.0000,0.0000
6.582,581.2375,-2.7076,222.8363,0.2510,3.8000,-0.4500,355.0183,180.0008,359.8728,0.0000,0.0000,0.0000
6.707,580.9949,-2.7351,222.0723,0.2510,3.8000,-0.4500,355.0183,180.0008,359.8728,0.0000,0.0000,0.0000
6.832,580.7872,-2.7569,221.4176,0.2510,3.8000,-0.4500,355.0183,180.0008,359.8728,0.0000,0.0000,0.0000
6.957,580.5798,-2.7770,220.7627,0.2510,3.8000,-0.4500,355.0183,180.0008,359.8728,0.0000,0.0000,0.0000
7.070,580.3727,-2.7952,220.1078,0.2510,3.8000,-0.4500,355.0183,180.0008,359.8728,0.0000,0.0000,0.0000
