time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8000,4.8007,250.0055,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8000,4.8007,250.0055,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.119,599.4866,4.5258,250.0122,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.235,599.0480,4.1506,250.0182,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.357,598.4986,3.6866,250.0218,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.469,597.8544,3.1438,249.9885,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.594,597.1304,2.5313,249.8747,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.704,596.4745,1.9734,249.7061,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.830,595.4862,1.1280,249.3537,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.955,594.5821,0.3505,248.9493,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.082,593.6318,-0.4700,248.4600,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.192,592.7141,-1.2673,247.9742,359.8004,180.0000,0.0005,359.8004,180.0000,0.0005
1.316,592.0828,-1.7782,247.6809,357.8922,179.9999,0.0049,357.8922,179.9999,0.0049
1.441,591.6267,-1.9849,247.5345,356.5070,179.9998,0.0079,356.5070,179.9998,0.0079
1.567,591.2099,-1.9814,247.4886,355.8174,179.9996,0.0089,355.8174,179.9996,0.0089
1.678,590.9536,-1.9129,247.5107,355.8174,179.9996,0.0089,355.8174,179.9996,0.0089
1.803,590.6707,-1.8361,247.5665,355.8174,179.9996,0.0089,355.8174,179.9996,0.0089
1.904,590.4515,-1.8011,247.5144,355.8174,179.9997,0.0089,355.8174,179.9997,0.0089
2.015,590.2097,-1.7954,247.2355,355.8174,179.9997,0.0089,355.8174,179.9997,0.0089
2.123,590.0210,-1.8164,246.8501,355.8174,179.9997,0.0089,355.8174,179.9997,0.0089
2.248,589.7689,-1.8693,246.1544,355.8174,179.9997,0.0089,355.8174,179.9997,0.0089
2.362,589.5934,-1.9130,245.5956,355.8174,179.9997,0.0089,355.8174,179.9997,0.0089
2.471,589.3850,-1.9628,244.9022,355.8174,179.9996,0.0089,355.8174,179.9996,0.0089
2.595,589.1772,-2.0053,244.2074,355.8174,179.9996,0.0089,355.8174,179.9996,0.0089
2.696,589.0040,-2.0342,243.6341,355.8174,179.9996,0.0089,355.8174,179.9996,0.0089
2.804,588.8307,-2.0584,243.0672,355.8174,179.9996,0.0089,355.8174,179.9996,0.0089
2.915,588.6223,-2.0835,242.3942,355.8174,179.9996,0.0089,355.8174,179.9996,0.0089
3.040,588.4137,-2.1071,241.7270,355.8174,179.9996,0.0089,355.8174,179.9996,0.0089
3.165,588.1702,-2.1357,240.9534,355.6508,179.9996,359.9846,355.6508,179.9996,359.9846
3.276,587.9962,-2.1577,240.4027,355.6508,179.9996,359.9846,355.6508,179.9996,359.9846
3.401,587.7872,-2.1861,239.7432,355.6508,179.9996,359.9846,355.6508,179.9996,359.9846
3.513,587.5782,-2.2163,239.0846,355.6508,179.9996,359.9846,355.6508,179.9996,359.9846
3.638,587.3692,-2.2478,238.4267,355.6508,179.9997,359.9846,355.6508,179.9997,359.9846
3.763,587.1602,-2.2801,237.7691,355.5711,179.9996,359.9686,355.5711,179.9996,359.9686
3.876,586.9509,-2.3129,237.1118,355.5711,179.9996,359.9686,355.5711,179.9996,359.9686
3.985,586.7764,-2.3404,236.5642,355.4123,179.9998,359.9331,355.4123,179.9998,359.9331
4.096,586.5669,-2.3736,235.9072,355.4123,179.9998,359.9331,355.4123,179.9998,359.9331
4.221,586.3574,-2.4071,235.2504,355.4123,179.9998,359.9331,355.4123,179.9998,359.9331
4.347,586.1129,-2.4466,234.4842,355.3350,180.0000,359.9146,355.3350,180.0000,359.9146
4.457,585.9384,-2.4751,233.9371,355.3350,180.0000,359.9146,355.3350,180.0000,359.9146
4.569,585.7289,-2.5096,233.2806,355.3350,180.0000,359.9146,355.3350,180.0000,359.9146
4.679,585.5543,-2.5386,232.7336,355.3350,180.0000,359.9147,355.3350,180.0000,359.9147
4.804,585.3450,-2.5736,232.0773,355.2542,180.0001,359.8968,355.2542,180.0001,359.8968
4.915,585.1356,-2.6086,231.4211,355.1752,180.0002,359.8815,355.1752,180.0002,359.8815
5.041,584.9258,-2.6437,230.7651,355.1752,180.0002,359.8815,355.1752,180.0002,359.8815
5.166,584.6810,-2.6845,229.9998,355.1753,180.0002,359.8815,355.1753,180.0002,359.8815
5.279,584.5063,-2.7134,229.4532,355.0970,180.0004,359.8707,355.0970,180.0004,359.8707
5.387,584.2969,-2.7478,228.7975,355.0970,180.0004,359.8707,355.0970,180.0004,359.8707
5.498,584.1223,-2.7761,228.2511,355.0970,180.0005,359.8707,355.0970,180.0005,359.8707
5.624,583.9127,-2.8096,227.5956,355.0970,180.0005,359.8707,355.0970,180.0005,359.8707
5.748,583.6684,-2.8478,226.8310,355.0183,180.0007,359.8728,355.0183,180.0007,359.8728
5.874,583.4592,-2.8797,226.1757,355.0183,180.0007,359.8728,355.0183,180.0007,359.8728
5.985,583.2849,-2.9057,225.6298,355.0183,180.0007,359.8728,355.0183,180.0007,359.8728
6.098,583.0761,-2.9359,224.9747,355.0183,180.0007,359.8728,355.0183,180.0007,359.8728
6.220,582.8672,-2.9651,224.3197,355.0183,180.0007,359.8728,355.0183,180.0007,359.8728
6.346,582.6240,-2.9976,223.5557,355.0183,180.0007,359.8728,355.0183,180.0007,359.8728
6.457,582.4503,-3.0196,223.0100,355.0183,180.0007,359.8728,355.0183,180.0007,359.8728
6.582,582.2423,-3.0449,222.3551,355.0183,180.0008,359.8728,355.0183,180.0008,359.8728
6.707,581.9998,-3.0723,221.5912,355.0183,180.0008,359.8728,355.0183,180.0008,359.8728
6.832,581.7920,-3.0942,220.9364,355.0183,180.0008,359.8728,355.0183,180.0008,359.8728
6.957,581.5846,-3.1142,220.2816,355.0183,180.0008,359.8728,355.0183,180.0008,359.8728
7.070,581.3775,-3.1325,219.6267,355.0183,180.0008,359.8728,355.0183,180.0008,359.8728
7.179,581.2050,-3.1463,219.0809,355.0183,180.0008,359.8728,355.0183,180.0008,359.8728
7.304,580.9985,-3.1610,218.4250,354.9889,180.0008,359.9455,354.9889,180.0008,359.9455
7.415,580.7940,-3.1717,217.7387,354.9889,180.0008,359.9455,354.9889,180.0008,359.9455
7.540,580.5906,-3.1778,217.0264,354.9760,180.0008,0.0233,354.9760,180.0008,0.0233
7.654,580.3872,-3.1820,216.3244,354.9715,180.0008,0.1005,354.9715,180.0008,0.1005
7.763,580.2141,-3.1878,215.8047,354.9839,180.0008,0.1811,354.9839,180.0008,0.1811
7.873,579.9956,-3.2047,215.3435,354.9980,180.0009,0.2616,354.9980,180.0009,0.2616
7.998,579.7638,-3.2329,215.0639,355.0901,180.0015,0.4884,355.0901,180.0015,0.4884
8.123,579.5226,-3.2692,214.9356,355.1720,180.0023,0.6281,355.1720,180.0023,0.6281
8.248,579.2386,-3.3156,214.9204,355.3215,180.0042,0.8252,355.3215,180.0042,0.8252
8.374,578.9954,-3.3536,214.9814,355.5608,180.0082,1.0598,355.5608,180.0082,1.0598
8.498,578.7529,-3.3865,215.0848,355.8242,180.0136,1.2716,355.8242,180.0136,1.2716
8.610,578.5120,-3.4120,215.2146,356.1855,180.0224,1.5131,356.1855,180.0224,1.5131
8.735,578.2726,-3.4285,215.3604,356.4840,180.0307,1.6875,356.4840,180.0307,1.6875
8.860,578.0341,-3.4350,215.5162,356.7785,180.0399,1.8473,356.7785,180.0399,1.8473
8.961,577.8364,-3.4324,215.6503,357.1588,180.0528,2.0363,357.1588,180.0528,2.0363
9.067,577.6003,-3.4197,215.8144,357.3853,180.0611,2.1421,357.3853,180.0611,2.1421
9.193,577.3653,-3.3962,215.9801,357.8795,180.0805,2.3576,357.8795,180.0805,2.3576
9.318,577.1315,-3.3623,216.1469,358.2648,180.0969,2.5158,358.2648,180.0969,2.5158
9.419,576.9377,-3.3260,216.2863,358.5128,180.1080,2.6099,358.5128,180.1080,2.6099
9.526,576.7060,-3.2731,216.4535,359.0072,180.1313,2.7885,359.0072,180.1313,2.7885
9.638,576.5140,-3.2214,216.5928,359.3199,180.1469,2.8924,359.3199,180.1469,2.8924
9.751,576.2844,-3.1507,216.7591,359.6391,180.1633,2.9897,359.6391,180.1633,2.9897
9.859,576.0942,-3.0848,216.8968,359.8846,180.1762,3.0588,359.8846,180.1762,3.0588
9.984,575.8667,-2.9978,217.0608,0.3836,180.2035,3.1838,0.3836,180.2035,3.1838
10.110,575.6025,-2.8863,217.2495,0.7214,180.2225,3.2517,0.7214,180.2225,3.2517
10.221,575.4143,-2.8006,217.3824,0.8873,180.2319,3.2819,0.8873,180.2319,3.2819
10.346,575.1514,-2.6731,217.5658,1.3089,180.2563,3.3385,1.3089,180.2563,3.3385
10.457,574.9639,-2.5773,217.6945,1.6455,180.2760,3.3627,1.6455,180.2760,3.3627
10.568,574.7390,-2.4581,217.8463,1.8984,180.2909,3.3654,1.8984,180.2909,3.3654
10.679,574.5517,-2.3557,217.9707,2.0619,180.3005,3.3630,2.0619,180.3005,3.3630
10.780,574.3643,-2.2512,218.0931,2.3140,180.3153,3.3365,2.3140,180.3153,3.3365
10.896,574.1392,-2.1238,218.2369,2.3965,180.3201,3.3259,2.3965,180.3201,3.3259
10.996,573.9513,-2.0166,218.3544,2.6478,180.3346,3.2681,2.6478,180.3346,3.2681
11.097,573.7629,-1.9091,218.4691,2.8057,180.3436,3.2202,2.8057,180.3436,3.2202
11.206,573.5356,-1.7806,218.6017,2.9602,180.3522,3.1549,2.9602,180.3522,3.1549
11.319,573.3455,-1.6747,218.7082,3.1814,180.3642,3.0320,3.1814,180.3642,3.0320
11.428,573.1161,-1.5497,218.8314,3.3785,180.3744,2.8810,3.3785,180.3744,2.8810
11.553,572.8849,-1.4279,218.9492,3.4965,180.3802,2.7619,3.4965,180.3802,2.7619
11.678,572.6522,-1.3104,219.0617,3.6039,180.3853,2.6377,3.6039,180.3853,2.6377
11.804,572.4174,-1.1979,219.1687,3.7780,180.3929,2.3525,3.7780,180.3929,2.3525
11.929,572.1405,-1.0743,219.2835,3.8985,180.3975,2.0387,3.8985,180.3975,2.0387
12.054,571.9005,-0.9759,219.3738,3.9540,180.3994,1.7827,3.9540,180.3994,1.7827
12.178,571.6580,-0.8851,219.4573,3.9945,180.4006,1.5317,3.9945,180.4006,1.5317
12.304,571.4135,-0.8024,219.5358,4.0034,180.4008,1.0998,4.0034,180.4008,1.0998
12.428,571.1257,-0.7167,219.6222,3.9840,180.4005,0.8397,3.9840,180.4005,0.8397
12.554,570.8765,-0.6530,219.6919,3.9103,180.3997,0.3215,3.9103,180.3997,0.3215
12.665,570.6671,-0.6072,219.7453,3.8777,180.3996,0.1643,3.8777,180.3996,0.1643
12.789,570.3713,-0.5544,219.8141,3.7740,180.3997,359.7614,3.7740,180.3997,359.7614
12.903,570.1586,-0.5249,219.8590,3.6681,180.4004,359.4321,3.6681,180.4004,359.4321
13.012,569.9011,-0.4987,219.9070,3.5851,180.4014,359.1932,3.5851,180.4014,359.1932
13.137,569.6419,-0.4823,219.9506,3.3931,180.4050,358.7163,3.3931,180.4050,358.7163
13.262,569.3818,-0.4756,219.9936,3.3246,180.4066,358.5625,3.3246,180.4066,358.5625
13.387,569.0772,-0.4793,220.0474,3.0950,180.4133,358.0893,3.0950,180.4133,358.0893
13.511,568.8159,-0.4919,220.0994,2.9336,180.4191,357.7942,2.9336,180.4191,357.7942
13.623,568.5979,-0.5087,220.1477,2.8506,180.4224,357.6523,2.8506,180.4224,357.6523
13.734,568.3364,-0.5362,220.2115,2.6681,180.4304,357.3646,2.6681,180.4304,357.3646
13.845,568.0748,-0.5711,220.2820,2.5756,180.4348,357.2312,2.5756,180.4348,357.2312
13.945,567.8571,-0.6054,220.3456,2.4234,180.4424,357.0295,2.4234,180.4424,357.0295
14.054,567.6395,-0.6440,220.4139,2.2566,180.4514,356.8354,2.2566,180.4514,356.8354
14.178,567.3788,-0.6955,220.5019,2.0840,180.4612,356.6590,2.0840,180.4612,356.6590
14.304,567.1185,-0.7519,220.5963,2.0840,180.4612,356.6590,2.0840,180.4612,356.6590
14.415,566.8588,-0.8122,220.6980,1.8159,180.4773,356.4541,1.8159,180.4773,356.4541
14.515,566.6431,-0.8649,220.7888,1.8159,180.4773,356.4541,1.8159,180.4773,356.4541
14.624,566.4278,-0.9193,220.8844,1.7429,180.4819,356.4186,1.7429,180.4819,356.4186
14.725,566.2128,-0.9749,220.9853,1.5042,180.4970,356.3368,1.5042,180.4970,356.3368
14.829,565.9561,-1.0424,221.1147,1.5042,180.4970,356.3368,1.5042,180.4970,356.3368
14.941,565.7428,-1.0990,221.2288,1.3389,180.5076,356.3255,1.3389,180.5076,356.3255
15.041,565.5301,-1.1553,221.3471,1.1769,180.5180,356.3398,1.1769,180.5180,356.3398
15.150,565.2751,-1.2219,221.4924,1.1769,180.5180,356.3398,1.1769,180.5180,356.3398
