time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.127,599.5479,4.5789,250.0105,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.237,599.1290,4.2196,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.349,598.5970,3.7697,250.0207,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.460,598.0766,3.3329,250.0251,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.573,597.3702,2.7427,250.0350,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.682,596.7204,2.2014,250.0488,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.793,595.8753,1.4989,250.0728,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.905,595.1223,0.8739,250.0991,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.016,594.1666,0.0815,250.1378,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.127,593.3311,-0.6105,250.1756,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.238,592.2867,-1.4749,250.2271,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.349,591.2017,-2.3723,250.2847,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.461,590.4081,-3.0768,250.3342,358.8495,180.0000,0.0035,358.8495,180.0000,0.0035
1.572,589.7610,-3.6778,250.3996,354.8767,179.9993,0.0132,354.8767,179.9993,0.0132
1.683,589.3674,-3.9382,250.4720,352.6174,179.9988,0.0142,352.6174,179.9988,0.0142
1.794,588.9915,-4.0598,250.5793,351.2130,179.9985,0.0066,351.2130,179.9985,0.0066
1.906,588.7242,-4.0837,250.6782,350.7466,179.9985,-0.0030,350.7466,179.9985,-0.0030
2.016,588.4337,-4.1007,250.7982,350.7466,179.9985,-0.0029,350.7466,179.9985,-0.0029
2.128,588.1616,-4.1566,250.9126,350.7466,179.9985,-0.0030,350.7466,179.9985,-0.0030
2.239,587.9426,-4.2474,251.0015,350.7466,179.9985,-0.0030,350.7466,179.9985,-0.0030
2.351,587.6849,-4.4053,251.1008,350.7466,179.9985,-0.0030,350.7466,179.9985,-0.0030
2.462,587.4725,-4.5660,251.1792,350.7466,179.9985,-0.0029,350.7466,179.9985,-0.0029
2.572,587.2193,-4.7768,251.2707,350.7466,179.9985,-0.0029,350.7466,179.9985,-0.0029
2.684,587.0090,-4.9567,251.3465,350.7466,179.9985,-0.0030,350.7466,179.9985,-0.0030
2.796,586.7570,-5.1684,251.4389,350.7466,179.9985,-0.0030,350.7466,179.9985,-0.0030
2.906,586.5468,-5.3383,251.5173,350.7466,179.9985,-0.0030,350.7466,179.9985,-0.0030
3.017,586.2944,-5.5341,251.6130,350.7466,179.9985,-0.0030,350.7466,179.9985,-0.0030
3.128,586.0417,-5.7233,251.7098,350.7466,179.9985,-0.0030,350.7466,179.9985,-0.0030
3.240,585.8312,-5.8779,251.7909,350.7606,179.9985,359.8355,350.7606,179.9985,359.8355
3.350,585.5785,-6.0621,251.8880,350.8290,179.9981,359.5961,350.8290,179.9981,359.5961
3.462,585.3680,-6.2155,251.9683,350.9411,179.9971,359.3738,350.9411,179.9971,359.3738
3.573,585.1158,-6.4003,252.0638,351.0394,179.9959,359.2329,351.0394,179.9959,359.2329
3.685,584.9057,-6.5548,252.1433,351.1939,179.9935,359.0315,351.1939,179.9935,359.0315
3.794,584.6537,-6.7402,252.2389,351.4322,179.9889,358.7916,351.4322,179.9889,358.7916
3.906,584.4438,-6.8942,252.3194,351.5549,179.9862,358.6826,351.5549,179.9862,358.6826
4.017,584.1920,-7.0776,252.4176,351.8149,179.9797,358.4773,351.8149,179.9797,358.4773
4.128,583.9402,-7.2586,252.5180,352.1084,179.9713,358.2880,352.1084,179.9713,358.2880
4.241,583.7307,-7.4070,252.6039,352.3256,179.9645,358.1603,352.3256,179.9645,358.1603
4.351,583.4792,-7.5813,252.7091,352.6292,179.9542,358.0178,352.6292,179.9542,358.0178
4.475,583.2280,-7.7504,252.8171,352.9381,179.9431,357.9005,352.9381,179.9431,357.9005
4.587,583.0184,-7.8864,252.9086,353.3417,179.9279,357.7960,353.3417,179.9279,357.7960
4.698,582.7667,-8.0429,253.0196,353.6683,179.9150,357.7455,353.6683,179.9150,357.7455
4.809,582.5150,-8.1907,253.1313,354.0873,179.8983,357.7191,354.0873,179.8983,357.7191
4.920,582.3049,-8.3064,253.2244,354.4419,179.8842,357.7355,354.4419,179.8842,357.7355
5.031,582.0524,-8.4349,253.3364,354.9740,179.8633,357.7995,354.9740,179.8633,357.7995
5.142,581.8418,-8.5325,253.4292,355.3982,179.8473,357.8866,355.3982,179.8473,357.8866
5.253,581.5887,-8.6373,253.5397,355.8997,179.8293,358.0299,355.8997,179.8293,358.0299
5.364,581.3775,-8.7133,253.6304,356.3223,179.8153,358.1809,356.3223,179.8153,358.1809
5.475,581.1239,-8.7901,253.7372,356.8416,179.7997,358.3993,356.8416,179.7997,358.3993
