time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.107,598.5439,4.9589,250.4612,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.209,598.2031,4.6661,250.4663,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.321,597.6891,4.2305,250.4717,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.430,597.1821,3.8045,250.4758,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.542,596.4902,3.2258,250.4864,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.653,595.8519,2.6930,250.5097,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.763,595.0209,1.9998,250.5611,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.864,594.2800,1.3816,250.6247,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.986,593.3392,0.5966,250.7258,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.100,592.3484,-0.2305,250.8524,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.208,591.4886,-0.9484,250.9758,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.333,590.4205,-1.8406,251.1435,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.459,589.2669,-2.8660,251.3477,0.2510,3.8000,-0.4500,358.8411,180.0000,0.0037,0.0000,0.0000,0.0000
1.571,588.7144,-3.4225,251.4765,0.2510,3.8000,-0.4500,355.4431,179.9995,0.0125,0.0000,0.0000,0.0000
1.682,588.2305,-3.7777,251.6128,0.2510,3.8000,-0.4500,352.5687,179.9987,0.0136,0.0000,0.0000,0.0000
1.793,587.9125,-3.8923,251.7227,0.2510,3.8000,-0.4500,351.3260,179.9985,0.0061,0.0000,0.0000,0.0000
1.905,587.5880,-3.9258,251.8573,0.2510,3.8000,-0.4500,350.7025,179.9985,359.9924,0.0000,0.0000,0.0000
2.015,587.2985,-3.9405,251.9915,0.2510,3.8000,-0.4500,350.7025,179.9985,359.9924,0.0000,0.0000,0.0000
2.126,587.0719,-3.9843,252.1006,0.2510,3.8000,-0.4500,350.7025,179.9985,359.9924,0.0000,0.0000,0.0000
2.237,586.8099,-4.0921,252.2253,0.2510,3.8000,-0.4500,350.7025,179.9985,359.9924,0.0000,0.0000,0.0000
2.362,586.5537,-4.2547,252.3420,0.2510,3.8000,-0.4500,350.7025,179.9985,359.9924,0.0000,0.0000,0.0000
2.487,586.2997,-4.4529,252.4431,0.2510,3.8000,-0.4500,350.7025,179.9985,359.9924,0.0000,0.0000,0.0000
2.612,586.0458,-4.6655,252.5261,0.2510,3.8000,-0.4500,350.7025,179.9985,359.9924,0.0000,0.0000,0.0000
2.723,585.7912,-4.8772,252.5951,0.2510,3.8000,-0.4500,350.7025,179.9985,359.9924,0.0000,0.0000,0.0000
2.849,585.5358,-5.0801,252.6548,0.2510,3.8000,-0.4500,350.7025,179.9985,359.9924,0.0000,0.0000,0.0000
2.960,585.2795,-5.2721,252.7088,0.2510,3.8000,-0.4500,350.7025,179.9985,359.9924,0.0000,0.0000,0.0000
3.072,585.0653,-5.4250,252.7506,0.2510,3.8000,-0.4500,350.7025,179.9985,359.9924,0.0000,0.0000,0.0000
3.183,584.8057,-5.6075,252.7954,0.2510,3.8000,-0.4500,350.7939,179.9982,359.6664,0.0000,0.0000,0.0000
3.299,584.5482,-5.7821,252.8384,0.2510,3.8000,-0.4500,350.7939,179.9982,359.6664,0.0000,0.0000,0.0000
3.408,584.3319,-5.9299,252.8713,0.2510,3.8000,-0.4500,350.9152,179.9973,359.4414,0.0000,0.0000,0.0000
3.515,584.0723,-6.1077,252.9099,0.2510,3.8000,-0.4500,351.1039,179.9949,359.1725,0.0000,0.0000,0.0000
3.631,583.8568,-6.2554,252.9420,0.2510,3.8000,-0.4500,351.2115,179.9932,359.0480,0.0000,0.0000,0.0000
3.737,583.5984,-6.4306,252.9509,0.2510,3.8000,-0.4500,351.3838,179.9901,358.8695,0.0000,0.0000,0.0000
3.849,583.3843,-6.5727,252.9228,0.2510,3.8000,-0.4500,351.6314,179.9846,358.6442,0.0000,0.0000,0.0000
3.960,583.1307,-6.7358,252.8528,0.2510,3.8000,-0.4500,351.6972,179.9830,358.5918,0.0000,0.0000,0.0000
4.075,582.8787,-6.8940,252.7500,0.2510,3.8000,-0.4500,351.9007,179.9777,358.4370,0.0000,0.0000,0.0000
4.201,582.6283,-7.0472,252.6255,0.2510,3.8000,-0.4500,352.1071,179.9717,358.2931,0.0000,0.0000,0.0000
4.312,582.4203,-7.1712,252.5100,0.2510,3.8000,-0.4500,352.3234,179.9650,358.1698,0.0000,0.0000,0.0000
4.418,582.1721,-7.3161,252.3650,0.2510,3.8000,-0.4500,352.3947,179.9627,358.1316,0.0000,0.0000,0.0000
4.529,581.9647,-7.4330,252.2385,0.2510,3.8000,-0.4500,352.7129,179.9519,358.0138,0.0000,0.0000,0.0000
4.655,581.6755,-7.5918,252.0600,0.2510,3.8000,-0.4500,352.8751,179.9461,357.9779,0.0000,0.0000,0.0000
4.765,581.4690,-7.7007,251.9308,0.2510,3.8000,-0.4500,353.0386,179.9403,357.9520,0.0000,0.0000,0.0000
4.890,581.2212,-7.8245,251.7761,0.2510,3.8000,-0.4500,353.3748,179.9281,357.9428,0.0000,0.0000,0.0000
5.015,580.9291,-7.9612,251.6383,0.2510,3.8000,-0.4500,353.8755,179.9103,358.0145,0.0000,0.0000,0.0000
5.127,580.7184,-8.0588,251.6008,0.2510,3.8000,-0.4500,354.0352,179.9048,358.0551,0.0000,0.0000,0.0000
5.238,580.4658,-8.1671,251.6141,0.2510,3.8000,-0.4500,354.5468,179.8881,358.2267,0.0000,0.0000,0.0000
5.350,580.2561,-8.2511,251.6600,0.2510,3.8000,-0.4500,354.9604,179.8758,358.3898,0.0000,0.0000,0.0000
5.461,580.0051,-8.3411,251.7421,0.2510,3.8000,-0.4500,355.4507,179.8629,358.6066,0.0000,0.0000,0.0000
5.573,579.7966,-8.4049,251.8252,0.2510,3.8000,-0.4500,355.8701,179.8534,358.8084,0.0000,0.0000,0.0000
5.695,579.5060,-8.4744,251.9562,0.2510,3.8000,-0.4500,356.4865,179.8422,359.1277,0.0000,0.0000,0.0000
5.806,579.2994,-8.5084,252.0562,0.2510,3.8000,-0.4500,356.9490,179.8362,359.3834,0.0000,0.0000,0.0000
5.933,579.0525,-8.5308,252.1800,0.2510,3.8000,-0.4500,357.5263,179.8317,359.7205,0.0000,0.0000,0.0000
6.043,578.8073,-8.5322,252.3056,0.2510,3.8000,-0.4500,358.1241,179.8307,0.0892,0.0000,0.0000,0.0000
6.168,578.5638,-8.5118,252.4314,0.2510,3.8000,-0.4500,358.7378,179.8337,0.4877,0.0000,0.0000,0.0000
6.279,578.3227,-8.4693,252.5567,0.2510,3.8000,-0.4500,359.3627,179.8414,0.9130,0.0000,0.0000,0.0000
6.390,578.1238,-8.4168,252.6605,0.2510,3.8000,-0.4500,359.8888,179.8515,1.2857,0.0000,0.0000,0.0000
6.515,577.8491,-8.3171,252.8054,0.2510,3.8000,-0.4500,0.6283,179.8715,1.8311,0.0000,0.0000,0.0000
6.625,577.6560,-8.2273,252.9088,0.2510,3.8000,-0.4500,1.1552,179.8902,2.2344,0.0000,0.0000,0.0000
6.737,577.4281,-8.0992,253.0334,0.2510,3.8000,-0.4500,1.7823,179.9174,2.7298,0.0000,0.0000,0.0000
6.847,577.2416,-7.9757,253.1369,0.2510,3.8000,-0.4500,2.2976,179.9439,3.1491,0.0000,0.0000,0.0000
