time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8000,4.8007,250.0055,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8000,4.8007,250.0055,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.108,599.5479,4.5789,250.0112,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.235,599.0480,4.1506,250.0182,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.347,598.5972,3.7697,250.0226,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.459,597.9650,3.2394,250.0274,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.571,597.3702,2.7427,250.0343,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.682,596.5871,2.0882,250.0831,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.807,595.7399,1.3767,250.2075,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.932,594.8378,0.6147,250.4203,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.043,593.8884,-0.1920,250.7306,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.155,592.9381,-1.0152,251.1244,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.265,592.3639,-1.5196,251.4138,358.9716,180.0000,0.0053,358.9716,180.0000,0.0053
1.377,591.8720,-1.8087,251.7225,357.8071,179.9998,0.0115,357.8071,179.9998,0.0115
1.487,591.5560,-1.8558,251.9659,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
1.599,591.2388,-1.7880,252.2502,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
1.710,591.0040,-1.7008,252.4811,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
1.821,590.7413,-1.6201,252.7483,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
1.932,590.5314,-1.5949,252.9631,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
2.058,590.2408,-1.6238,253.1798,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
2.168,590.0380,-1.6720,253.1627,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
2.292,589.8047,-1.7398,252.9415,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
2.418,589.5444,-1.8132,252.4646,357.2581,179.9996,0.0144,357.2581,179.9996,0.0144
2.529,589.3649,-1.8543,252.0067,357.2581,179.9996,0.0144,357.2581,179.9996,0.0144
2.640,589.1542,-1.8894,251.3705,357.2581,179.9996,0.0144,357.2581,179.9996,0.0144
2.751,588.9811,-1.9088,250.7947,357.2581,179.9996,0.0144,357.2581,179.9996,0.0144
2.863,588.7748,-1.9242,250.0717,357.2581,179.9996,0.0144,357.2581,179.9996,0.0144
2.974,588.5695,-1.9353,249.3306,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
3.084,588.3986,-1.9441,248.7086,357.2581,179.9996,0.0144,357.2581,179.9996,0.0144
3.196,588.1935,-1.9558,247.9623,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
3.307,588.0197,-1.9689,247.3887,357.2581,179.9996,0.0144,357.2581,179.9996,0.0144
3.418,587.8000,-1.9950,246.8712,357.2581,179.9996,0.0144,357.2581,179.9996,0.0144
3.529,587.6050,-2.0274,246.6047,357.2581,179.9996,0.0144,357.2581,179.9996,0.0144
3.654,587.3223,-2.0875,246.4561,357.2581,179.9996,0.0144,357.2581,179.9996,0.0144
3.764,587.1199,-2.1388,246.4754,357.2581,179.9996,0.0144,357.2581,179.9996,0.0144
3.877,586.8780,-2.2065,246.5901,357.2581,179.9996,0.0144,357.2581,179.9996,0.0144
3.987,586.6761,-2.2621,246.6231,357.2581,179.9996,0.0144,357.2581,179.9996,0.0144
4.113,586.4453,-2.3157,246.3944,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
4.224,586.2258,-2.3554,245.9268,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
4.338,586.0107,-2.3873,245.3608,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
4.450,585.8267,-2.4152,244.9527,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
4.560,585.5938,-2.4560,244.6211,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
4.806,585.0999,-2.5621,244.3989,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
4.930,584.8487,-2.6219,244.4115,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
5.040,584.5981,-2.6836,244.4786,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
5.150,584.3911,-2.7355,244.5731,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
5.261,584.1448,-2.7972,244.7260,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
5.373,583.9412,-2.8472,244.8781,357.2581,179.9997,0.0144,357.2581,179.9997,0.0144
5.485,583.6984,-2.9044,245.0812,357.2581,179.9996,0.0144,357.2581,179.9996,0.0144
5.595,583.4569,-2.9578,245.3000,357.2581,179.9996,0.0144,357.2581,179.9996,0.0144
5.707,583.2563,-2.9987,245.4902,357.2581,179.9996,0.0144,357.2581,179.9996,0.0144
5.831,583.0162,-3.0429,245.7246,357.4985,179.9996,359.9384,357.4985,179.9996,359.9384
5.944,582.7767,-3.0813,245.9632,357.5770,179.9995,359.9182,357.5770,179.9995,359.9182
6.068,582.5376,-3.1134,246.2018,357.9161,179.9990,359.9169,357.9161,179.9990,359.9169
6.179,582.2983,-3.1385,246.4362,358.0000,179.9988,359.9297,358.0000,179.9988,359.9297
6.290,582.0991,-3.1539,246.6280,358.3326,179.9986,-0.0056,358.3326,179.9986,-0.0056
6.402,581.8600,-3.1655,246.8543,358.5671,179.9987,0.0698,358.5671,179.9987,0.0698
6.513,581.6609,-3.1693,247.0377,358.6437,179.9988,0.0966,358.6437,179.9988,0.0966
6.638,581.3816,-3.1652,247.2800,359.0276,180.0000,0.2646,359.0276,180.0000,0.2646
6.749,581.1817,-3.1556,247.4436,359.2515,180.0013,0.3813,359.2515,180.0013,0.3813
6.875,580.9016,-3.1327,247.6575,359.5365,180.0036,0.5422,359.5365,180.0036,0.5422
6.986,580.7013,-3.1098,247.7978,359.6745,180.0050,0.6256,359.6745,180.0050,0.6256
7.111,580.4606,-3.0751,247.9543,359.9484,180.0084,0.8023,359.9484,180.0084,0.8023
7.222,580.2202,-3.0327,248.1015,0.2181,180.0126,0.9885,0.2181,180.0126,0.9885
7.335,579.9800,-2.9828,248.2436,0.2844,180.0138,1.0354,0.2844,180.0138,1.0354
7.445,579.7803,-2.9355,248.3597,0.6327,180.0209,1.2950,0.6327,180.0209,1.2950
7.569,579.5414,-2.8722,248.4975,0.7659,180.0240,1.3986,0.7659,180.0240,1.3986
7.695,579.2639,-2.7894,248.6567,0.9623,180.0291,1.5542,0.9623,180.0291,1.5542
7.806,579.0665,-2.7248,248.7697,1.1585,180.0347,1.7145,1.1585,180.0347,1.7145
7.931,578.8307,-2.6415,248.9044,1.2853,180.0386,1.8196,1.2853,180.0386,1.8196
8.043,578.5958,-2.5523,249.0368,1.5351,180.0470,2.0340,1.5351,180.0470,2.0340
8.153,578.3617,-2.4577,249.1669,1.5959,180.0492,2.0877,1.5959,180.0492,2.0877
8.265,578.1671,-2.3752,249.2726,1.7176,180.0537,2.1964,1.7176,180.0537,2.1964
8.375,577.9333,-2.2724,249.3869,1.7779,180.0561,2.2513,1.7779,180.0561,2.2513
8.489,577.7380,-2.1842,249.4699,1.9605,180.0635,2.4214,1.9605,180.0635,2.4214
8.598,577.5035,-2.0757,249.5574,1.9605,180.0635,2.4214,1.9605,180.0635,2.4214
8.709,577.3075,-1.9842,249.5979,2.0198,180.0660,2.4795,2.0198,180.0660,2.4795
8.834,577.0337,-1.8573,249.5711,2.1349,180.0712,2.5957,2.1349,180.0712,2.5957
8.959,576.8007,-1.7497,249.4925,2.1349,180.0712,2.5957,2.1349,180.0712,2.5957
9.084,576.5704,-1.6436,249.3660,2.1349,180.0712,2.5958,2.1349,180.0712,2.5958
9.195,576.3433,-1.5394,249.1969,2.1349,180.0712,2.5958,2.1349,180.0712,2.5958
9.307,576.1553,-1.4539,249.0310,2.1349,180.0712,2.5958,2.1349,180.0712,2.5958
9.419,575.9308,-1.3525,248.8192,2.1349,180.0712,2.5958,2.1349,180.0712,2.5958
9.528,575.7437,-1.2688,248.6423,2.1349,180.0712,2.5958,2.1349,180.0712,2.5958
9.639,575.5183,-1.1691,248.4350,2.1349,180.0712,2.5958,2.1349,180.0712,2.5958
9.751,575.3284,-1.0862,248.2891,2.1349,180.0712,2.5958,2.1349,180.0712,2.5958
9.862,575.0976,-0.9846,248.2132,2.1349,180.0712,2.5958,2.1349,180.0712,2.5958
9.987,574.8679,-0.8812,248.2370,2.1349,180.0712,2.5958,2.1349,180.0712,2.5958
10.112,574.6399,-0.7777,248.3350,2.1349,180.0712,2.5958,2.1349,180.0712,2.5958
10.223,574.4132,-0.6760,248.4847,2.1349,180.0712,2.5958,2.1349,180.0712,2.5958
10.334,574.1877,-0.5777,248.6685,2.1349,180.0712,2.5958,2.1349,180.0712,2.5958
10.459,573.9626,-0.4841,248.8738,2.1349,180.0712,2.5958,2.1349,180.0712,2.5958
10.584,573.7374,-0.3961,249.0921,2.1349,180.0712,2.5958,2.1349,180.0712,2.5958
10.709,573.5119,-0.3144,249.3183,2.1349,180.0712,2.5958,2.1349,180.0712,2.5958
10.834,573.2477,-0.2280,249.5845,2.0760,180.0685,2.5381,2.0760,180.0685,2.5381
10.946,573.0576,-0.1723,249.7686,1.8389,180.0585,2.3011,1.8389,180.0585,2.3011
11.056,572.8276,-0.1125,249.9802,1.6684,180.0519,2.1207,1.6684,180.0519,2.1207
11.167,572.6345,-0.0684,250.1507,1.6141,180.0499,2.0618,1.6141,180.0499,2.0618
11.278,572.4016,-0.0223,250.3543,1.3336,180.0406,1.7389,1.3336,180.0406,1.7389
11.390,572.2065,0.0105,250.5248,1.2819,180.0390,1.6751,1.2819,180.0390,1.6751
11.501,571.9714,0.0432,250.7309,1.1272,180.0348,1.4803,1.1272,180.0348,1.4803
11.612,571.7748,0.0649,250.9028,0.9782,180.0312,1.2755,0.9782,180.0312,1.2755
11.737,571.4982,0.0874,251.1429,0.8379,180.0283,1.0703,0.8379,180.0283,1.0703
11.861,571.2599,0.0996,251.3474,0.7078,180.0261,0.8578,0.7078,180.0261,0.8578
11.972,571.0602,0.1051,251.5157,0.5896,180.0246,0.6425,0.5896,180.0246,0.6425
12.084,570.8197,0.1066,251.7142,0.5204,180.0239,0.4901,0.5204,180.0239,0.4901
12.195,570.5780,0.1027,251.9092,0.4553,180.0234,0.3383,0.4553,180.0234,0.3383
12.319,570.3354,0.0936,252.1028,0.3741,180.0231,0.1051,0.3741,180.0231,0.1051
12.431,570.1328,0.0819,252.2646,0.3233,180.0231,359.9471,0.3233,180.0231,359.9471
12.542,569.8889,0.0627,252.4598,0.2208,180.0235,359.6282,0.2208,180.0235,359.6282
12.653,569.6852,0.0424,252.6236,0.2208,180.0235,359.6282,0.2208,180.0235,359.6282
12.764,569.4405,0.0127,252.8221,0.1075,180.0245,359.3117,0.1075,180.0245,359.3117
12.875,569.1954,-0.0228,253.0240,0.0468,180.0253,359.1626,0.0468,180.0253,359.1626
12.986,568.9912,-0.0569,253.1945,0.0150,180.0258,359.0882,0.0150,180.0258,359.0882
13.111,568.7458,-0.1032,253.4016,359.9453,180.0270,358.9378,359.9453,180.0270,358.9378
13.223,568.4999,-0.1551,253.6088,359.7896,180.0303,358.6399,359.7896,180.0303,358.6399
13.334,568.2521,-0.2124,253.7998,359.7456,180.0314,358.5686,359.7456,180.0314,358.5686
13.459,568.0023,-0.2746,253.9679,359.6559,180.0338,358.4261,359.6559,180.0338,358.4261
13.584,567.7506,-0.3413,254.1168,359.5154,180.0378,358.2289,359.5154,180.0378,358.2289
13.695,567.4968,-0.4121,254.2434,359.5154,180.0378,358.2289,359.5154,180.0378,358.2289
13.805,567.2834,-0.4732,254.2901,359.3558,180.0430,358.0346,359.3558,180.0430,358.0346
13.930,567.0284,-0.5476,254.2648,359.3558,180.0431,358.0346,359.3558,180.0431,358.0346
14.056,566.7347,-0.6353,254.1411,359.2403,180.0471,357.9144,359.2403,180.0471,357.9144
14.181,566.4874,-0.7103,253.9577,359.2403,180.0471,357.9144,359.2403,180.0471,357.9144
14.305,566.2440,-0.7847,253.7149,359.1184,180.0517,357.8050,359.1184,180.0517,357.8050
14.430,566.0033,-0.8584,253.4310,359.1184,180.0517,357.8050,359.1184,180.0517,357.8050
14.542,565.7640,-0.9316,253.1270,359.1184,180.0517,357.8050,359.1184,180.0517,357.8050
14.653,565.5253,-1.0041,252.8152,359.1184,180.0517,357.8050,359.1184,180.0517,357.8050
14.764,565.3262,-1.0642,252.5582,359.1184,180.0517,357.8050,359.1184,180.0517,357.8050
14.875,565.0840,-1.1364,252.2923,359.1184,180.0517,357.8050,359.1184,180.0517,357.8050
14.987,564.8787,-1.1974,252.1170,358.9610,180.0578,357.7565,358.9610,180.0578,357.7565
15.097,564.6283,-1.2710,251.9577,358.9610,180.0578,357.7565,358.9610,180.0578,357.7565
