time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.101,598.5439,4.9589,250.4612,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.211,598.2031,4.6661,250.4663,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.321,597.6891,4.2305,250.4717,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.432,597.1821,3.8045,250.4758,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.543,596.4896,3.2258,250.4793,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.655,595.7153,2.5814,250.4793,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.765,595.0145,1.9998,250.4758,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.877,594.1143,1.2539,250.4711,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.988,593.3199,0.5966,250.4724,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.101,592.3195,-0.2305,250.4841,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.211,591.6367,-0.8124,250.5034,0.2510,3.8000,-0.4500,359.6728,180.0000,0.0013,0.0000,0.0000,0.0000
1.322,591.0640,-1.2272,250.5475,0.2510,3.8000,-0.4500,358.3470,179.9999,0.0066,0.0000,0.0000,0.0000
1.434,590.6406,-1.3600,250.6073,0.2510,3.8000,-0.4500,357.4829,179.9998,0.0099,0.0000,0.0000,0.0000
1.544,590.3505,-1.3335,250.6647,0.2510,3.8000,-0.4500,357.3059,179.9997,0.0105,0.0000,0.0000,0.0000
1.656,590.0439,-1.2355,250.7396,0.2510,3.8000,-0.4500,357.3059,179.9997,0.0105,0.0000,0.0000,0.0000
1.766,589.8080,-1.1552,250.8038,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
1.878,589.5381,-1.0992,250.8800,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
1.989,589.3194,-1.0952,250.9417,0.2510,3.8000,-0.4500,357.3058,179.9998,0.0105,0.0000,0.0000,0.0000
2.100,589.0610,-1.1351,251.0135,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
2.211,588.8475,-1.1937,251.0720,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
2.322,588.5927,-1.2783,251.1414,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
2.433,588.3384,-1.3646,251.2102,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
2.544,588.1268,-1.4318,251.2671,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
2.655,587.8730,-1.5042,251.3351,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
2.767,587.6616,-1.5582,251.3919,0.2510,3.8000,-0.4500,357.3058,179.9998,0.0105,0.0000,0.0000,0.0000
2.880,587.4078,-1.6178,251.4608,0.2510,3.8000,-0.4500,357.3058,179.9998,0.0105,0.0000,0.0000,0.0000
2.989,587.1963,-1.6652,251.5188,0.2510,3.8000,-0.4500,357.3058,179.9998,0.0105,0.0000,0.0000,0.0000
3.099,586.9425,-1.7215,251.5888,0.2510,3.8000,-0.4500,357.3058,179.9998,0.0105,0.0000,0.0000,0.0000
3.210,586.7309,-1.7692,251.6476,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
3.323,586.4771,-1.8276,251.7193,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
3.432,586.2656,-1.8773,251.7803,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
3.544,586.0118,-1.9379,251.8547,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
3.657,585.7579,-1.9989,251.9304,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
3.766,585.5461,-2.0497,251.9944,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
3.878,585.2919,-2.1103,252.0722,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
3.989,585.0801,-2.1604,252.1385,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
4.099,584.8260,-2.2198,252.2203,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
4.210,584.6142,-2.2687,252.2898,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
4.322,584.3600,-2.3264,252.3743,0.2510,3.8000,-0.4500,357.3059,179.9998,0.0105,0.0000,0.0000,0.0000
4.433,584.1472,-2.3755,252.4447,0.2510,3.8000,-0.4500,357.3872,179.9997,359.8662,0.0000,0.0000,0.0000
4.544,583.8931,-2.4307,252.5302,0.2510,3.8000,-0.4500,357.3872,179.9997,359.8662,0.0000,0.0000,0.0000
4.656,583.6382,-2.4856,252.6151,0.2510,3.8000,-0.4500,357.4932,179.9993,359.7393,0.0000,0.0000,0.0000
4.767,583.4264,-2.5285,252.6862,0.2510,3.8000,-0.4500,357.4932,179.9993,359.7393,0.0000,0.0000,0.0000
4.878,583.1714,-2.5785,252.7704,0.2510,3.8000,-0.4500,357.6193,179.9986,359.6340,0.0000,0.0000,0.0000
4.989,582.9591,-2.6176,252.8401,0.2510,3.8000,-0.4500,357.7567,179.9976,359.5512,0.0000,0.0000,0.0000
5.100,582.7047,-2.6610,252.9240,0.2510,3.8000,-0.4500,357.8305,179.9970,359.5209,0.0000,0.0000,0.0000
5.211,582.4926,-2.6940,252.9928,0.2510,3.8000,-0.4500,357.9826,179.9957,359.4701,0.0000,0.0000,0.0000
5.322,582.2386,-2.7303,253.0761,0.2510,3.8000,-0.4500,357.9826,179.9957,359.4701,0.0000,0.0000,0.0000
5.434,581.9847,-2.7613,253.1589,0.2510,3.8000,-0.4500,358.1476,179.9941,359.4463,0.0000,0.0000,0.0000
5.546,581.7736,-2.7821,253.2276,0.2510,3.8000,-0.4500,358.4046,179.9916,359.4442,0.0000,0.0000,0.0000
5.655,581.5206,-2.8030,253.3117,0.2510,3.8000,-0.4500,358.5728,179.9900,359.4648,0.0000,0.0000,0.0000
5.767,581.3098,-2.8168,253.3838,0.2510,3.8000,-0.4500,358.6561,179.9893,359.4770,0.0000,0.0000,0.0000
5.878,581.0581,-2.8240,253.4713,0.2510,3.8000,-0.4500,359.0562,179.9860,359.5853,0.0000,0.0000,0.0000
5.991,580.8484,-2.8295,253.5484,0.2510,3.8000,-0.4500,359.0562,179.9860,359.5853,0.0000,0.0000,0.0000
6.100,580.5984,-2.8243,253.6402,0.2510,3.8000,-0.4500,359.4395,179.9837,359.7520,0.0000,0.0000,0.0000
6.212,580.3898,-2.8199,253.7198,0.2510,3.8000,-0.4500,359.4395,179.9837,359.7520,0.0000,0.0000,0.0000
6.323,580.1409,-2.8033,253.8140,0.2510,3.8000,-0.4500,359.7296,179.9829,359.9129,0.0000,0.0000,0.0000
6.434,579.8927,-2.7794,253.9080,0.2510,3.8000,-0.4500,0.0110,179.9829,0.0925,0.0000,0.0000,0.0000
6.544,579.6859,-2.7559,253.9859,0.2510,3.8000,-0.4500,0.1445,179.9832,0.1854,0.0000,0.0000,0.0000
6.656,579.4387,-2.7202,254.0775,0.2510,3.8000,-0.4500,0.3443,179.9841,0.3322,0.0000,0.0000,0.0000
