time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.4180,4.8499,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.4180,4.8499,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.101,598.0446,4.5306,250.4748,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.211,597.5942,4.1497,250.4829,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.320,596.9645,3.6193,250.4672,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.431,596.3787,3.1227,250.3742,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.543,595.6146,2.4682,250.1224,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.653,594.9339,1.8789,249.7852,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.765,594.0712,1.1249,249.2285,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.876,593.3184,0.4615,248.6439,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.001,592.2323,-0.5031,247.6680,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.113,591.6413,-1.0330,247.0701,0.2510,3.8000,-0.4500,359.2212,180.0000,0.0013,0.0000,0.0000,0.0000
1.224,591.1448,-1.3839,246.4846,0.2510,3.8000,-0.4500,357.3930,179.9999,0.0042,0.0000,0.0000,0.0000
1.335,590.8333,-1.4690,246.0423,0.2510,3.8000,-0.4500,356.4409,179.9998,0.0055,0.0000,0.0000,0.0000
1.446,590.5276,-1.4156,245.5306,0.2510,3.8000,-0.4500,356.0089,179.9998,0.0057,0.0000,0.0000,0.0000
1.557,590.3056,-1.3154,245.1068,0.2510,3.8000,-0.4500,356.0089,179.9998,0.0057,0.0000,0.0000,0.0000
1.668,590.0613,-1.1993,244.5915,0.2510,3.8000,-0.4500,356.0089,179.9998,0.0057,0.0000,0.0000,0.0000
1.780,589.8682,-1.1349,244.1533,0.2510,3.8000,-0.4500,356.0089,179.9998,0.0057,0.0000,0.0000,0.0000
1.891,589.6437,-1.1074,243.6179,0.2510,3.8000,-0.4500,356.0089,179.9998,0.0057,0.0000,0.0000,0.0000
2.003,589.4231,-1.1266,243.0817,0.2510,3.8000,-0.4500,356.0089,179.9998,0.0057,0.0000,0.0000,0.0000
2.113,589.2407,-1.1663,242.6388,0.2510,3.8000,-0.4500,356.0089,179.9998,0.0057,0.0000,0.0000,0.0000
2.224,589.0224,-1.2269,242.1123,0.2510,3.8000,-0.4500,356.0089,179.9998,0.0057,0.0000,0.0000,0.0000
2.336,588.8414,-1.2782,241.6676,0.2510,3.8000,-0.4500,356.0089,179.9998,0.0057,0.0000,0.0000,0.0000
2.447,588.6257,-1.3329,241.1170,0.2510,3.8000,-0.4500,356.0089,179.9998,0.0057,0.0000,0.0000,0.0000
2.558,588.4470,-1.3708,240.6445,0.2510,3.8000,-0.4500,356.0089,179.9998,0.0057,0.0000,0.0000,0.0000
2.669,588.2335,-1.4081,240.0638,0.2510,3.8000,-0.4500,356.0089,179.9998,0.0057,0.0000,0.0000,0.0000
2.781,588.0216,-1.4382,239.4553,0.2510,3.8000,-0.4500,356.0089,179.9998,0.0057,0.0000,0.0000,0.0000
2.892,587.8466,-1.4615,238.9225,0.2510,3.8000,-0.4500,355.7609,179.9998,359.9901,0.0000,0.0000,0.0000
3.003,587.6382,-1.4842,238.2551,0.2510,3.8000,-0.4500,355.7609,179.9998,359.9901,0.0000,0.0000,0.0000
3.113,587.4642,-1.5037,237.7054,0.2510,3.8000,-0.4500,355.7609,179.9998,359.9901,0.0000,0.0000,0.0000
3.225,587.2513,-1.5334,237.1117,0.2510,3.8000,-0.4500,355.7609,179.9998,359.9901,0.0000,0.0000,0.0000
3.336,587.0695,-1.5653,236.6855,0.2510,3.8000,-0.4500,355.7609,179.9998,359.9901,0.0000,0.0000,0.0000
3.447,586.8458,-1.6124,236.2573,0.2510,3.8000,-0.4500,355.7609,179.9998,359.9901,0.0000,0.0000,0.0000
3.560,586.6536,-1.6605,235.9776,0.2510,3.8000,-0.4500,355.6795,179.9998,359.9800,0.0000,0.0000,0.0000
3.670,586.4169,-1.7260,235.7226,0.2510,3.8000,-0.4500,355.6795,179.9998,359.9800,0.0000,0.0000,0.0000
3.781,586.1748,-1.8003,235.5349,0.2510,3.8000,-0.4500,355.5967,179.9999,359.9675,0.0000,0.0000,0.0000
3.892,585.9703,-1.8659,235.4122,0.2510,3.8000,-0.4500,355.5967,179.9999,359.9675,0.0000,0.0000,0.0000
4.003,585.7226,-1.9493,235.2916,0.2510,3.8000,-0.4500,355.5146,179.9999,359.9531,0.0000,0.0000,0.0000
4.114,585.5149,-2.0223,235.2056,0.2510,3.8000,-0.4500,355.3524,180.0001,359.9193,0.0000,0.0000,0.0000
4.225,585.2650,-2.1096,235.1107,0.2510,3.8000,-0.4500,355.3524,180.0001,359.9193,0.0000,0.0000,0.0000
4.340,585.0145,-2.1984,235.0215,0.2510,3.8000,-0.4500,355.3524,180.0001,359.9193,0.0000,0.0000,0.0000
4.463,584.7637,-2.2885,234.9354,0.2510,3.8000,-0.4500,355.3524,180.0001,359.9193,0.0000,0.0000,0.0000
4.573,584.5543,-2.3654,234.8668,0.2510,3.8000,-0.4500,355.2740,180.0002,359.8975,0.0000,0.0000,0.0000
4.684,584.3027,-2.4574,234.7882,0.2510,3.8000,-0.4500,355.2740,180.0002,359.8975,0.0000,0.0000,0.0000
4.795,584.0927,-2.5347,234.7262,0.2510,3.8000,-0.4500,355.2740,180.0002,359.8975,0.0000,0.0000,0.0000
4.906,583.8402,-2.6281,234.6565,0.2510,3.8000,-0.4500,355.2740,180.0002,359.8975,0.0000,0.0000,0.0000
5.017,583.6295,-2.7061,234.6019,0.2510,3.8000,-0.4500,355.2740,180.0002,359.8975,0.0000,0.0000,0.0000
5.128,583.3764,-2.7995,234.5397,0.2510,3.8000,-0.4500,355.2740,180.0002,359.8975,0.0000,0.0000,0.0000
5.240,583.1228,-2.8925,234.4822,0.2510,3.8000,-0.4500,355.2740,180.0002,359.8975,0.0000,0.0000,0.0000
5.351,582.9112,-2.9692,234.4378,0.2510,3.8000,-0.4500,355.2740,180.0002,359.8975,0.0000,0.0000,0.0000
5.462,582.6570,-3.0600,234.3879,0.2510,3.8000,-0.4500,355.2740,180.0002,359.8975,0.0000,0.0000,0.0000
5.573,582.4453,-3.1341,234.3480,0.2510,3.8000,-0.4500,355.2740,180.0002,359.8975,0.0000,0.0000,0.0000
5.685,582.1911,-3.2206,234.3012,0.2510,3.8000,-0.4500,355.2740,180.0002,359.8975,0.0000,0.0000,0.0000
5.795,581.9793,-3.2903,234.2627,0.2510,3.8000,-0.4500,355.2740,180.0002,359.8975,0.0000,0.0000,0.0000
5.920,581.6835,-3.3833,234.2062,0.2510,3.8000,-0.4500,355.2740,180.0002,359.8975,0.0000,0.0000,0.0000
6.031,581.4727,-3.4458,234.1625,0.2510,3.8000,-0.4500,355.2740,180.0002,359.8975,0.0000,0.0000,0.0000
6.142,581.2203,-3.5162,234.1066,0.2510,3.8000,-0.4500,355.2740,180.0002,359.8975,0.0000,0.0000,0.0000
6.254,581.0108,-3.5705,234.0543,0.2510,3.8000,-0.4500,355.2740,180.0002,359.8975,0.0000,0.0000,0.0000
6.364,580.7608,-3.6295,233.9799,0.2510,3.8000,-0.4500,355.2740,180.0002,359.8975,0.0000,0.0000,0.0000
6.475,580.5536,-3.6735,233.9085,0.2510,3.8000,-0.4500,355.2740,180.0002,359.8975,0.0000,0.0000,0.0000
6.587,580.3093,-3.7114,233.8027,0.2510,3.8000,-0.4500,355.5637,180.0005,0.2128,0.0000,0.0000,0.0000
6.698,580.1077,-3.7408,233.6790,0.2510,3.8000,-0.4500,355.6276,180.0008,0.2720,0.0000,0.0000,0.0000
6.824,579.8323,-3.7653,233.4459,0.2510,3.8000,-0.4500,355.9510,180.0032,0.5612,0.0000,0.0000,0.0000
6.935,579.6376,-3.7779,233.2546,0.2510,3.8000,-0.4500,356.0848,180.0046,0.6717,0.0000,0.0000,0.0000
7.045,579.4037,-3.7851,233.0429,0.2510,3.8000,-0.4500,356.3504,180.0082,0.8872,0.0000,0.0000,0.0000
7.156,579.2071,-3.7863,232.8930,0.2510,3.8000,-0.4500,356.6095,180.0127,1.0887,0.0000,0.0000,0.0000
7.281,578.9289,-3.7833,232.7225,0.2510,3.8000,-0.4500,356.8848,180.0184,1.2935,0.0000,0.0000,0.0000
7.405,578.6887,-3.7728,232.6065,0.2510,3.8000,-0.4500,357.1563,180.0250,1.4893,0.0000,0.0000,0.0000
7.530,578.4479,-3.7549,232.5099,0.2510,3.8000,-0.4500,357.4299,180.0326,1.6791,0.0000,0.0000,0.0000
7.656,578.2078,-3.7283,232.4140,0.2510,3.8000,-0.4500,357.7193,180.0416,1.8727,0.0000,0.0000,0.0000
7.781,577.9333,-3.6852,232.2540,0.2510,3.8000,-0.4500,358.0793,180.0541,2.1083,0.0000,0.0000,0.0000
7.892,577.7411,-3.6478,232.1018,0.2510,3.8000,-0.4500,358.2862,180.0620,2.2407,0.0000,0.0000,0.0000
8.003,577.5182,-3.5931,231.8322,0.2510,3.8000,-0.4500,358.6462,180.0768,2.4675,0.0000,0.0000,0.0000
8.114,577.3434,-3.5429,231.4540,0.2510,3.8000,-0.4500,358.8620,180.0863,2.6025,0.0000,0.0000,0.0000
8.225,577.1425,-3.4799,230.8621,0.2510,3.8000,-0.4500,359.0015,180.0928,2.6901,0.0000,0.0000,0.0000
8.336,576.9800,-3.4224,230.3083,0.2510,3.8000,-0.4500,359.2187,180.1033,2.8284,0.0000,0.0000,0.0000
8.450,576.7870,-3.3530,229.6170,0.2510,3.8000,-0.4500,359.3574,180.1102,2.9167,0.0000,0.0000,0.0000
8.557,576.6274,-3.2928,229.0352,0.2510,3.8000,-0.4500,359.5005,180.1176,3.0056,0.0000,0.0000,0.0000
8.683,576.4048,-3.2068,228.2195,0.2510,3.8000,-0.4500,359.6417,180.1251,3.0926,0.0000,0.0000,0.0000
8.797,576.2470,-3.1430,227.6225,0.2510,3.8000,-0.4500,359.7872,180.1330,3.1756,0.0000,0.0000,0.0000
8.907,576.0546,-3.0646,226.9687,0.2510,3.8000,-0.4500,359.9352,180.1414,3.2577,0.0000,0.0000,0.0000
9.016,575.8885,-2.9944,226.5244,0.2510,3.8000,-0.4500,0.1676,180.1548,3.3725,0.0000,0.0000,0.0000
9.127,575.6808,-2.9070,226.1171,0.2510,3.8000,-0.4500,0.3188,180.1638,3.4416,0.0000,0.0000,0.0000
9.238,575.5027,-2.8267,225.8615,0.2510,3.8000,-0.4500,0.6237,180.1825,3.5659,0.0000,0.0000,0.0000
9.363,575.2466,-2.7095,225.5946,0.2510,3.8000,-0.4500,0.8650,180.1977,3.6488,0.0000,0.0000,0.0000
9.474,575.0611,-2.6208,225.4443,0.2510,3.8000,-0.4500,1.0217,180.2078,3.6991,0.0000,0.0000,0.0000
