time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.4220,4.4699,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.4220,4.4699,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.101,599.0486,4.1506,250.0248,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.211,598.5982,3.7697,250.0329,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.320,597.9686,3.2393,250.0172,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.431,597.3827,2.7427,249.9242,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.543,596.6187,2.0882,249.6724,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.653,595.9379,1.4989,249.3352,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.765,595.0752,0.7449,248.7785,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.876,594.3224,0.0815,248.1939,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.001,593.2363,-0.8831,247.2180,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.113,592.6453,-1.4069,246.6150,359.2212,180.0000,0.0013,359.2212,180.0000,0.0013
1.224,592.1487,-1.7431,246.0178,357.3930,179.9999,0.0042,357.3930,179.9999,0.0042
1.335,591.8373,-1.8205,245.5696,356.4409,179.9998,0.0055,356.4409,179.9998,0.0055
1.446,591.5316,-1.7635,245.0553,356.0089,179.9998,0.0057,356.0089,179.9998,0.0057
1.557,591.3096,-1.6633,244.6314,356.0089,179.9998,0.0057,356.0089,179.9998,0.0057
1.668,591.0652,-1.5471,244.1162,356.0089,179.9998,0.0057,356.0089,179.9998,0.0057
1.780,590.8722,-1.4828,243.6779,356.0089,179.9998,0.0057,356.0089,179.9998,0.0057
1.891,590.6477,-1.4552,243.1426,356.0089,179.9998,0.0057,356.0089,179.9998,0.0057
2.003,590.4271,-1.4745,242.6063,356.0089,179.9998,0.0057,356.0089,179.9998,0.0057
2.113,590.2446,-1.5142,242.1635,356.0089,179.9998,0.0057,356.0089,179.9998,0.0057
2.224,590.0264,-1.5748,241.6369,356.0089,179.9998,0.0057,356.0089,179.9998,0.0057
2.336,589.8454,-1.6261,241.1922,356.0089,179.9998,0.0057,356.0089,179.9998,0.0057
2.447,589.6297,-1.6808,240.6416,356.0089,179.9998,0.0057,356.0089,179.9998,0.0057
2.558,589.4509,-1.7187,240.1692,356.0089,179.9998,0.0057,356.0089,179.9998,0.0057
2.669,589.2374,-1.7560,239.5885,356.0089,179.9998,0.0057,356.0089,179.9998,0.0057
2.781,589.0256,-1.7860,238.9800,356.0089,179.9998,0.0057,356.0089,179.9998,0.0057
2.892,588.8507,-1.8071,238.4456,355.7609,179.9998,359.9901,355.7609,179.9998,359.9901
3.003,588.6423,-1.8297,237.7782,355.7609,179.9998,359.9901,355.7609,179.9998,359.9901
3.113,588.4683,-1.8493,237.2285,355.7609,179.9998,359.9901,355.7609,179.9998,359.9901
3.225,588.2554,-1.8789,236.6349,355.7609,179.9998,359.9901,355.7609,179.9998,359.9901
3.336,588.0736,-1.9109,236.2087,355.7609,179.9998,359.9901,355.7609,179.9998,359.9901
3.447,587.8499,-1.9580,235.7804,355.7609,179.9998,359.9901,355.7609,179.9998,359.9901
3.560,587.6577,-2.0052,235.5003,355.6795,179.9998,359.9800,355.6795,179.9998,359.9800
3.670,587.4210,-2.0707,235.2453,355.6795,179.9998,359.9800,355.6795,179.9998,359.9800
3.781,587.1790,-2.1441,235.0571,355.5967,179.9999,359.9675,355.5967,179.9999,359.9675
3.892,586.9745,-2.2097,234.9344,355.5967,179.9999,359.9675,355.5967,179.9999,359.9675
4.003,586.7269,-2.2921,234.8134,355.5146,179.9999,359.9531,355.5146,179.9999,359.9531
4.114,586.5194,-2.3632,234.7264,355.3524,180.0001,359.9193,355.3524,180.0001,359.9193
4.225,586.2695,-2.4504,234.6315,355.3524,180.0001,359.9193,355.3524,180.0001,359.9193
4.340,586.0190,-2.5393,234.5423,355.3524,180.0001,359.9193,355.3524,180.0001,359.9193
4.463,585.7682,-2.6294,234.4562,355.3524,180.0001,359.9193,355.3524,180.0001,359.9193
4.573,585.5590,-2.7053,234.3872,355.2740,180.0002,359.8975,355.2740,180.0002,359.8975
4.684,585.3074,-2.7973,234.3086,355.2740,180.0002,359.8975,355.2740,180.0002,359.8975
4.795,585.0974,-2.8746,234.2466,355.2740,180.0002,359.8975,355.2740,180.0002,359.8975
4.906,584.8449,-2.9679,234.1769,355.2740,180.0002,359.8975,355.2740,180.0002,359.8975
5.017,584.6342,-3.0459,234.1222,355.2740,180.0002,359.8975,355.2740,180.0002,359.8975
5.128,584.3811,-3.1393,234.0600,355.2740,180.0002,359.8975,355.2740,180.0002,359.8975
5.240,584.1275,-3.2323,234.0026,355.2740,180.0002,359.8975,355.2740,180.0002,359.8975
5.351,583.9159,-3.3091,233.9582,355.2740,180.0002,359.8975,355.2740,180.0002,359.8975
5.462,583.6617,-3.3999,233.9083,355.2740,180.0002,359.8975,355.2740,180.0002,359.8975
5.573,583.4500,-3.4740,233.8684,355.2740,180.0002,359.8975,355.2740,180.0002,359.8975
5.685,583.1958,-3.5605,233.8216,355.2740,180.0002,359.8975,355.2740,180.0002,359.8975
5.795,582.9840,-3.6301,233.7831,355.2740,180.0002,359.8975,355.2740,180.0002,359.8975
5.920,582.6882,-3.7231,233.7265,355.2740,180.0002,359.8975,355.2740,180.0002,359.8975
6.031,582.4774,-3.7857,233.6828,355.2740,180.0002,359.8975,355.2740,180.0002,359.8975
6.142,582.2250,-3.8560,233.6269,355.2740,180.0002,359.8975,355.2740,180.0002,359.8975
6.254,582.0155,-3.9103,233.5747,355.2740,180.0002,359.8975,355.2740,180.0002,359.8975
6.364,581.7655,-3.9694,233.5003,355.2740,180.0002,359.8975,355.2740,180.0002,359.8975
