time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.107,598.6016,5.0092,250.4596,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.223,598.2034,4.6661,250.4686,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.332,597.6907,4.2305,250.4881,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.444,597.1860,3.8044,250.5155,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.556,596.4974,3.2257,250.5627,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.668,595.8619,2.6930,250.6139,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.778,595.0331,1.9997,250.6889,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.889,594.1402,1.2539,250.7776,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.001,593.3524,0.5966,250.8613,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.112,592.3600,-0.2305,250.9722,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.224,591.4982,-0.9484,251.0730,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.334,590.4266,-1.8406,251.2031,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.446,589.5497,-2.5718,251.3136,0.2510,3.8000,-0.4500,359.8352,180.0000,0.0006,0.0000,0.0000,0.0000
1.557,588.8104,-3.3263,251.4346,0.2510,3.8000,-0.4500,356.0899,179.9996,0.0112,0.0000,0.0000,0.0000
1.668,588.2975,-3.7281,251.5378,0.2510,3.8000,-0.4500,352.9283,179.9988,0.0143,0.0000,0.0000,0.0000
1.780,587.9647,-3.8643,251.6170,0.2510,3.8000,-0.4500,351.5143,179.9986,0.0081,0.0000,0.0000,0.0000
1.891,587.6278,-3.9040,251.7078,0.2510,3.8000,-0.4500,350.7049,179.9985,359.9924,0.0000,0.0000,0.0000
2.002,587.3770,-3.9064,251.7770,0.2510,3.8000,-0.4500,350.6258,179.9985,359.9890,0.0000,0.0000,0.0000
2.113,587.0956,-3.9363,251.8510,0.2510,3.8000,-0.4500,350.6258,179.9985,359.9890,0.0000,0.0000,0.0000
2.224,586.8706,-4.0043,251.9042,0.2510,3.8000,-0.4500,350.6257,179.9985,359.9891,0.0000,0.0000,0.0000
2.336,586.6068,-4.1391,251.9593,0.2510,3.8000,-0.4500,350.6257,179.9985,359.9891,0.0000,0.0000,0.0000
2.447,586.3900,-4.2858,251.9998,0.2510,3.8000,-0.4500,350.6258,179.9985,359.9890,0.0000,0.0000,0.0000
2.558,586.1400,-4.4719,251.9205,0.2510,3.8000,-0.4500,350.6257,179.9985,359.9891,0.0000,0.0000,0.0000
2.669,585.9084,-4.6247,251.5741,0.2510,3.8000,-0.4500,350.6257,179.9985,359.9891,0.0000,0.0000,0.0000
2.780,585.7252,-4.7226,251.1375,0.2510,3.8000,-0.4500,350.6257,179.9986,359.9891,0.0000,0.0000,0.0000
2.892,585.5110,-4.8133,250.5259,0.2510,3.8000,-0.4500,350.6257,179.9986,359.9891,0.0000,0.0000,0.0000
3.004,585.3317,-4.8802,250.0363,0.2510,3.8000,-0.4500,350.6258,179.9986,359.9891,0.0000,0.0000,0.0000
3.113,585.1081,-4.9717,249.5771,0.2510,3.8000,-0.4500,350.6258,179.9986,359.9891,0.0000,0.0000,0.0000
3.225,584.9124,-5.0658,249.3172,0.2510,3.8000,-0.4500,350.6258,179.9986,359.9891,0.0000,0.0000,0.0000
3.335,584.6673,-5.2014,249.1284,0.2510,3.8000,-0.4500,350.6258,179.9986,359.9890,0.0000,0.0000,0.0000
3.446,584.4560,-5.3357,249.0463,0.2510,3.8000,-0.4500,350.5624,179.9987,359.7495,0.0000,0.0000,0.0000
3.558,584.2020,-5.5065,249.0101,0.2510,3.8000,-0.4500,350.5624,179.9987,359.7495,0.0000,0.0000,0.0000
3.668,583.9889,-5.6577,249.0102,0.2510,3.8000,-0.4500,350.5624,179.9987,359.7495,0.0000,0.0000,0.0000
3.780,583.7307,-5.8490,249.0259,0.2510,3.8000,-0.4500,350.5800,179.9986,359.4999,0.0000,0.0000,0.0000
3.892,583.4723,-6.0412,249.0502,0.2510,3.8000,-0.4500,350.6302,179.9981,359.3391,0.0000,0.0000,0.0000
4.003,583.2575,-6.2013,249.0781,0.2510,3.8000,-0.4500,350.6577,179.9977,359.2603,0.0000,0.0000,0.0000
4.113,583.0004,-6.3946,249.1252,0.2510,3.8000,-0.4500,350.7307,179.9967,359.1150,0.0000,0.0000,0.0000
4.224,582.7858,-6.5572,249.1747,0.2510,3.8000,-0.4500,350.9248,179.9932,358.8450,0.0000,0.0000,0.0000
4.335,582.5311,-6.7489,249.2494,0.2510,3.8000,-0.4500,351.0457,179.9906,358.7319,0.0000,0.0000,0.0000
4.449,582.2786,-6.9396,249.3452,0.2510,3.8000,-0.4500,351.1709,179.9876,358.6250,0.0000,0.0000,0.0000
4.572,582.0270,-7.1280,249.4589,0.2510,3.8000,-0.4500,351.5511,179.9777,358.4186,0.0000,0.0000,0.0000
4.683,581.8195,-7.2820,249.5672,0.2510,3.8000,-0.4500,351.7036,179.9733,358.3592,0.0000,0.0000,0.0000
4.794,581.5711,-7.4605,249.7071,0.2510,3.8000,-0.4500,352.0361,179.9635,358.2794,0.0000,0.0000,0.0000
4.905,581.3647,-7.6024,249.8295,0.2510,3.8000,-0.4500,352.4668,179.9502,358.2281,0.0000,0.0000,0.0000
5.016,581.1179,-7.7648,249.9831,0.2510,3.8000,-0.4500,352.8071,179.9396,358.2315,0.0000,0.0000,0.0000
5.127,580.9124,-7.8902,250.1135,0.2510,3.8000,-0.4500,353.2434,179.9261,358.2740,0.0000,0.0000,0.0000
5.238,580.6660,-8.0289,250.2722,0.2510,3.8000,-0.4500,353.7473,179.9112,358.3680,0.0000,0.0000,0.0000
5.350,580.4197,-8.1532,250.4318,0.2510,3.8000,-0.4500,354.2456,179.8975,358.5040,0.0000,0.0000,0.0000
5.461,580.2145,-8.2447,250.5646,0.2510,3.8000,-0.4500,354.6699,179.8869,358.6477,0.0000,0.0000,0.0000
5.572,579.9683,-8.3386,250.7227,0.2510,3.8000,-0.4500,355.1977,179.8753,358.8558,0.0000,0.0000,0.0000
5.682,579.7634,-8.4028,250.8528,0.2510,3.8000,-0.4500,355.6552,179.8670,359.0583,0.0000,0.0000,0.0000
5.794,579.5177,-8.4620,251.0065,0.2510,3.8000,-0.4500,356.2250,179.8589,359.3354,0.0000,0.0000,0.0000
5.905,579.3137,-8.4958,251.1325,0.2510,3.8000,-0.4500,356.7161,179.8543,359.5938,0.0000,0.0000,0.0000
6.016,579.0696,-8.5171,251.2811,0.2510,3.8000,-0.4500,357.3225,179.8518,359.9354,0.0000,0.0000,0.0000
6.128,578.8671,-8.5183,251.4026,0.2510,3.8000,-0.4500,357.8401,179.8526,0.2447,0.0000,0.0000,0.0000
6.238,578.6252,-8.4993,251.5431,0.2510,3.8000,-0.4500,358.4728,179.8575,0.6433,0.0000,0.0000,0.0000
6.349,578.3855,-8.4579,251.6772,0.2510,3.8000,-0.4500,359.1140,179.8671,1.0689,0.0000,0.0000,0.0000
6.461,578.1877,-8.4062,251.7849,0.2510,3.8000,-0.4500,359.6516,179.8788,1.4416,0.0000,0.0000,0.0000
6.571,577.9528,-8.3233,251.9111,0.2510,3.8000,-0.4500,0.2971,179.8977,1.9073,0.0000,0.0000,0.0000
