time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.107,599.6057,4.6292,250.0096,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.223,599.2074,4.2861,250.0186,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.332,598.6948,3.8505,250.0381,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.444,598.1900,3.4244,250.0655,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.556,597.5014,2.8457,250.1127,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.668,596.8659,2.3130,250.1639,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.778,596.0372,1.6197,250.2389,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.889,595.1442,0.8739,250.3277,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.001,594.3564,0.2166,250.4113,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.112,593.3641,-0.6105,250.5222,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.224,592.5023,-1.3284,250.6230,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.334,591.4307,-2.2206,250.7531,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.446,590.5536,-2.9505,250.8625,359.8352,180.0000,0.0006,359.8352,180.0000,0.0006
1.557,589.8143,-3.6750,250.9598,356.0899,179.9996,0.0112,356.0899,179.9996,0.0112
1.668,589.3014,-4.0501,251.0444,352.9283,179.9988,0.0143,352.9283,179.9988,0.0143
1.780,588.9686,-4.1739,251.1158,351.5143,179.9986,0.0081,351.5143,179.9986,0.0081
1.891,588.6319,-4.2062,251.2024,350.7049,179.9985,359.9924,350.7049,179.9985,359.9924
2.002,588.3811,-4.2078,251.2711,350.6258,179.9985,359.9890,350.6258,179.9985,359.9890
2.113,588.0997,-4.2377,251.3451,350.6258,179.9985,359.9890,350.6258,179.9985,359.9890
2.224,587.8747,-4.3058,251.3983,350.6257,179.9985,359.9891,350.6257,179.9985,359.9891
2.336,587.6109,-4.4406,251.4534,350.6257,179.9985,359.9891,350.6257,179.9985,359.9891
2.447,587.3941,-4.5872,251.4940,350.6258,179.9985,359.9890,350.6258,179.9985,359.9890
2.558,587.1441,-4.7733,251.4146,350.6257,179.9985,359.9891,350.6257,179.9985,359.9891
2.669,586.9125,-4.9262,251.0683,350.6257,179.9985,359.9891,350.6257,179.9985,359.9891
2.780,586.7293,-5.0240,250.6317,350.6257,179.9986,359.9891,350.6257,179.9986,359.9891
2.892,586.5151,-5.1148,250.0200,350.6257,179.9986,359.9891,350.6257,179.9986,359.9891
3.004,586.3358,-5.1816,249.5305,350.6258,179.9986,359.9891,350.6258,179.9986,359.9891
3.113,586.1122,-5.2731,249.0712,350.6258,179.9986,359.9891,350.6258,179.9986,359.9891
3.225,585.9164,-5.3672,248.8114,350.6258,179.9986,359.9891,350.6258,179.9986,359.9891
3.335,585.6714,-5.5028,248.6226,350.6258,179.9986,359.9890,350.6258,179.9986,359.9890
3.446,585.4617,-5.6324,248.5408,350.5624,179.9987,359.7495,350.5624,179.9987,359.7495
3.558,585.2076,-5.8032,248.5047,350.5624,179.9987,359.7495,350.5624,179.9987,359.7495
3.668,584.9946,-5.9544,248.5047,350.5624,179.9987,359.7495,350.5624,179.9987,359.7495
3.780,584.7380,-6.1416,248.5213,350.5800,179.9986,359.4999,350.5800,179.9986,359.4999
3.892,584.4807,-6.3314,248.5463,350.6302,179.9981,359.3391,350.6302,179.9981,359.3391
4.003,584.2664,-6.4904,248.5745,350.6577,179.9977,359.2603,350.6577,179.9977,359.2603
4.113,584.0101,-6.6818,248.6224,350.7307,179.9967,359.1150,350.7307,179.9967,359.1150
4.224,583.7974,-6.8414,248.6737,350.9248,179.9932,358.8450,350.9248,179.9932,358.8450
4.335,583.5433,-7.0321,248.7494,351.0457,179.9906,358.7319,351.0457,179.9906,358.7319
4.449,583.2915,-7.2221,248.8461,351.1709,179.9876,358.6250,351.1709,179.9876,358.6250
4.572,583.0413,-7.4102,248.9624,351.5511,179.9777,358.4186,351.5511,179.9777,358.4186
4.683,582.8342,-7.5645,249.0718,351.7036,179.9733,358.3592,351.7036,179.9733,358.3592
4.794,582.5864,-7.7445,249.2136,352.0361,179.9635,358.2794,352.0361,179.9635,358.2794
4.905,582.3804,-7.8891,249.3386,352.4668,179.9502,358.2281,352.4668,179.9502,358.2281
5.016,582.1336,-8.0546,249.4941,352.8071,179.9396,358.2315,352.8071,179.9396,358.2315
5.127,581.9280,-8.1844,249.6268,353.2434,179.9261,358.2740,353.2434,179.9261,358.2740
5.238,581.6812,-8.3291,249.7882,353.7473,179.9112,358.3680,353.7473,179.9112,358.3680
5.350,581.4341,-8.4600,249.9504,354.2456,179.8975,358.5040,354.2456,179.8975,358.5040
5.461,581.2281,-8.5575,250.0854,354.6699,179.8869,358.6477,354.6699,179.8869,358.6477
5.572,580.9807,-8.6595,250.2464,355.1977,179.8753,358.8558,355.1977,179.8753,358.8558
