time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.7531,5.1424,250.4567,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.7531,5.1424,250.4567,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.107,598.4826,4.9058,250.4628,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.220,598.0440,4.5306,250.4694,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.332,597.5933,4.1497,250.4743,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.444,596.9612,3.6194,250.4802,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.556,596.2415,3.0179,250.4976,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.665,595.5831,2.4682,250.5316,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.777,594.7311,1.7567,250.6013,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.889,593.9750,1.1249,250.6837,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.000,593.0183,0.3253,250.8092,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.111,592.1980,-0.3605,250.9317,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.224,591.4672,-0.9951,251.0595,0.2510,3.8000,-0.4500,359.2158,180.0000,0.0035,0.0000,0.0000,0.0000
1.333,591.0345,-1.2842,251.1529,0.2510,3.8000,-0.4500,358.1491,179.9999,0.0083,0.0000,0.0000,0.0000
1.444,590.6313,-1.3912,251.2508,0.2510,3.8000,-0.4500,357.3690,179.9997,0.0117,0.0000,0.0000,0.0000
1.556,590.2975,-1.3410,251.3300,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
1.667,590.0478,-1.2575,251.3845,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
1.779,589.7667,-1.1701,251.4299,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
1.892,589.5425,-1.1317,251.4346,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
2.001,589.2821,-1.1332,251.3982,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
2.112,589.0699,-1.1671,251.3372,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
2.225,588.8207,-1.2309,251.2158,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
2.334,588.6171,-1.2911,251.0743,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
2.445,588.3765,-1.3609,250.8659,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
2.557,588.1381,-1.4222,250.6328,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
2.668,587.9404,-1.4661,250.4281,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
2.780,587.7064,-1.5101,250.1402,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
2.890,587.5153,-1.5404,249.8479,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
3.002,587.2900,-1.5717,249.4368,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
3.113,587.1071,-1.5942,249.0197,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
3.224,586.8932,-1.6169,248.4242,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
3.335,586.6835,-1.6370,247.7555,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
3.446,586.5106,-1.6528,247.1640,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
3.557,586.3044,-1.6712,246.4306,0.2510,3.8000,-0.4500,357.2857,179.9997,0.0120,0.0000,0.0000,0.0000
