time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8000,4.8007,250.0055,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8000,4.8007,250.0055,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.100,599.5479,4.5789,250.0112,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.210,599.1292,4.2196,250.0172,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.322,598.6931,3.8505,250.0217,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.432,598.0772,3.3329,250.0221,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.542,597.4996,2.8458,249.9637,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.654,596.7445,2.2014,249.7466,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.765,596.0716,1.6198,249.4207,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.879,595.2191,0.8739,248.8504,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.990,594.3237,0.0815,248.0920,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.100,593.5616,-0.5990,247.3395,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.212,592.8872,-1.1805,246.5852,359.0426,180.0000,0.0017,359.0426,180.0000,0.0017
1.323,592.4913,-1.4172,246.0825,358.1112,180.0000,0.0031,358.1112,180.0000,0.0031
1.433,592.1261,-1.4696,245.5644,357.5493,179.9999,0.0039,357.5493,179.9999,0.0039
1.544,591.8743,-1.3974,245.1693,357.5493,179.9999,0.0039,357.5493,179.9999,0.0039
1.654,591.6072,-1.2624,244.7117,357.5493,179.9999,0.0039,357.5493,179.9999,0.0039
1.766,591.4014,-1.1595,244.3339,357.5493,179.9999,0.0038,357.5493,179.9999,0.0038
1.877,591.1656,-1.0808,243.8791,357.5493,179.9999,0.0038,357.5493,179.9999,0.0038
1.988,590.9745,-1.0577,243.4974,357.5493,179.9999,0.0038,357.5493,179.9999,0.0038
2.100,590.7489,-1.0722,243.0364,357.5493,179.9999,0.0038,357.5493,179.9999,0.0038
2.211,590.5255,-1.1153,242.5730,357.5493,180.0000,0.0038,357.5493,180.0000,0.0038
2.322,590.3399,-1.1602,242.1894,357.5493,180.0000,0.0038,357.5493,180.0000,0.0038
2.433,590.1130,-1.2160,241.7971,357.5493,180.0000,0.0038,357.5493,180.0000,0.0038
2.544,589.9163,-1.2625,241.5708,357.5493,180.0000,0.0038,357.5493,180.0000,0.0038
2.656,589.6714,-1.3172,241.4172,357.5493,180.0000,0.0038,357.5493,180.0000,0.0038
2.768,589.4223,-1.3710,241.3654,357.5493,180.0000,0.0038,357.5493,180.0000,0.0038
2.878,589.2139,-1.4163,241.3771,357.5493,180.0000,0.0038,357.5493,180.0000,0.0038
2.989,588.9642,-1.4724,241.4359,357.4665,180.0000,-0.0011,357.4665,180.0000,-0.0011
3.100,588.7566,-1.5216,241.5096,357.4665,180.0000,-0.0011,357.4665,180.0000,-0.0011
3.212,588.5079,-1.5835,241.6170,357.4665,180.0000,-0.0011,357.4665,180.0000,-0.0011
3.322,588.3011,-1.6377,241.7177,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
3.433,588.0534,-1.7051,241.8493,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
3.545,587.8474,-1.7629,241.9659,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
3.656,587.6005,-1.8338,242.1113,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
3.767,587.3948,-1.8934,242.2355,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
3.879,587.1480,-1.9656,242.3871,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
3.989,586.9012,-2.0380,242.5404,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
4.100,586.6955,-2.0985,242.6689,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
4.212,586.4487,-2.1712,242.8233,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
4.322,586.2430,-2.2317,242.9518,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
4.437,585.9958,-2.3041,243.1058,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
4.561,585.7486,-2.3763,243.2594,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
4.670,585.5012,-2.4477,243.4125,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
4.781,585.2949,-2.5063,243.5400,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
4.893,585.0474,-2.5756,243.6927,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
5.004,584.8411,-2.6318,243.8197,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
5.115,584.5935,-2.6976,243.9723,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
5.227,584.3872,-2.7503,244.1000,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
5.337,584.1398,-2.8110,244.2540,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
5.448,583.9338,-2.8590,244.3829,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
5.559,583.6866,-2.9132,244.5378,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
5.670,583.4397,-2.9631,244.6928,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
5.781,583.2340,-3.0010,244.8220,357.3037,180.0000,359.9808,357.3037,180.0000,359.9808
5.893,582.9875,-3.0420,244.9768,357.3826,180.0000,359.9647,357.3826,180.0000,359.9647
6.004,582.7823,-3.0718,245.1056,357.5442,179.9998,359.9438,357.5442,179.9998,359.9438
6.114,582.5363,-3.1022,245.2598,357.7095,179.9996,359.9438,357.7095,179.9996,359.9438
6.225,582.3314,-3.1228,245.3877,357.9582,179.9995,359.9676,357.9582,179.9995,359.9676
6.336,582.0859,-3.1414,245.5405,358.2018,179.9994,0.0285,358.2018,179.9994,0.0285
6.447,581.8817,-3.1516,245.6674,358.3615,179.9996,0.0821,358.3615,179.9996,0.0821
6.558,581.6371,-3.1574,245.8190,358.5180,179.9999,0.1388,358.5180,179.9999,0.1388
6.669,581.3931,-3.1557,245.9700,358.8224,180.0010,0.2775,358.8224,180.0010,0.2775
6.781,581.1902,-3.1485,246.0953,359.0408,180.0022,0.3904,359.0408,180.0022,0.3904
6.892,580.9472,-3.1329,246.2449,359.2626,180.0040,0.5172,359.2626,180.0040,0.5172
7.005,580.7453,-3.1139,246.3689,359.5499,180.0070,0.6923,359.5499,180.0070,0.6923
7.114,580.5038,-3.0839,246.5166,359.7574,180.0098,0.8272,359.7574,180.0098,0.8272
7.225,580.3029,-3.0530,246.6390,359.8979,180.0119,0.9225,359.8979,180.0119,0.9225
7.337,580.0625,-3.0086,246.7853,0.1047,180.0155,1.0648,0.1047,180.0155,1.0648
7.448,579.8630,-2.9659,246.9068,0.3761,180.0210,1.2601,0.3761,180.0210,1.2601
7.558,579.6243,-2.9077,247.0523,0.5136,180.0242,1.3623,0.5136,180.0242,1.3623
7.670,579.3869,-2.8423,247.1975,0.7160,180.0293,1.5141,0.7160,180.0293,1.5141
7.781,579.1899,-2.7824,247.3184,0.9113,180.0347,1.6649,0.9113,180.0347,1.6649
7.892,578.9543,-2.7043,247.4622,1.0386,180.0385,1.7645,1.0386,180.0385,1.7645
8.003,578.7587,-2.6345,247.5809,1.3003,180.0470,1.9739,1.3003,180.0470,1.9739
8.115,578.5250,-2.5451,247.7223,1.3003,180.0470,1.9739,1.3003,180.0470,1.9739
8.226,578.3309,-2.4665,247.8394,1.5621,180.0565,2.1895,1.5621,180.0565,2.1895
8.336,578.0988,-2.3673,247.9797,1.5621,180.0565,2.1895,1.5621,180.0565,2.1895
8.447,577.9061,-2.2813,248.0964,1.8178,180.0668,2.4065,1.8178,180.0668,2.4065
8.560,577.6757,-2.1742,248.2368,1.8178,180.0668,2.4065,1.8178,180.0668,2.4065
8.671,577.4453,-2.0638,248.3713,1.9441,180.0722,2.5174,1.9441,180.0722,2.5174
8.782,577.2520,-1.9702,248.4537,1.9441,180.0722,2.5174,1.9441,180.0722,2.5174
8.892,577.0187,-1.8592,248.4736,2.0662,180.0777,2.6270,2.0662,180.0777,2.6270
9.003,576.8244,-1.7680,248.4398,2.0662,180.0777,2.6270,2.0662,180.0777,2.6270
9.129,576.5534,-1.6417,248.3418,2.0662,180.0777,2.6270,2.0662,180.0777,2.6270
9.239,576.3607,-1.5526,248.2481,2.0662,180.0777,2.6270,2.0662,180.0777,2.6270
9.352,576.1303,-1.4465,248.1162,2.1253,180.0805,2.6838,2.1253,180.0805,2.6838
9.461,575.9396,-1.3594,247.9892,2.1253,180.0805,2.6838,2.1253,180.0805,2.6838
9.573,575.7121,-1.2565,247.8192,2.1252,180.0805,2.6838,2.1252,180.0805,2.6838
9.684,575.5232,-1.1723,247.6662,2.1252,180.0805,2.6838,2.1252,180.0805,2.6838
9.797,575.2969,-1.0730,247.4733,2.1252,180.0805,2.6838,2.1252,180.0805,2.6838
9.907,575.1084,-0.9921,247.3073,2.1253,180.0805,2.6838,2.1253,180.0805,2.6838
10.017,574.8826,-0.8974,247.1042,2.1252,180.0805,2.6838,2.1252,180.0805,2.6838
10.128,574.6943,-0.8205,246.9329,2.1253,180.0805,2.6838,2.1253,180.0805,2.6838
10.241,574.4680,-0.7312,246.7259,2.1253,180.0805,2.6839,2.1253,180.0805,2.6839
10.350,574.2413,-0.6452,246.5182,2.1253,180.0805,2.6838,2.1253,180.0805,2.6838
10.461,574.0518,-0.5765,246.3447,2.1253,180.0805,2.6838,2.1253,180.0805,2.6838
10.572,573.8240,-0.4976,246.1339,2.1252,180.0805,2.6838,2.1252,180.0805,2.6838
10.684,573.6342,-0.4354,245.9547,2.1252,180.0805,2.6838,2.1252,180.0805,2.6838
10.795,573.4058,-0.3649,245.7358,2.1253,180.0805,2.6838,2.1253,180.0805,2.6838
10.906,573.2152,-0.3099,245.5509,2.1252,180.0805,2.6838,2.1252,180.0805,2.6838
11.016,572.9858,-0.2487,245.3270,2.0516,180.0771,2.5306,2.0516,180.0771,2.5306
11.128,572.7935,-0.2015,245.1450,1.9772,180.0739,2.3787,1.9772,180.0739,2.3787
11.239,572.5578,-0.1489,244.9790,1.8195,180.0678,2.0793,1.8195,180.0678,2.0793
11.350,572.3174,-0.0995,244.9122,1.7808,180.0664,2.0090,1.7808,180.0664,2.0090
11.461,572.1158,-0.0619,244.9162,1.6563,180.0623,1.7893,1.6563,180.0623,1.7893
11.573,571.8734,-0.0217,244.9714,1.4852,180.0574,1.5006,1.4852,180.0574,1.5006
11.684,571.6708,0.0069,245.0461,1.3568,180.0542,1.2915,1.3568,180.0542,1.2915
11.795,571.4279,0.0350,245.1586,1.2244,180.0515,1.0795,1.2244,180.0515,1.0795
11.906,571.2250,0.0530,245.2646,1.1346,180.0499,0.9359,1.1346,180.0499,0.9359
12.018,570.9811,0.0678,245.4011,1.0028,180.0480,0.7247,1.0028,180.0480,0.7247
12.128,570.7772,0.0748,245.5195,0.8709,180.0466,0.5070,0.8709,180.0466,0.5070
12.239,570.5318,0.0767,245.6652,0.7856,180.0459,0.3622,0.7856,180.0459,0.3622
12.351,570.2857,0.0720,245.8128,0.6209,180.0453,0.0712,0.6209,180.0453,0.0712
12.462,570.0801,0.0633,245.9364,0.5828,180.0453,-0.0036,0.5828,180.0453,-0.0036
12.573,569.8325,0.0475,246.0848,0.4703,180.0455,359.7693,0.4703,180.0455,359.7693
12.684,569.6256,0.0303,246.2085,0.3734,180.0461,359.5463,0.3734,180.0461,359.5463
12.795,569.3768,0.0052,246.3571,0.3182,180.0466,359.3917,0.3182,180.0466,359.3917
12.906,569.1690,-0.0191,246.4812,0.2687,180.0472,359.2342,0.2687,180.0472,359.2342
13.017,568.9191,-0.0522,246.6304,0.2235,180.0479,359.0777,0.2235,180.0479,359.0777
13.130,568.6688,-0.0899,246.7802,0.1774,180.0487,358.9162,0.1774,180.0487,358.9162
13.239,568.4600,-0.1247,246.9056,0.1543,180.0491,358.8364,0.1543,180.0491,358.8364
13.351,568.2090,-0.1706,247.0575,0.1050,180.0502,358.6808,0.1050,180.0502,358.6808
13.463,568.0001,-0.2121,247.1859,0.0780,180.0508,358.6035,0.0780,180.0508,358.6035
13.572,567.7490,-0.2660,247.3421,359.9846,180.0533,358.3677,359.9846,180.0533,358.3677
13.698,567.4977,-0.3241,247.5006,359.9846,180.0533,358.3677,359.9846,180.0533,358.3677
13.807,567.2883,-0.3755,247.6342,359.8698,180.0568,358.1447,359.8698,180.0568,358.1447
13.919,567.0371,-0.4405,247.7961,359.8698,180.0568,358.1447,359.8698,180.0568,358.1447
14.030,566.7861,-0.5089,247.9594,359.8250,180.0583,358.0771,359.8250,180.0583,358.0771
14.141,566.5768,-0.5682,248.0965,359.7193,180.0620,357.9435,359.7193,180.0620,357.9435
14.252,566.3259,-0.6417,248.2618,359.7193,180.0620,357.9435,359.7193,180.0620,357.9435
14.363,566.1168,-0.7048,248.3999,359.5395,180.0687,357.7751,359.5395,180.0687,357.7751
14.475,565.8658,-0.7822,248.5663,359.5395,180.0687,357.7751,359.5395,180.0687,357.7751
