time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.4180,4.8499,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.4180,4.8499,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.100,598.0535,4.5306,250.3550,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.209,597.6331,4.1497,249.9611,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.320,597.0623,3.6193,249.1529,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.431,596.5370,3.1227,248.2284,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.543,595.8536,2.4682,246.8504,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.653,595.2443,1.8789,245.5010,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.765,594.4711,1.1250,243.6568,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.876,593.6581,0.3253,241.5733,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.987,593.0142,-0.2855,239.9204,0.2510,3.8000,-0.4500,359.8232,180.0000,0.0000,0.0000,0.0000,0.0000
1.112,592.4707,-0.7055,238.6373,0.2510,3.8000,-0.4500,358.1399,180.0000,0.0000,0.0000,0.0000,0.0000
1.224,592.0709,-0.8418,237.8524,0.2510,3.8000,-0.4500,356.9375,180.0000,0.0000,0.0000,0.0000,0.0000
1.335,591.7960,-0.8088,237.4296,0.2510,3.8000,-0.4500,356.5051,180.0000,0.0000,0.0000,0.0000,0.0000
1.446,591.5031,-0.6912,237.0889,0.2510,3.8000,-0.4500,356.5051,180.0000,0.0000,0.0000,0.0000,0.0000
1.558,591.2319,-0.5744,236.8547,0.2510,3.8000,-0.4500,356.5051,180.0000,0.0000,0.0000,0.0000,0.0000
1.670,591.0146,-0.5135,236.7023,0.2510,3.8000,-0.4500,356.5051,180.0000,0.0000,0.0000,0.0000,0.0000
1.780,590.7603,-0.4972,236.5458,0.2510,3.8000,-0.4500,356.5051,180.0000,0.0000,0.0000,0.0000,0.0000
1.891,590.5538,-0.5243,236.3921,0.2510,3.8000,-0.4500,356.5051,180.0000,0.0000,0.0000,0.0000,0.0000
2.002,590.3201,-0.5807,236.0477,0.2510,3.8000,-0.4500,356.5051,180.0000,0.0000,0.0000,0.0000,0.0000
2.114,590.1352,-0.6323,235.6302,0.2510,3.8000,-0.4500,356.5051,180.0000,0.0000,0.0000,0.0000,0.0000
2.225,589.9210,-0.6883,235.0215,0.2510,3.8000,-0.4500,356.5051,180.0000,0.0000,0.0000,0.0000,0.0000
2.336,589.7115,-0.7319,234.3436,0.2510,3.8000,-0.4500,356.5051,180.0000,0.0000,0.0000,0.0000,0.0000
2.447,589.5385,-0.7588,233.7588,0.2510,3.8000,-0.4500,356.5051,180.0000,0.0000,0.0000,0.0000,0.0000
2.559,589.3312,-0.7823,233.0564,0.2510,3.8000,-0.4500,356.5051,180.0000,0.0000,0.0000,0.0000,0.0000
2.670,589.1585,-0.7974,232.4774,0.2510,3.8000,-0.4500,356.5051,180.0000,0.0000,0.0000,0.0000,0.0000
2.780,588.9509,-0.8135,231.7920,0.2510,3.8000,-0.4500,356.5051,180.0000,0.0000,0.0000,0.0000,0.0000
2.892,588.7776,-0.8271,231.2274,0.2510,3.8000,-0.4500,356.5051,180.0000,0.0000,0.0000,0.0000,0.0000
3.003,588.5695,-0.8451,230.5561,0.2510,3.8000,-0.4500,356.5051,180.0000,0.0000,0.0000,0.0000,0.0000
3.114,588.3959,-0.8625,230.0007,0.2510,3.8000,-0.4500,356.4233,180.0000,-0.0007,0.0000,0.0000,0.0000
3.225,588.1875,-0.8844,229.3365,0.2510,3.8000,-0.4500,356.4233,180.0000,-0.0007,0.0000,0.0000,0.0000
3.337,587.9803,-0.9065,228.6481,0.2510,3.8000,-0.4500,356.4233,180.0001,-0.0007,0.0000,0.0000,0.0000
3.447,587.8077,-0.9245,228.0714,0.2510,3.8000,-0.4500,356.4233,180.0001,-0.0007,0.0000,0.0000,0.0000
3.559,587.5975,-0.9512,227.4355,0.2510,3.8000,-0.4500,356.2564,180.0001,-0.0033,0.0000,0.0000,0.0000
3.670,587.4184,-0.9771,226.9685,0.2510,3.8000,-0.4500,356.2564,180.0001,-0.0033,0.0000,0.0000,0.0000
3.781,587.1989,-1.0141,226.4805,0.2510,3.8000,-0.4500,356.2564,180.0001,-0.0033,0.0000,0.0000,0.0000
3.892,587.0128,-1.0494,226.1221,0.2510,3.8000,-0.4500,356.2564,180.0000,-0.0033,0.0000,0.0000,0.0000
4.003,586.7866,-1.0975,225.7347,0.2510,3.8000,-0.4500,356.0904,180.0001,359.9921,0.0000,0.0000,0.0000
4.114,586.5965,-1.1393,225.4348,0.2510,3.8000,-0.4500,356.0904,180.0001,359.9921,0.0000,0.0000,0.0000
4.226,586.3670,-1.1935,225.0945,0.2510,3.8000,-0.4500,355.9265,180.0001,359.9857,0.0000,0.0000,0.0000
4.351,586.1367,-1.2484,224.7657,0.2510,3.8000,-0.4500,355.9265,180.0001,359.9857,0.0000,0.0000,0.0000
4.461,585.9058,-1.3064,224.4453,0.2510,3.8000,-0.4500,355.7656,180.0001,359.9776,0.0000,0.0000,0.0000
4.573,585.7135,-1.3546,224.1806,0.2510,3.8000,-0.4500,355.7656,180.0001,359.9776,0.0000,0.0000,0.0000
4.684,585.4821,-1.4135,223.8652,0.2510,3.8000,-0.4500,355.7656,180.0001,359.9776,0.0000,0.0000,0.0000
4.795,585.2892,-1.4649,223.6044,0.2510,3.8000,-0.4500,355.5992,180.0002,359.9677,0.0000,0.0000,0.0000
4.906,585.0578,-1.5257,223.2910,0.2510,3.8000,-0.4500,355.5992,180.0002,359.9677,0.0000,0.0000,0.0000
5.018,584.8263,-1.5881,222.9785,0.2510,3.8000,-0.4500,355.5173,180.0003,359.9628,0.0000,0.0000,0.0000
5.128,584.6335,-1.6409,222.7171,0.2510,3.8000,-0.4500,355.4349,180.0003,359.9581,0.0000,0.0000,0.0000
5.240,584.4023,-1.7044,222.4001,0.2510,3.8000,-0.4500,355.3541,180.0004,359.9538,0.0000,0.0000,0.0000
5.351,584.2098,-1.7570,222.1328,0.2510,3.8000,-0.4500,355.3541,180.0004,359.9538,0.0000,0.0000,0.0000
5.462,583.9803,-1.8209,221.7929,0.2510,3.8000,-0.4500,355.1871,180.0005,359.9483,0.0000,0.0000,0.0000
5.587,583.7560,-1.8776,221.3805,0.2510,3.8000,-0.4500,355.1871,180.0005,359.9483,0.0000,0.0000,0.0000
5.698,583.5363,-1.9270,220.8948,0.2510,3.8000,-0.4500,355.1871,180.0006,359.9483,0.0000,0.0000,0.0000
5.810,583.3566,-1.9638,220.4399,0.2510,3.8000,-0.4500,355.1091,180.0007,359.9489,0.0000,0.0000,0.0000
5.920,583.1458,-1.9988,219.8113,0.2510,3.8000,-0.4500,355.1091,180.0007,359.9489,0.0000,0.0000,0.0000
6.031,582.9725,-2.0224,219.2429,0.2510,3.8000,-0.4500,355.1091,180.0006,359.9489,0.0000,0.0000,0.0000
6.143,582.7657,-2.0475,218.5434,0.2510,3.8000,-0.4500,355.1091,180.0006,359.9489,0.0000,0.0000,0.0000
6.254,582.5937,-2.0677,217.9615,0.2510,3.8000,-0.4500,355.1091,180.0006,359.9489,0.0000,0.0000,0.0000
6.367,582.3868,-2.0919,217.2717,0.2510,3.8000,-0.4500,355.1091,180.0006,359.9489,0.0000,0.0000,0.0000
6.476,582.1797,-2.1167,216.5920,0.2510,3.8000,-0.4500,355.1091,180.0006,359.9489,0.0000,0.0000,0.0000
6.587,582.0068,-2.1376,216.0319,0.2510,3.8000,-0.4500,355.1091,180.0006,359.9489,0.0000,0.0000,0.0000
6.698,581.7991,-2.1628,215.3655,0.2510,3.8000,-0.4500,355.1090,180.0006,359.9489,0.0000,0.0000,0.0000
6.809,581.6259,-2.1835,214.8136,0.2510,3.8000,-0.4500,355.1090,180.0006,359.9489,0.0000,0.0000,0.0000
6.920,581.4181,-2.2079,214.1540,0.2510,3.8000,-0.4500,355.1090,180.0006,359.9489,0.0000,0.0000,0.0000
7.032,581.2449,-2.2276,213.6058,0.2510,3.8000,-0.4500,355.1090,180.0006,359.9489,0.0000,0.0000,0.0000
7.142,581.0370,-2.2503,212.9491,0.2510,3.8000,-0.4500,355.1090,180.0006,359.9489,0.0000,0.0000,0.0000
7.253,580.8643,-2.2683,212.4006,0.2510,3.8000,-0.4500,355.1090,180.0006,359.9489,0.0000,0.0000,0.0000
7.364,580.6580,-2.2875,211.7260,0.2510,3.8000,-0.4500,355.1090,180.0006,359.9489,0.0000,0.0000,0.0000
7.489,580.4528,-2.3033,211.0294,0.2510,3.8000,-0.4500,355.1090,180.0006,359.9489,0.0000,0.0000,0.0000
7.600,580.2488,-2.3160,210.3136,0.2510,3.8000,-0.4500,355.1090,180.0006,359.9489,0.0000,0.0000,0.0000
7.711,580.0785,-2.3255,209.7269,0.2510,3.8000,-0.4500,355.1090,180.0006,359.9489,0.0000,0.0000,0.0000
7.823,579.8693,-2.3418,209.1080,0.2510,3.8000,-0.4500,355.1090,180.0006,359.9489,0.0000,0.0000,0.0000
7.934,579.6892,-2.3621,208.6856,0.2510,3.8000,-0.4500,355.1090,180.0006,359.9489,0.0000,0.0000,0.0000
8.059,579.4283,-2.4002,208.2257,0.2510,3.8000,-0.4500,355.1090,180.0006,359.9489,0.0000,0.0000,0.0000
8.170,579.2370,-2.4321,207.9699,0.2510,3.8000,-0.4500,355.1090,180.0006,359.9489,0.0000,0.0000,0.0000
8.281,579.0045,-2.4702,207.7189,0.2510,3.8000,-0.4500,355.1070,180.0006,0.1133,0.0000,0.0000,0.0000
8.392,578.8082,-2.5031,207.5415,0.2510,3.8000,-0.4500,355.1206,180.0006,0.1906,0.0000,0.0000,0.0000
8.503,578.5714,-2.5396,207.3533,0.2510,3.8000,-0.4500,355.1779,180.0009,0.3465,0.0000,0.0000,0.0000
8.614,578.3731,-2.5672,207.2096,0.2510,3.8000,-0.4500,355.2590,180.0015,0.4929,0.0000,0.0000,0.0000
8.725,578.1348,-2.5955,207.0466,0.2510,3.8000,-0.4500,355.4075,180.0031,0.6913,0.0000,0.0000,0.0000
8.850,577.8958,-2.6207,206.8893,0.2510,3.8000,-0.4500,355.5193,180.0045,0.8108,0.0000,0.0000,0.0000
8.975,577.6573,-2.6392,206.7343,0.2510,3.8000,-0.4500,355.7113,180.0075,0.9750,0.0000,0.0000,0.0000
9.086,577.4189,-2.6536,206.5807,0.2510,3.8000,-0.4500,355.8448,180.0099,1.0764,0.0000,0.0000,0.0000
9.197,577.1816,-2.6583,206.4259,0.2510,3.8000,-0.4500,356.2091,180.0175,1.3017,0.0000,0.0000,0.0000
9.308,576.9835,-2.6610,206.2975,0.2510,3.8000,-0.4500,356.3600,180.0211,1.3795,0.0000,0.0000,0.0000
9.420,576.7465,-2.6583,206.1423,0.2510,3.8000,-0.4500,356.5875,180.0268,1.4895,0.0000,0.0000,0.0000
