time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.4220,4.4699,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.4220,4.4699,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.100,599.0576,4.1506,249.9050,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.209,598.6371,3.7697,249.5111,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.320,598.0663,3.2394,248.7029,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.431,597.5410,2.7427,247.7784,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.543,596.8576,2.0882,246.4004,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.653,596.2484,1.4989,245.0510,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.765,595.4752,0.7450,243.2068,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.876,594.6621,-0.0547,241.1233,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.987,594.0182,-0.6642,239.4692,359.8232,180.0000,0.0000,359.8232,180.0000,0.0000
1.112,593.4747,-1.0707,238.1752,358.1399,180.0000,0.0000,358.1399,180.0000,0.0000
1.224,593.0749,-1.1973,237.3828,356.9375,180.0000,0.0000,356.9375,180.0000,0.0000
1.335,592.8000,-1.1607,236.9572,356.5051,180.0000,0.0000,356.5051,180.0000,0.0000
1.446,592.5071,-1.0430,236.6165,356.5051,180.0000,0.0000,356.5051,180.0000,0.0000
1.558,592.2359,-0.9263,236.3824,356.5051,180.0000,0.0000,356.5051,180.0000,0.0000
1.670,592.0187,-0.8654,236.2300,356.5051,180.0000,0.0000,356.5051,180.0000,0.0000
1.780,591.7643,-0.8491,236.0735,356.5051,180.0000,0.0000,356.5051,180.0000,0.0000
1.891,591.5579,-0.8762,235.9198,356.5051,180.0000,0.0000,356.5051,180.0000,0.0000
2.002,591.3241,-0.9326,235.5754,356.5051,180.0000,0.0000,356.5051,180.0000,0.0000
2.114,591.1392,-0.9841,235.1579,356.5051,180.0000,0.0000,356.5051,180.0000,0.0000
2.225,590.9250,-1.0401,234.5492,356.5051,180.0000,0.0000,356.5051,180.0000,0.0000
2.336,590.7155,-1.0838,233.8712,356.5051,180.0000,0.0000,356.5051,180.0000,0.0000
2.447,590.5425,-1.1106,233.2864,356.5051,180.0000,0.0000,356.5051,180.0000,0.0000
2.559,590.3353,-1.1341,232.5841,356.5051,180.0000,0.0000,356.5051,180.0000,0.0000
2.670,590.1625,-1.1493,232.0051,356.5051,180.0000,0.0000,356.5051,180.0000,0.0000
2.780,589.9550,-1.1654,231.3196,356.5051,180.0000,0.0000,356.5051,180.0000,0.0000
2.892,589.7817,-1.1790,230.7551,356.5051,180.0000,0.0000,356.5051,180.0000,0.0000
3.003,589.5735,-1.1969,230.0838,356.5051,180.0000,0.0000,356.5051,180.0000,0.0000
3.114,589.3999,-1.2136,229.5279,356.4233,180.0000,-0.0007,356.4233,180.0000,-0.0007
3.225,589.1915,-1.2356,228.8637,356.4233,180.0000,-0.0007,356.4233,180.0000,-0.0007
3.337,588.9843,-1.2577,228.1753,356.4233,180.0001,-0.0007,356.4233,180.0001,-0.0007
3.447,588.8118,-1.2757,227.5986,356.4233,180.0001,-0.0007,356.4233,180.0001,-0.0007
3.559,588.6015,-1.3010,226.9617,356.2564,180.0001,-0.0033,356.2564,180.0001,-0.0033
3.670,588.4224,-1.3268,226.4947,356.2564,180.0001,-0.0033,356.2564,180.0001,-0.0033
3.781,588.2029,-1.3638,226.0067,356.2564,180.0001,-0.0033,356.2564,180.0001,-0.0033
3.892,588.0168,-1.3992,225.6482,356.2564,180.0000,-0.0033,356.2564,180.0000,-0.0033
4.003,587.7906,-1.4458,225.2598,356.0904,180.0001,359.9921,356.0904,180.0001,359.9921
4.114,587.6005,-1.4876,224.9599,356.0904,180.0001,359.9921,356.0904,180.0001,359.9921
4.226,587.3711,-1.5403,224.6186,355.9265,180.0001,359.9857,355.9265,180.0001,359.9857
4.351,587.1407,-1.5952,224.2899,355.9265,180.0001,359.9857,355.9265,180.0001,359.9857
4.461,586.9099,-1.6518,223.9684,355.7656,180.0001,359.9776,355.7656,180.0001,359.9776
4.573,586.7177,-1.6999,223.7038,355.7656,180.0001,359.9776,355.7656,180.0001,359.9776
4.684,586.4863,-1.7588,223.3884,355.7656,180.0001,359.9776,355.7656,180.0001,359.9776
4.795,586.2935,-1.8087,223.1266,355.5992,180.0002,359.9677,355.5992,180.0002,359.9677
4.906,586.0620,-1.8694,222.8132,355.5992,180.0002,359.9677,355.5992,180.0002,359.9677
5.018,585.8306,-1.9311,222.5002,355.5173,180.0003,359.9628,355.5173,180.0003,359.9628
5.128,585.6378,-1.9831,222.2383,355.4349,180.0003,359.9581,355.4349,180.0003,359.9581
5.240,585.4066,-2.0459,221.9208,355.3541,180.0004,359.9538,355.3541,180.0004,359.9538
5.351,585.2141,-2.0985,221.6535,355.3541,180.0004,359.9538,355.3541,180.0004,359.9538
5.462,584.9847,-2.1609,221.3127,355.1871,180.0005,359.9483,355.1871,180.0005,359.9483
5.587,584.7603,-2.2176,220.9003,355.1871,180.0005,359.9483,355.1871,180.0005,359.9483
5.698,584.5406,-2.2670,220.4146,355.1871,180.0006,359.9483,355.1871,180.0006,359.9483
5.810,584.3610,-2.3032,219.9592,355.1091,180.0007,359.9489,355.1091,180.0007,359.9489
5.920,584.1501,-2.3382,219.3306,355.1091,180.0007,359.9489,355.1091,180.0007,359.9489
6.031,583.9768,-2.3618,218.7622,355.1091,180.0006,359.9489,355.1091,180.0006,359.9489
6.143,583.7701,-2.3869,218.0627,355.1091,180.0006,359.9489,355.1091,180.0006,359.9489
6.254,583.5980,-2.4070,217.4808,355.1091,180.0006,359.9489,355.1091,180.0006,359.9489
