time_sec,angle_x,angle_y,angle_z
0.148,93.3818,-19.3023,-99.9520
0.266,93.3502,-19.2016,-99.9307
0.376,93.3451,-19.1387,-99.9219
0.486,93.3406,-18.9812,-99.9180
0.614,93.3464,-18.3861,-99.9179
0.741,93.3386,-17.7582,-99.9177
0.868,93.3378,-17.4691,-99.9047
0.990,93.3444,-17.1464,-99.9062
1.110,93.3495,-16.6308,-99.9025
1.236,93.3470,-16.0729,-99.8931
1.355,93.3514,-15.7254,-99.8876
1.473,93.3658,-15.3847,-99.8854
1.595,93.3671,-15.0440,-99.8768
1.713,93.3705,-14.5203,-99.8654
1.841,93.3743,-14.0250,-99.8470
1.959,93.3632,-13.7070,-99.8376
2.086,93.3518,-13.2908,-99.8195
2.204,93.3521,-13.0694,-99.8042
2.323,93.3332,-12.8440,-99.7894
2.444,93.3319,-12.5970,-99.7801
2.563,93.3280,-12.1209,-99.7660
2.690,93.3289,-11.7070,-99.7731
2.809,93.3150,-11.5453,-99.7859
2.936,93.3148,-11.1753,-99.7771
3.054,93.3215,-10.8743,-99.7595
3.172,93.3274,-10.8104,-99.7811
3.294,93.3255,-10.8059,-99.8564
3.413,93.3186,-10.7189,-99.8279
3.540,93.3323,-10.5740,-99.8160
3.658,93.3387,-10.5723,-99.8036
3.785,93.3382,-10.5664,-99.8159
3.903,93.3387,-10.5723,-99.8036
4.022,93.3470,-10.5758,-99.8115
4.144,93.3527,-10.5724,-99.8107
4.262,93.3675,-10.5700,-99.8068
4.392,93.3674,-10.5814,-99.7995
4.510,93.3589,-10.5749,-99.7978
4.638,93.3706,-10.5639,-99.7969
4.756,93.3777,-10.4930,-99.7880
4.875,93.3734,-10.4433,-99.7671
4.996,93.3764,-10.4228,-99.7706
5.116,93.3648,-10.4411,-99.7648
5.237,93.3614,-10.4628,-99.7668
5.357,93.3623,-10.4528,-99.7422
5.484,93.3512,-10.4509,-99.7247
5.602,93.3370,-10.4550,-99.7170
5.721,93.3397,-10.4763,-99.7122
5.842,93.3483,-10.4786,-99.7144
5.961,93.3569,-10.4922,-99.7094
6.088,93.3568,-10.4850,-99.7161
6.206,93.3568,-10.4850,-99.7161
6.333,93.3567,-10.4778,-99.7228
6.451,93.3567,-10.4778,-99.7228
6.570,93.3567,-10.4778,-99.7228
6.692,93.3482,-10.4714,-99.7211
6.810,93.3507,-10.4711,-99.7364
6.937,93.3526,-10.5096,-99.7493
7.056,93.3497,-10.4925,-99.7536
7.183,93.3556,-10.4777,-99.7602
7.301,93.3523,-10.4808,-99.7762
7.420,93.3544,-10.5223,-99.7830
7.541,93.3513,-10.5470,-99.7788
7.660,93.3512,-10.5585,-99.7715
7.787,93.3455,-10.5619,-99.7722
7.905,93.3455,-10.5619,-99.7722
8.032,93.3453,-10.5661,-99.7717
8.150,93.3453,-10.5661,-99.7717
8.269,93.3368,-10.5596,-99.7700
8.390,93.3368,-10.5596,-99.7700
8.509,93.3396,-10.5695,-99.7724
8.636,93.3874,-10.6821,-99.7634
8.755,93.4386,-10.7167,-99.7744
8.882,93.4921,-10.8606,-99.7635
9.000,93.5584,-10.9937,-99.7147
9.119,93.6132,-10.9648,-99.7321
9.240,93.6477,-10.9937,-99.7332
9.359,93.7015,-11.0814,-99.7445
9.486,93.7815,-11.3359,-99.7177
9.604,93.8150,-11.4641,-99.7328
9.731,93.8611,-11.5483,-99.7370
9.849,93.9026,-11.0817,-99.7279
9.968,93.9427,-11.0927,-99.7418
10.089,93.9569,-11.1651,-99.7402
10.208,93.9828,-11.1803,-99.7464
10.335,94.0057,-11.1899,-99.7494
10.454,94.0143,-11.1964,-99.7512
10.580,94.0167,-11.2422,-99.7580
10.699,94.0113,-11.2558,-99.7461
10.817,94.0341,-11.2581,-99.7557
10.939,94.0344,-11.2539,-99.7563
11.058,94.0341,-11.2581,-99.7557
11.184,94.0258,-11.2546,-99.7478
11.303,94.0255,-11.2517,-99.7539
11.430,94.0173,-11.2481,-99.7459
11.548,94.0173,-11.2481,-99.7459
11.667,94.0173,-11.2481,-99.7459
11.788,94.0170,-11.2524,-99.7454
11.907,93.9850,-11.2722,-99.7447
12.034,93.9354,-11.3223,-99.7378
12.152,93.8976,-11.3570,-99.7307
12.279,93.8303,-11.3953,-99.7255
12.398,93.7580,-11.4084,-99.7103
12.516,93.7231,-11.4183,-99.7071
12.638,93.6827,-11.4389,-99.6979
12.756,93.5724,-11.4490,-99.6830
12.883,93.4157,-11.4772,-99.6719
13.002,93.3668,-11.4912,-99.6609
13.129,93.2888,-11.5119,-99.6460
13.247,93.2285,-11.5096,-99.6307
13.366,93.1130,-11.5230,-99.6169
13.487,93.0408,-11.5330,-99.6080
13.606,92.8971,-11.5475,-99.5855
13.733,92.8162,-11.5523,-99.5805
13.852,92.7100,-11.5709,-99.5632
13.980,92.6153,-11.5785,-99.5451
14.098,92.5577,-11.5916,-99.5375
14.216,92.4945,-11.6038,-99.5313
14.338,92.4172,-11.6202,-99.5173
14.456,92.3890,-11.5937,-99.5035
14.583,92.3243,-11.5008,-99.4818
14.702,92.3104,-11.4702,-99.4759
14.829,92.2609,-11.5519,-99.4733
14.948,92.2395,-11.7049,-99.4698
15.066,92.2421,-11.7305,-99.4643
15.187,92.2606,-11.6051,-99.4575
15.306,92.2547,-11.6056,-99.4643
15.433,92.2577,-11.5809,-99.4685
15.551,92.2683,-11.4992,-99.4130
15.679,92.2562,-11.4686,-99.4598
15.797,92.2704,-11.5122,-99.4467
15.915,92.2868,-11.5540,-99.4606
16.037,92.3004,-11.5978,-99.4849
16.155,92.3868,-11.7812,-99.5363
16.282,92.4551,-11.8104,-99.5649
16.401,92.5262,-11.8609,-99.5887
16.528,92.6680,-12.2404,-99.6478
16.646,92.6330,-15.7371,-99.7528
16.764,92.7056,-19.2309,-99.8620
16.886,92.9562,-11.8379,-99.7261
17.004,93.0712,-12.2946,-99.7113
17.139,93.1724,-12.0023,-99.7436
17.259,93.2644,-12.0294,-99.7833
17.381,93.3393,-12.1084,-99.7970
17.508,93.4396,-12.2009,-99.8867
17.630,93.5008,-12.2407,-99.8954
17.749,93.6028,-12.3222,-99.8600
17.876,93.7948,-12.2909,-99.8692
17.994,93.8758,-12.2959,-99.8797
18.113,93.9485,-12.2784,-99.8960
18.234,94.0182,-12.2511,-99.9096
18.353,94.1029,-12.3078,-99.9155
18.480,94.1561,-12.4046,-99.9332
18.598,94.1706,-12.4278,-99.9468
18.725,94.2233,-12.4942,-99.9649
18.844,94.2555,-12.5017,-99.9715
18.962,94.2700,-12.4932,-99.9799
19.084,94.3047,-12.4442,-99.9848
19.202,94.3538,-12.3550,-99.9930
19.329,94.3860,-12.3814,-99.9859
19.448,94.4006,-12.3802,-99.9878
19.575,94.3978,-12.3733,-99.9790
19.693,94.3980,-12.3690,-99.9796
19.812,94.4122,-12.3576,-99.9940
