time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.111,598.6016,5.0092,250.4596,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.221,598.2030,4.6661,250.4651,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.334,597.7820,4.3091,250.4692,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.445,597.1819,3.8045,250.4736,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.557,596.6107,3.3270,250.4769,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.668,595.8491,2.6930,250.4805,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.779,595.0133,1.9998,250.4836,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.890,594.2665,1.3816,250.4859,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.002,593.3163,0.5966,250.4882,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.113,592.4846,-0.0899,250.4861,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.224,591.4442,-0.9484,250.4741,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.335,590.5457,-1.6897,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.446,589.5195,-2.5856,250.4258,0.2510,3.8000,-0.4500,359.4233,180.0000,0.0017,0.0000,0.0000,0.0000
1.557,588.9242,-3.1621,250.4268,0.2510,3.8000,-0.4500,356.1341,179.9996,0.0099,0.0000,0.0000,0.0000
1.669,588.4100,-3.5323,250.4402,0.2510,3.8000,-0.4500,353.0043,179.9990,0.0133,0.0000,0.0000,0.0000
1.781,588.0167,-3.6546,250.4618,0.2510,3.8000,-0.4500,351.4113,179.9987,0.0075,0.0000,0.0000,0.0000
1.891,587.7394,-3.6634,250.4816,0.2510,3.8000,-0.4500,350.7817,179.9986,-0.0029,0.0000,0.0000,0.0000
2.002,587.4399,-3.6512,250.4992,0.2510,3.8000,-0.4500,350.7003,179.9986,-0.0055,0.0000,0.0000,0.0000
2.113,587.2062,-3.6689,250.5066,0.2510,3.8000,-0.4500,350.7003,179.9986,-0.0055,0.0000,0.0000,0.0000
2.224,586.9360,-3.7456,250.5047,0.2510,3.8000,-0.4500,350.7003,179.9986,-0.0055,0.0000,0.0000,0.0000
2.336,586.7157,-3.8545,250.4965,0.2510,3.8000,-0.4500,350.7003,179.9986,-0.0055,0.0000,0.0000,0.0000
2.447,586.4543,-4.0247,250.4821,0.2510,3.8000,-0.4500,350.7003,179.9986,-0.0055,0.0000,0.0000,0.0000
2.558,586.2378,-4.1856,250.4687,0.2510,3.8000,-0.4500,350.7003,179.9986,-0.0055,0.0000,0.0000,0.0000
2.669,585.9787,-4.3859,250.4530,0.2510,3.8000,-0.4500,350.7003,179.9986,-0.0055,0.0000,0.0000,0.0000
2.781,585.7198,-4.5832,250.4392,0.2510,3.8000,-0.4500,350.7003,179.9986,-0.0055,0.0000,0.0000,0.0000
2.891,585.5040,-4.7414,250.4294,0.2510,3.8000,-0.4500,350.7003,179.9986,-0.0055,0.0000,0.0000,0.0000
3.003,585.2449,-4.9235,250.4194,0.2510,3.8000,-0.4500,350.7003,179.9986,-0.0055,0.0000,0.0000,0.0000
3.114,585.0287,-5.0703,250.4121,0.2510,3.8000,-0.4500,350.7002,179.9986,-0.0055,0.0000,0.0000,0.0000
3.225,584.7690,-5.2433,250.4037,0.2510,3.8000,-0.4500,350.7002,179.9986,-0.0055,0.0000,0.0000,0.0000
3.335,584.5523,-5.3869,250.3969,0.2510,3.8000,-0.4500,350.7002,179.9986,-0.0055,0.0000,0.0000,0.0000
3.447,584.2903,-5.5661,250.3865,0.2510,3.8000,-0.4500,350.6684,179.9987,359.6590,0.0000,0.0000,0.0000
3.558,584.0748,-5.7110,250.3694,0.2510,3.8000,-0.4500,350.6684,179.9987,359.6590,0.0000,0.0000,0.0000
3.669,583.8163,-5.8874,250.3286,0.2510,3.8000,-0.4500,350.7253,179.9982,359.4197,0.0000,0.0000,0.0000
3.780,583.5606,-6.0598,250.2689,0.2510,3.8000,-0.4500,350.7550,179.9979,359.3451,0.0000,0.0000,0.0000
3.891,583.3477,-6.2042,250.2064,0.2510,3.8000,-0.4500,350.8624,179.9965,359.1252,0.0000,0.0000,0.0000
4.003,583.0941,-6.3734,250.1222,0.2510,3.8000,-0.4500,350.9077,179.9957,359.0563,0.0000,0.0000,0.0000
4.114,582.8828,-6.5140,250.0455,0.2510,3.8000,-0.4500,351.0023,179.9940,358.9214,0.0000,0.0000,0.0000
4.225,582.6297,-6.6809,249.9480,0.2510,3.8000,-0.4500,351.1658,179.9906,358.7375,0.0000,0.0000,0.0000
4.336,582.4199,-6.8171,249.8645,0.2510,3.8000,-0.4500,351.2267,179.9893,358.6833,0.0000,0.0000,0.0000
4.460,582.1256,-7.0052,249.7436,0.2510,3.8000,-0.4500,351.4203,179.9845,358.5349,0.0000,0.0000,0.0000
4.572,581.9158,-7.1363,249.6556,0.2510,3.8000,-0.4500,351.5608,179.9808,358.4551,0.0000,0.0000,0.0000
4.683,581.6639,-7.2896,249.5485,0.2510,3.8000,-0.4500,351.7947,179.9742,358.3649,0.0000,0.0000,0.0000
4.794,581.4545,-7.4138,249.4593,0.2510,3.8000,-0.4500,351.8719,179.9720,358.3392,0.0000,0.0000,0.0000
4.905,581.2032,-7.5560,249.3502,0.2510,3.8000,-0.4500,352.1947,179.9623,358.2928,0.0000,0.0000,0.0000
5.017,580.9948,-7.6687,249.2531,0.2510,3.8000,-0.4500,352.4503,179.9547,358.2990,0.0000,0.0000,0.0000
5.127,580.7497,-7.7909,249.0741,0.2510,3.8000,-0.4500,352.7826,179.9448,358.3448,0.0000,0.0000,0.0000
5.238,580.5511,-7.8805,248.8562,0.2510,3.8000,-0.4500,352.9408,179.9403,358.3837,0.0000,0.0000,0.0000
5.350,580.3188,-7.9705,248.5229,0.2510,3.8000,-0.4500,353.2614,179.9315,358.5099,0.0000,0.0000,0.0000
5.461,580.0909,-8.0458,248.1329,0.2510,3.8000,-0.4500,353.5527,179.9243,358.6710,0.0000,0.0000,0.0000
5.571,579.9035,-8.0993,247.7784,0.2510,3.8000,-0.4500,353.7595,179.9197,358.8113,0.0000,0.0000,0.0000
5.683,579.6808,-8.1529,247.3297,0.2510,3.8000,-0.4500,354.0118,179.9149,359.0225,0.0000,0.0000,0.0000
5.795,579.4971,-8.1881,246.9429,0.2510,3.8000,-0.4500,354.2637,179.9111,359.2764,0.0000,0.0000,0.0000
5.904,579.2781,-8.2214,246.4695,0.2510,3.8000,-0.4500,354.5558,179.9082,359.5973,0.0000,0.0000,0.0000
6.016,579.0966,-8.2424,246.0702,0.2510,3.8000,-0.4500,354.7736,179.9072,359.8563,0.0000,0.0000,0.0000
6.127,578.8802,-8.2587,245.5874,0.2510,3.8000,-0.4500,355.0389,179.9072,0.1851,0.0000,0.0000,0.0000
6.238,578.7014,-8.2635,245.1830,0.2510,3.8000,-0.4500,355.3004,179.9088,0.5172,0.0000,0.0000,0.0000
6.350,578.4875,-8.2620,244.6963,0.2510,3.8000,-0.4500,355.5587,179.9119,0.8467,0.0000,0.0000,0.0000
6.461,578.2755,-8.2496,244.2083,0.2510,3.8000,-0.4500,355.8413,179.9170,1.2038,0.0000,0.0000,0.0000
6.572,578.0994,-8.2303,243.8196,0.2510,3.8000,-0.4500,356.1295,179.9240,1.5629,0.0000,0.0000,0.0000
