time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.111,599.6057,4.6292,250.0096,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.221,599.2070,4.2861,250.0151,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.334,598.7861,3.9291,250.0192,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.445,598.1859,3.4245,250.0236,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.557,597.6147,2.9470,250.0269,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.668,596.8531,2.3130,250.0305,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.779,596.0173,1.6198,250.0336,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.890,595.2705,1.0016,250.0359,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.002,594.3204,0.2166,250.0382,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.113,593.4886,-0.4699,250.0361,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.224,592.4482,-1.3284,250.0241,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.335,591.5497,-2.0697,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.446,590.5235,-2.9611,249.9720,359.4233,180.0000,0.0017,359.4233,180.0000,0.0017
1.557,589.9282,-3.5111,249.9522,356.1341,179.9996,0.0099,356.1341,179.9996,0.0099
1.669,589.4139,-3.8549,249.9472,353.0043,179.9990,0.0133,353.0043,179.9990,0.0133
1.781,589.0206,-3.9633,249.9601,351.4113,179.9987,0.0075,351.4113,179.9987,0.0075
1.891,588.7434,-3.9663,249.9766,350.7817,179.9986,-0.0029,350.7817,179.9986,-0.0029
2.002,588.4439,-3.9534,249.9937,350.7003,179.9986,-0.0055,350.7003,179.9986,-0.0055
2.113,588.2102,-3.9711,250.0011,350.7003,179.9986,-0.0055,350.7003,179.9986,-0.0055
2.224,587.9401,-4.0478,249.9993,350.7003,179.9986,-0.0055,350.7003,179.9986,-0.0055
2.336,587.7197,-4.1566,249.9910,350.7003,179.9986,-0.0055,350.7003,179.9986,-0.0055
2.447,587.4584,-4.3269,249.9767,350.7003,179.9986,-0.0055,350.7003,179.9986,-0.0055
2.558,587.2418,-4.4878,249.9632,350.7003,179.9986,-0.0055,350.7003,179.9986,-0.0055
2.669,586.9827,-4.6881,249.9476,350.7003,179.9986,-0.0055,350.7003,179.9986,-0.0055
2.781,586.7238,-4.8854,249.9338,350.7003,179.9986,-0.0055,350.7003,179.9986,-0.0055
2.891,586.5081,-5.0436,249.9240,350.7003,179.9986,-0.0055,350.7003,179.9986,-0.0055
3.003,586.2489,-5.2257,249.9140,350.7003,179.9986,-0.0055,350.7003,179.9986,-0.0055
3.114,586.0327,-5.3725,249.9066,350.7002,179.9986,-0.0055,350.7002,179.9986,-0.0055
3.225,585.7730,-5.5455,249.8983,350.7002,179.9986,-0.0055,350.7002,179.9986,-0.0055
3.335,585.5563,-5.6891,249.8914,350.7002,179.9986,-0.0055,350.7002,179.9986,-0.0055
3.447,585.2965,-5.8622,249.8818,350.6684,179.9987,359.6590,350.6684,179.9987,359.6590
3.558,585.0811,-6.0071,249.8647,350.6684,179.9987,359.6590,350.6684,179.9987,359.6590
3.669,584.8242,-6.1799,249.8250,350.7253,179.9982,359.4197,350.7253,179.9982,359.4197
3.780,584.5689,-6.3512,249.7655,350.7550,179.9979,359.3451,350.7550,179.9979,359.3451
3.891,584.3574,-6.4927,249.7043,350.8624,179.9965,359.1252,350.8624,179.9965,359.1252
4.003,584.1042,-6.6612,249.6205,350.9077,179.9957,359.0563,350.9077,179.9957,359.0563
4.114,583.8938,-6.8002,249.5447,351.0023,179.9940,358.9214,351.0023,179.9940,358.9214
4.225,583.6419,-6.9653,249.4486,351.1658,179.9906,358.7375,351.1658,179.9906,358.7375
4.336,583.4324,-7.1011,249.3655,351.2267,179.9893,358.6833,351.2267,179.9893,358.6833
4.460,583.1392,-7.2883,249.2460,351.4203,179.9845,358.5349,351.4203,179.9845,358.5349
4.572,582.9298,-7.4193,249.1591,351.5608,179.9808,358.4551,351.5608,179.9808,358.4551
4.683,582.6785,-7.5730,249.0534,351.7947,179.9742,358.3649,351.7947,179.9742,358.3649
4.794,582.4694,-7.6974,248.9647,351.8719,179.9720,358.3392,351.8719,179.9720,358.3392
4.905,582.2184,-7.8416,248.8575,352.1947,179.9623,358.2928,352.1947,179.9623,358.2928
5.017,582.0099,-7.9566,248.7618,352.4503,179.9547,358.2990,352.4503,179.9547,358.2990
5.127,581.7647,-8.0824,248.5845,352.7826,179.9448,358.3448,352.7826,179.9448,358.3448
5.238,581.5659,-8.1741,248.3675,352.9408,179.9403,358.3837,352.9408,179.9403,358.3837
5.350,581.3329,-8.2690,248.0357,353.2614,179.9315,358.5099,353.2614,179.9315,358.5099
5.461,581.1041,-8.3496,247.6470,353.5527,179.9243,358.6710,353.5527,179.9243,358.6710
