time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.107,599.5479,4.5789,250.0105,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.221,599.2070,4.2861,250.0151,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.333,598.6929,3.8505,250.0200,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.445,598.1859,3.4245,250.0236,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.556,597.4933,2.8458,250.0275,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.667,596.7187,2.2014,250.0310,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.778,596.0173,1.6198,250.0336,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.890,595.1161,0.8739,250.0364,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.000,594.3204,0.2166,250.0385,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.112,593.3177,-0.6105,250.0407,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.224,592.6326,-1.1893,250.0425,359.6728,180.0000,0.0013,359.6728,180.0000,0.0013
1.334,592.0567,-1.5924,250.0498,358.3474,179.9999,0.0065,358.3474,179.9999,0.0065
1.445,591.6938,-1.7105,250.0635,357.5904,179.9998,0.0094,357.5904,179.9998,0.0094
1.557,591.3359,-1.6865,250.0878,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
1.668,591.0248,-1.5859,250.1168,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
1.779,590.7853,-1.5033,250.1415,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
1.890,590.5109,-1.4444,250.1695,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
2.001,590.2884,-1.4380,250.1909,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
2.112,590.0254,-1.4751,250.2144,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
2.225,589.8081,-1.5313,250.2327,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
2.335,589.5486,-1.6131,250.2540,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
2.446,589.2900,-1.6968,250.2753,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
2.557,589.0747,-1.7619,250.2934,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
2.669,588.8165,-1.8319,250.3156,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
2.779,588.6014,-1.8841,250.3344,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
2.891,588.3432,-1.9416,250.3572,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
3.003,588.1281,-1.9872,250.3763,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
3.113,587.8698,-2.0416,250.3991,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
3.224,587.6543,-2.0877,250.4181,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
3.335,587.3958,-2.1443,250.4406,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
3.446,587.1371,-2.2024,250.4628,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
3.558,586.9214,-2.2516,250.4812,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
3.669,586.6625,-2.3112,250.5030,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
3.780,586.4468,-2.3610,250.5229,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
3.891,586.1886,-2.4209,250.5556,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
4.003,585.9741,-2.4709,250.5912,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
4.113,585.7172,-2.5306,250.6421,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
4.224,585.5036,-2.5802,250.6898,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
4.334,585.2476,-2.6390,250.7511,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
4.459,584.9916,-2.6969,250.8153,357.3072,179.9997,0.0104,357.3072,179.9997,0.0104
4.570,584.7356,-2.7536,250.8813,357.3466,179.9997,359.9385,357.3466,179.9997,359.9385
4.682,584.5223,-2.7997,250.9370,357.3466,179.9997,359.9385,357.3466,179.9997,359.9385
4.792,584.2664,-2.8531,251.0043,357.4991,179.9993,359.7435,357.4991,179.9993,359.7435
4.903,584.0533,-2.8958,251.0608,357.4991,179.9993,359.7436,357.4991,179.9993,359.7436
5.015,583.7979,-2.9445,251.1285,357.4991,179.9993,359.7436,357.4991,179.9993,359.7436
5.125,583.5851,-2.9827,251.1850,357.6411,179.9986,359.6565,357.6411,179.9986,359.6565
5.237,583.3299,-3.0254,251.2528,357.6411,179.9986,359.6566,357.6411,179.9986,359.6566
5.348,583.0748,-3.0641,251.3208,357.8763,179.9970,359.5713,357.8763,179.9970,359.5713
5.459,582.8624,-3.0931,251.3778,357.9573,179.9964,359.5594,357.9573,179.9964,359.5594
5.571,582.6077,-3.1236,251.4462,358.1213,179.9951,359.5432,358.1213,179.9951,359.5432
