time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.119,598.5439,4.9589,250.4612,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.234,598.1251,4.5996,250.4672,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.345,597.5931,4.1497,250.4726,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.457,597.0728,3.7129,250.4766,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.571,596.3658,3.1227,250.4809,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.679,595.7150,2.5814,250.4841,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.791,594.8680,1.8789,250.4871,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.902,593.9567,1.1250,250.4870,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.013,593.1537,0.4615,250.4838,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.125,592.1578,-0.3605,250.4760,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.236,591.5206,-0.9034,250.4729,0.2510,3.8000,-0.4500,359.4537,180.0000,0.0021,0.0000,0.0000,0.0000
1.346,590.9772,-1.2629,250.4793,0.2510,3.8000,-0.4500,358.1641,179.9999,0.0072,0.0000,0.0000,0.0000
1.458,590.6297,-1.3542,250.4878,0.2510,3.8000,-0.4500,357.4849,179.9998,0.0098,0.0000,0.0000,0.0000
1.570,590.2822,-1.3105,250.4986,0.2510,3.8000,-0.4500,357.3084,179.9997,0.0103,0.0000,0.0000,0.0000
1.680,589.9766,-1.2050,250.5104,0.2510,3.8000,-0.4500,357.3084,179.9997,0.0103,0.0000,0.0000,0.0000
1.792,589.7392,-1.1259,250.5209,0.2510,3.8000,-0.4500,357.3084,179.9997,0.0103,0.0000,0.0000,0.0000
1.903,589.4657,-1.0752,250.5332,0.2510,3.8000,-0.4500,357.3084,179.9997,0.0103,0.0000,0.0000,0.0000
2.014,589.2432,-1.0756,250.5426,0.2510,3.8000,-0.4500,357.3084,179.9997,0.0103,0.0000,0.0000,0.0000
2.125,588.9797,-1.1186,250.5531,0.2510,3.8000,-0.4500,357.3084,179.9997,0.0103,0.0000,0.0000,0.0000
2.236,588.7619,-1.1774,250.5613,0.2510,3.8000,-0.4500,357.3084,179.9998,0.0103,0.0000,0.0000,0.0000
2.348,588.5016,-1.2598,250.5714,0.2510,3.8000,-0.4500,357.3084,179.9998,0.0103,0.0000,0.0000,0.0000
2.459,588.2852,-1.3289,250.5801,0.2510,3.8000,-0.4500,357.3084,179.9998,0.0103,0.0000,0.0000,0.0000
2.571,588.0259,-1.4058,250.5911,0.2510,3.8000,-0.4500,357.3084,179.9998,0.0103,0.0000,0.0000,0.0000
2.681,587.7667,-1.4738,250.6027,0.2510,3.8000,-0.4500,357.3084,179.9998,0.0103,0.0000,0.0000,0.0000
2.792,587.5506,-1.5245,250.6128,0.2510,3.8000,-0.4500,357.3084,179.9998,0.0103,0.0000,0.0000,0.0000
2.903,587.2913,-1.5808,250.6251,0.2510,3.8000,-0.4500,357.3084,179.9998,0.0103,0.0000,0.0000,0.0000
3.014,587.0753,-1.6259,250.6353,0.2510,3.8000,-0.4500,357.3084,179.9998,0.0103,0.0000,0.0000,0.0000
3.126,586.8160,-1.6800,250.6475,0.2510,3.8000,-0.4500,357.3084,179.9998,0.0103,0.0000,0.0000,0.0000
3.237,586.5997,-1.7259,250.6575,0.2510,3.8000,-0.4500,357.3084,179.9998,0.0103,0.0000,0.0000,0.0000
3.347,586.3401,-1.7825,250.6693,0.2510,3.8000,-0.4500,357.3084,179.9998,0.0103,0.0000,0.0000,0.0000
3.459,586.1237,-1.8307,250.6790,0.2510,3.8000,-0.4500,357.3084,179.9998,0.0103,0.0000,0.0000,0.0000
3.570,585.8641,-1.8896,250.6917,0.2510,3.8000,-0.4500,357.3084,179.9998,0.0103,0.0000,0.0000,0.0000
3.681,585.6044,-1.9492,250.7066,0.2510,3.8000,-0.4500,357.3084,179.9997,0.0103,0.0000,0.0000,0.0000
3.793,585.3881,-1.9989,250.7206,0.2510,3.8000,-0.4500,357.3084,179.9997,0.0103,0.0000,0.0000,0.0000
3.903,585.1284,-2.0585,250.7388,0.2510,3.8000,-0.4500,357.3084,179.9997,0.0103,0.0000,0.0000,0.0000
4.015,584.9120,-2.1079,250.7548,0.2510,3.8000,-0.4500,357.3084,179.9997,0.0103,0.0000,0.0000,0.0000
4.126,584.6524,-2.1667,250.7746,0.2510,3.8000,-0.4500,357.3084,179.9997,0.0104,0.0000,0.0000,0.0000
4.237,584.4359,-2.2152,250.7914,0.2510,3.8000,-0.4500,357.3084,179.9997,0.0104,0.0000,0.0000,0.0000
4.348,584.1758,-2.2728,250.8116,0.2510,3.8000,-0.4500,357.3084,179.9997,0.0104,0.0000,0.0000,0.0000
4.473,583.9158,-2.3295,250.8315,0.2510,3.8000,-0.4500,357.3084,179.9998,0.0104,0.0000,0.0000,0.0000
4.585,583.6555,-2.3850,250.8505,0.2510,3.8000,-0.4500,357.3084,179.9998,0.0104,0.0000,0.0000,0.0000
4.694,583.4385,-2.4301,250.8658,0.2510,3.8000,-0.4500,357.3084,179.9998,0.0104,0.0000,0.0000,0.0000
4.806,583.1771,-2.4842,250.8831,0.2510,3.8000,-0.4500,357.3964,179.9997,359.8695,0.0000,0.0000,0.0000
4.916,582.9601,-2.5263,250.8978,0.2510,3.8000,-0.4500,357.3964,179.9997,359.8695,0.0000,0.0000,0.0000
5.027,582.6995,-2.5749,250.9147,0.2510,3.8000,-0.4500,357.4571,179.9995,359.8141,0.0000,0.0000,0.0000
5.139,582.4822,-2.6130,250.9286,0.2510,3.8000,-0.4500,357.5264,179.9992,359.7673,0.0000,0.0000,0.0000
5.249,582.2221,-2.6557,250.9455,0.2510,3.8000,-0.4500,357.5965,179.9989,359.7220,0.0000,0.0000,0.0000
5.361,581.9620,-2.6943,250.9633,0.2510,3.8000,-0.4500,357.7574,179.9981,359.6658,0.0000,0.0000,0.0000
5.472,581.7458,-2.7236,250.9807,0.2510,3.8000,-0.4500,357.7574,179.9981,359.6658,0.0000,0.0000,0.0000
5.583,581.4864,-2.7529,251.0013,0.2510,3.8000,-0.4500,358.0915,179.9960,359.6181,0.0000,0.0000,0.0000
5.694,581.2708,-2.7753,251.0214,0.2510,3.8000,-0.4500,358.0915,179.9960,359.6181,0.0000,0.0000,0.0000
5.806,581.0126,-2.7942,251.0444,0.2510,3.8000,-0.4500,358.4227,179.9939,359.6567,0.0000,0.0000,0.0000
5.916,580.7977,-2.8087,251.0655,0.2510,3.8000,-0.4500,358.4227,179.9939,359.6567,0.0000,0.0000,0.0000
6.027,580.5406,-2.8165,251.0887,0.2510,3.8000,-0.4500,358.7412,179.9922,359.7514,0.0000,0.0000,0.0000
6.139,580.3265,-2.8209,251.1088,0.2510,3.8000,-0.4500,358.8174,179.9919,359.7831,0.0000,0.0000,0.0000
6.250,580.0706,-2.8171,251.1310,0.2510,3.8000,-0.4500,359.1178,179.9911,359.9212,0.0000,0.0000,0.0000
6.361,579.8148,-2.8090,251.1535,0.2510,3.8000,-0.4500,359.2649,179.9910,0.0046,0.0000,0.0000,0.0000
6.472,579.6025,-2.7956,251.1712,0.2510,3.8000,-0.4500,359.4795,179.9913,0.1317,0.0000,0.0000,0.0000
6.583,579.3480,-2.7740,251.1924,0.2510,3.8000,-0.4500,359.6814,179.9920,0.2665,0.0000,0.0000,0.0000
6.695,579.1364,-2.7515,251.2100,0.2510,3.8000,-0.4500,359.8152,179.9927,0.3622,0.0000,0.0000,0.0000
