time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.101,598.5439,4.9589,250.4612,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.210,598.2031,4.6661,250.4663,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.320,597.6891,4.2305,250.4717,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.431,597.1822,3.8045,250.4773,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.542,596.4911,3.2258,250.4976,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.654,595.8541,2.6930,250.5335,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.765,595.0248,1.9998,250.6033,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.877,594.2855,1.3816,250.6846,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.988,593.3470,0.5966,250.8096,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.100,592.3587,-0.2305,250.9630,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.210,591.5423,-0.9141,251.1049,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.322,590.8483,-1.5511,251.2545,0.2510,3.8000,-0.4500,358.4014,179.9999,0.0072,0.0000,0.0000,0.0000
1.433,590.4334,-1.8363,251.3678,0.2510,3.8000,-0.4500,356.9189,179.9996,0.0136,0.0000,0.0000,0.0000
1.544,590.0435,-1.9500,251.4966,0.2510,3.8000,-0.4500,355.8919,179.9993,0.0171,0.0000,0.0000,0.0000
1.656,589.7700,-1.9320,251.6002,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0173,0.0000,0.0000,0.0000
1.768,589.4756,-1.8658,251.7206,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0173,0.0000,0.0000,0.0000
1.878,589.2017,-1.8182,251.8363,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0173,0.0000,0.0000,0.0000
1.989,588.9819,-1.8164,251.9271,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0173,0.0000,0.0000,0.0000
2.101,588.7236,-1.8632,252.0292,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0173,0.0000,0.0000,0.0000
2.212,588.5109,-1.9347,252.1096,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0173,0.0000,0.0000,0.0000
2.323,588.2572,-2.0436,252.2022,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0173,0.0000,0.0000,0.0000
2.432,588.0464,-2.1418,252.2770,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0173,0.0000,0.0000,0.0000
2.544,587.7938,-2.2580,252.3651,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0174,0.0000,0.0000,0.0000
2.655,587.5835,-2.3492,252.4380,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0174,0.0000,0.0000,0.0000
2.766,587.3309,-2.4502,252.5250,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0174,0.0000,0.0000,0.0000
2.877,587.1203,-2.5285,252.5973,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0173,0.0000,0.0000,0.0000
2.988,586.8676,-2.6178,252.6842,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0174,0.0000,0.0000,0.0000
3.100,586.6149,-2.7049,252.7729,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0174,0.0000,0.0000,0.0000
3.211,586.4044,-2.7773,252.8484,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0174,0.0000,0.0000,0.0000
3.322,586.1517,-2.8652,252.9405,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0174,0.0000,0.0000,0.0000
3.433,585.9408,-2.9393,253.0184,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0173,0.0000,0.0000,0.0000
3.545,585.6877,-3.0292,253.1141,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0174,0.0000,0.0000,0.0000
3.656,585.4769,-3.1044,253.1956,0.2510,3.8000,-0.4500,355.6071,179.9993,0.0174,0.0000,0.0000,0.0000
3.767,585.2224,-3.1975,253.2942,0.2510,3.8000,-0.4500,355.7283,179.9991,359.7995,0.0000,0.0000,0.0000
3.878,584.9692,-3.2879,253.3953,0.2510,3.8000,-0.4500,355.7723,179.9989,359.7315,0.0000,0.0000,0.0000
3.989,584.7573,-3.3639,253.4797,0.2510,3.8000,-0.4500,355.9343,179.9978,359.5349,0.0000,0.0000,0.0000
4.100,584.5043,-3.4518,253.5831,0.2510,3.8000,-0.4500,355.9905,179.9974,359.4770,0.0000,0.0000,0.0000
4.211,584.2929,-3.5244,253.6693,0.2510,3.8000,-0.4500,356.1080,179.9962,359.3661,0.0000,0.0000,0.0000
4.325,584.0392,-3.6093,253.7734,0.2510,3.8000,-0.4500,356.2370,179.9946,359.2630,0.0000,0.0000,0.0000
4.447,583.7855,-3.6918,253.8771,0.2510,3.8000,-0.4500,356.4513,179.9916,359.1207,0.0000,0.0000,0.0000
4.559,583.5306,-3.7706,253.9625,0.2510,3.8000,-0.4500,356.5211,179.9905,359.0770,0.0000,0.0000,0.0000
4.669,583.3166,-3.8320,253.9908,0.2510,3.8000,-0.4500,356.6692,179.9880,359.0065,0.0000,0.0000,0.0000
4.781,583.0607,-3.9001,253.9755,0.2510,3.8000,-0.4500,356.8355,179.9850,358.9498,0.0000,0.0000,0.0000
4.893,582.8514,-3.9518,253.8917,0.2510,3.8000,-0.4500,356.9987,179.9820,358.8994,0.0000,0.0000,0.0000
5.003,582.6145,-4.0036,253.5908,0.2510,3.8000,-0.4500,357.0804,179.9804,358.8885,0.0000,0.0000,0.0000
5.114,582.4268,-4.0380,253.1899,0.2510,3.8000,-0.4500,357.2422,179.9772,358.8710,0.0000,0.0000,0.0000
5.225,582.2092,-4.0730,252.5894,0.2510,3.8000,-0.4500,357.2422,179.9772,358.8710,0.0000,0.0000,0.0000
5.337,582.0316,-4.0974,252.0285,0.2510,3.8000,-0.4500,357.2422,179.9772,358.8710,0.0000,0.0000,0.0000
5.447,581.8210,-4.1216,251.3262,0.2510,3.8000,-0.4500,357.3194,179.9757,358.9006,0.0000,0.0000,0.0000
5.559,581.6115,-4.1412,250.6190,0.2510,3.8000,-0.4500,357.4690,179.9729,358.9641,0.0000,0.0000,0.0000
5.670,581.4367,-4.1573,250.0353,0.2510,3.8000,-0.4500,357.4690,179.9729,358.9641,0.0000,0.0000,0.0000
5.781,581.2282,-4.1694,249.3422,0.2510,3.8000,-0.4500,357.6531,179.9698,359.1292,0.0000,0.0000,0.0000
5.892,581.0536,-4.1808,248.7717,0.2510,3.8000,-0.4500,357.6531,179.9698,359.1292,0.0000,0.0000,0.0000
6.003,580.8469,-4.1848,248.0700,0.2510,3.8000,-0.4500,357.8570,179.9672,359.3848,0.0000,0.0000,0.0000
6.115,580.6751,-4.1896,247.4616,0.2510,3.8000,-0.4500,357.8570,179.9672,359.3848,0.0000,0.0000,0.0000
6.225,580.4712,-4.1865,246.7206,0.2510,3.8000,-0.4500,357.9875,179.9660,359.5953,0.0000,0.0000,0.0000
6.337,580.3009,-4.1816,246.1222,0.2510,3.8000,-0.4500,358.0674,179.9656,359.7479,0.0000,0.0000,0.0000
6.447,580.0895,-4.1737,245.5309,0.2510,3.8000,-0.4500,358.1810,179.9653,359.9708,0.0000,0.0000,0.0000
6.559,579.8657,-4.1649,245.1279,0.2510,3.8000,-0.4500,358.3032,179.9655,0.1950,0.0000,0.0000,0.0000
6.669,579.6697,-4.1568,244.9242,0.2510,3.8000,-0.4500,358.3871,179.9659,0.3395,0.0000,0.0000,0.0000
