time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8000,4.8007,250.0055,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8000,4.8007,250.0055,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.101,599.5479,4.5789,250.0112,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.210,599.2072,4.2861,250.0163,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.320,598.6931,3.8505,250.0217,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.431,598.1862,3.4245,250.0273,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.542,597.4952,2.8458,250.0476,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.654,596.8581,2.3130,250.0835,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.765,596.0289,1.6198,250.1533,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.877,595.2896,1.0016,250.2346,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.988,594.3511,0.2166,250.3596,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.100,593.3627,-0.6105,250.5130,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.210,592.5463,-1.2941,250.6549,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.322,591.8522,-1.9185,250.7941,358.4014,179.9999,0.0072,358.4014,179.9999,0.0072
1.433,591.4373,-2.1918,250.8981,356.9189,179.9996,0.0136,356.9189,179.9996,0.0136
1.544,591.0474,-2.2971,251.0205,355.8919,179.9993,0.0171,355.8919,179.9993,0.0171
1.656,590.7739,-2.2767,251.1224,355.6071,179.9993,0.0173,355.6071,179.9993,0.0173
1.768,590.4796,-2.2105,251.2428,355.6071,179.9993,0.0173,355.6071,179.9993,0.0173
1.878,590.2056,-2.1629,251.3585,355.6071,179.9993,0.0173,355.6071,179.9993,0.0173
1.989,589.9858,-2.1611,251.4493,355.6071,179.9993,0.0173,355.6071,179.9993,0.0173
2.101,589.7275,-2.2080,251.5514,355.6071,179.9993,0.0173,355.6071,179.9993,0.0173
2.212,589.5148,-2.2794,251.6318,355.6071,179.9993,0.0173,355.6071,179.9993,0.0173
2.323,589.2611,-2.3883,251.7244,355.6071,179.9993,0.0173,355.6071,179.9993,0.0173
2.432,589.0504,-2.4865,251.7992,355.6071,179.9993,0.0173,355.6071,179.9993,0.0173
2.544,588.7977,-2.6028,251.8873,355.6071,179.9993,0.0174,355.6071,179.9993,0.0174
2.655,588.5874,-2.6939,251.9602,355.6071,179.9993,0.0174,355.6071,179.9993,0.0174
2.766,588.3348,-2.7949,252.0472,355.6071,179.9993,0.0174,355.6071,179.9993,0.0174
2.877,588.1242,-2.8732,252.1195,355.6071,179.9993,0.0173,355.6071,179.9993,0.0173
2.988,587.8715,-2.9625,252.2064,355.6071,179.9993,0.0174,355.6071,179.9993,0.0174
3.100,587.6188,-3.0496,252.2951,355.6071,179.9993,0.0174,355.6071,179.9993,0.0174
3.211,587.4083,-3.1221,252.3706,355.6071,179.9993,0.0174,355.6071,179.9993,0.0174
3.322,587.1556,-3.2099,252.4627,355.6071,179.9993,0.0174,355.6071,179.9993,0.0174
3.433,586.9447,-3.2840,252.5406,355.6071,179.9993,0.0173,355.6071,179.9993,0.0173
3.545,586.6917,-3.3739,252.6363,355.6071,179.9993,0.0174,355.6071,179.9993,0.0174
3.656,586.4808,-3.4492,252.7178,355.6071,179.9993,0.0174,355.6071,179.9993,0.0174
3.767,586.2277,-3.5394,252.8174,355.7283,179.9991,359.7995,355.7283,179.9991,359.7995
3.878,585.9750,-3.6290,252.9189,355.7723,179.9989,359.7315,355.7723,179.9989,359.7315
3.989,585.7644,-3.7029,253.0045,355.9343,179.9978,359.5349,355.9343,179.9978,359.5349
4.100,585.5117,-3.7903,253.1083,355.9905,179.9974,359.4770,355.9905,179.9974,359.4770
4.211,585.3011,-3.8619,253.1954,356.1080,179.9962,359.3661,356.1080,179.9962,359.3661
4.325,585.0481,-3.9460,253.3004,356.2370,179.9946,359.2630,356.2370,179.9946,359.2630
4.447,584.7952,-4.0278,253.4056,356.4513,179.9916,359.1207,356.4513,179.9916,359.1207
4.559,584.5407,-4.1064,253.4915,356.5211,179.9905,359.0770,356.5211,179.9905,359.0770
4.669,584.3271,-4.1678,253.5208,356.6692,179.9880,359.0065,356.6692,179.9880,359.0065
4.781,584.0717,-4.2363,253.5065,356.8355,179.9850,358.9498,356.8355,179.9850,358.9498
4.893,583.8627,-4.2884,253.4238,356.9987,179.9820,358.8994,356.9987,179.9820,358.8994
5.003,583.6259,-4.3406,253.1234,357.0804,179.9804,358.8885,357.0804,179.9804,358.8885
5.114,583.4382,-4.3760,252.7235,357.2422,179.9772,358.8710,357.2422,179.9772,358.8710
5.225,583.2206,-4.4111,252.1230,357.2422,179.9772,358.8710,357.2422,179.9772,358.8710
5.337,583.0431,-4.4355,251.5621,357.2422,179.9772,358.8710,357.2422,179.9772,358.8710
5.447,582.8323,-4.4608,250.8603,357.3194,179.9757,358.9006,357.3194,179.9757,358.9006
5.559,582.6224,-4.4828,250.1539,357.4690,179.9729,358.9641,357.4690,179.9729,358.9641
5.670,582.4476,-4.4988,249.5702,357.4690,179.9729,358.9641,357.4690,179.9729,358.9641
5.781,582.2381,-4.5154,248.8782,357.6531,179.9698,359.1292,357.6531,179.9698,359.1292
5.892,582.0635,-4.5268,248.3077,357.6531,179.9698,359.1292,357.6531,179.9698,359.1292
6.003,581.8552,-4.5369,247.6071,357.8570,179.9672,359.3848,357.8570,179.9672,359.3848
6.115,581.6834,-4.5417,246.9987,357.8570,179.9672,359.3848,357.8570,179.9672,359.3848
6.225,581.4781,-4.5433,246.2584,357.9875,179.9660,359.5953,357.9875,179.9660,359.5953
6.337,581.3068,-4.5418,245.6604,358.0674,179.9656,359.7479,358.0674,179.9656,359.7479
6.447,581.0939,-4.5387,245.0697,358.1810,179.9653,359.9708,358.1810,179.9653,359.9708
6.559,580.8687,-4.5348,244.6673,358.3032,179.9655,0.1950,358.3032,179.9655,0.1950
6.669,580.6717,-4.5299,244.4642,358.3871,179.9659,0.3395,358.3871,179.9659,0.3395
6.781,580.4286,-4.5195,244.3448,358.6298,179.9680,0.6761,358.6298,179.9680,0.6761
6.892,580.2249,-4.5054,244.3200,358.8042,179.9704,0.8690,358.8042,179.9704,0.8690
7.002,579.9810,-4.4802,244.3506,359.1062,179.9758,1.1713,359.1062,179.9758,1.1713
7.114,579.7791,-4.4513,244.4094,359.3621,179.9815,1.3939,359.3621,179.9815,1.3939
7.225,579.5384,-4.4065,244.5052,359.6205,179.9883,1.6064,359.6205,179.9883,1.6064
7.336,579.3396,-4.3603,244.5984,359.9599,179.9986,1.8686,359.9599,179.9986,1.8686
7.447,579.1029,-4.2943,244.7202,0.2937,180.0102,2.1197,0.2937,180.0102,2.1197
7.560,578.8683,-4.2168,244.8488,0.5649,180.0207,2.3206,0.5649,180.0207,2.3206
7.669,578.6742,-4.1436,244.9592,0.9146,180.0357,2.5782,0.9146,180.0357,2.5782
7.770,578.4816,-4.0628,245.0714,1.1229,180.0454,2.7316,1.1229,180.0454,2.7316
7.878,578.2522,-3.9563,245.2074,1.3961,180.0589,2.9331,1.3961,180.0589,2.9331
7.989,578.0626,-3.8599,245.3214,1.6635,180.0731,3.1309,1.6635,180.0731,3.1309
8.100,577.8369,-3.7355,245.4588,2.0013,180.0923,3.3819,2.0013,180.0923,3.3819
8.211,577.6503,-3.6251,245.5739,2.1329,180.1002,3.4801,2.1329,180.1002,3.4801
8.322,577.4279,-3.4849,245.7126,2.4065,180.1173,3.6846,2.4065,180.1173,3.6846
8.433,577.2438,-3.3622,245.8287,2.5400,180.1260,3.7845,2.5400,180.1260,3.7845
8.545,577.0249,-3.2086,245.9689,2.7391,180.1395,3.9336,2.7391,180.1395,3.9336
8.655,576.8437,-3.0759,246.0865,2.8709,180.1487,4.0323,2.8709,180.1487,4.0323
8.766,576.6277,-2.9118,246.2286,3.0015,180.1580,4.1298,3.0015,180.1580,4.1298
8.884,576.4116,-2.7451,246.3198,3.1338,180.1677,4.2282,3.1338,180.1677,4.2282
9.003,576.1967,-2.5834,246.2775,3.2612,180.1772,4.3224,3.2612,180.1772,4.3224
9.106,576.0201,-2.4533,246.1574,3.2612,180.1772,4.3223,3.2612,180.1772,4.3223
9.221,575.8130,-2.3029,245.9150,3.3257,180.1822,4.3694,3.3257,180.1822,4.3694
9.333,575.6465,-2.1850,245.6051,3.3256,180.1822,4.3694,3.3256,180.1822,4.3694
9.446,575.4529,-2.0528,245.1186,3.3256,180.1822,4.3694,3.3256,180.1822,4.3694
9.557,575.2958,-1.9490,244.6401,3.3256,180.1822,4.3694,3.3256,180.1822,4.3694
9.669,575.1111,-1.8314,243.9872,3.3256,180.1822,4.3694,3.3256,180.1822,4.3694
9.779,574.9291,-1.7203,243.2715,3.3256,180.1822,4.3694,3.3256,180.1822,4.3694
9.890,574.7789,-1.6315,242.6453,3.3256,180.1822,4.3694,3.3256,180.1822,4.3694
10.002,574.5992,-1.5282,241.8742,3.3256,180.1822,4.3694,3.3256,180.1822,4.3694
10.113,574.4492,-1.4443,241.2229,3.3256,180.1822,4.3694,3.3256,180.1822,4.3694
10.224,574.2692,-1.3463,240.4369,3.3256,180.1822,4.3694,3.3256,180.1822,4.3694
10.335,574.1174,-1.2656,239.8071,3.3256,180.1822,4.3694,3.3256,180.1822,4.3694
10.447,573.9276,-1.1640,239.1779,3.3256,180.1822,4.3694,3.3256,180.1822,4.3694
10.558,573.7263,-1.0536,238.7223,3.3256,180.1822,4.3695,3.3256,180.1822,4.3695
10.670,573.5505,-0.9563,238.4517,3.3256,180.1822,4.3695,3.3256,180.1822,4.3695
10.780,573.3335,-0.8341,238.2784,3.4205,180.1893,4.2367,3.4205,180.1893,4.2367
10.891,573.1495,-0.7289,238.2374,3.5067,180.1956,3.9995,3.5067,180.1956,3.9995
11.017,572.9259,-0.6033,238.2605,3.5359,180.1976,3.7562,3.5359,180.1976,3.7562
11.127,572.7000,-0.4821,238.3292,3.5233,180.1968,3.5085,3.5233,180.1968,3.5085
11.239,572.4716,-0.3679,238.4228,3.4543,180.1927,3.1771,3.4543,180.1927,3.1771
11.349,572.2794,-0.2794,238.5105,3.3480,180.1871,2.8620,3.3480,180.1871,2.8620
11.461,572.0464,-0.1824,238.6214,3.2070,180.1805,2.5454,3.2070,180.1805,2.5454
11.572,571.8503,-0.1096,238.7153,3.0583,180.1743,2.2461,3.0583,180.1743,2.2461
11.683,571.6130,-0.0324,238.8277,2.8950,180.1683,1.9555,2.8950,180.1683,1.9555
11.796,571.4133,0.0233,238.9204,2.6765,180.1615,1.5880,2.6765,180.1615,1.5880
11.905,571.1715,0.0796,239.0304,2.4927,180.1569,1.2920,2.4927,180.1569,1.2920
12.030,570.9276,0.1244,239.1388,2.2661,180.1525,0.9327,2.2661,180.1525,0.9327
12.155,570.6818,0.1577,239.2458,2.0358,180.1495,0.5719,2.0358,180.1495,0.5719
12.266,570.4341,0.1796,239.3521,1.8523,180.1481,0.2844,1.8523,180.1481,0.2844
12.378,570.1850,0.1902,239.4582,1.5759,180.1478,359.8483,1.5759,180.1478,359.8483
12.488,569.9762,0.1907,239.5469,1.4414,180.1484,359.6328,1.4414,180.1484,359.6328
12.600,569.7245,0.1815,239.6538,1.2212,180.1505,359.2746,1.2212,180.1505,359.2746
12.711,569.5143,0.1661,239.7438,1.0952,180.1523,359.0650,1.0952,180.1523,359.0650
12.822,569.2610,0.1386,239.8533,0.8814,180.1565,358.6970,0.8814,180.1565,358.6970
12.933,569.0493,0.1086,239.9462,0.8409,180.1574,358.6259,0.8409,180.1574,358.6259
13.044,568.7950,0.0648,240.0599,0.5959,180.1643,358.1686,0.5959,180.1643,358.1686
13.155,568.5826,0.0223,240.1570,0.5959,180.1643,358.1686,0.5959,180.1643,358.1686
13.266,568.3276,-0.0351,240.2759,0.4442,180.1695,357.8503,0.4442,180.1695,357.8503
13.381,568.0724,-0.0987,240.3978,0.3113,180.1749,357.5305,0.3113,180.1749,357.5305
13.502,567.8173,-0.1675,240.5230,0.2815,180.1762,357.4547,0.2815,180.1762,357.4547
13.614,567.6044,-0.2282,240.6298,0.2326,180.1784,357.2890,0.2326,180.1784,357.2890
13.724,567.3487,-0.3048,240.7612,0.1863,180.1807,357.1265,0.1863,180.1807,357.1265
13.836,567.1357,-0.3716,240.8735,0.1648,180.1818,357.0495,0.1648,180.1818,357.0495
13.947,566.8802,-0.4552,241.0107,0.1165,180.1843,356.8932,0.1165,180.1843,356.8932
14.058,566.6248,-0.5424,241.1501,0.0859,180.1860,356.8165,0.0859,180.1860,356.8165
14.169,566.4119,-0.6175,241.2675,0.0128,180.1902,356.6675,0.0128,180.1902,356.6675
14.281,566.1568,-0.7104,241.4099,0.0128,180.1902,356.6675,0.0128,180.1902,356.6675
14.392,565.9446,-0.7898,241.5292,0.0128,180.1902,356.6675,0.0128,180.1902,356.6675
14.503,565.6898,-0.8869,241.6727,359.8950,180.1972,356.5439,359.8950,180.1972,356.5439
