time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.106,598.6016,5.0092,250.4596,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.220,598.2030,4.6661,250.4651,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.332,597.7820,4.3091,250.4692,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.444,597.1823,3.8045,250.4776,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.556,596.6127,3.3270,250.4986,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.667,595.8556,2.6930,250.5491,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.776,595.1700,2.1191,250.6145,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.887,594.2890,1.3816,250.7211,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.012,593.3514,0.5966,250.8568,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.124,592.3641,-0.2305,251.0201,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.235,591.5075,-0.9484,251.1770,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.346,590.4435,-1.8406,251.3888,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.457,589.5735,-2.5718,251.5753,0.2510,3.8000,-0.4500,359.8348,180.0000,0.0006,0.0000,0.0000,0.0000
1.569,588.8410,-3.3464,251.7684,0.2510,3.8000,-0.4500,356.0796,179.9996,0.0119,0.0000,0.0000,0.0000
1.680,588.3338,-3.7727,251.9301,0.2510,3.8000,-0.4500,352.9101,179.9988,0.0153,0.0000,0.0000,0.0000
1.791,588.0055,-3.9285,252.0546,0.2510,3.8000,-0.4500,351.4944,179.9984,0.0090,0.0000,0.0000,0.0000
1.902,587.6738,-3.9879,252.1985,0.2510,3.8000,-0.4500,350.6879,179.9984,359.9924,0.0000,0.0000,0.0000
2.013,587.4272,-4.0020,252.3110,0.2510,3.8000,-0.4500,350.6879,179.9984,359.9924,0.0000,0.0000,0.0000
2.124,587.1508,-4.0428,252.4373,0.2510,3.8000,-0.4500,350.6879,179.9984,359.9925,0.0000,0.0000,0.0000
2.236,586.9297,-4.1174,252.5334,0.2510,3.8000,-0.4500,350.6879,179.9984,359.9925,0.0000,0.0000,0.0000
2.346,586.6707,-4.2582,252.6384,0.2510,3.8000,-0.4500,350.6879,179.9984,359.9925,0.0000,0.0000,0.0000
2.457,586.4576,-4.4090,252.7188,0.2510,3.8000,-0.4500,350.6879,179.9984,359.9925,0.0000,0.0000,0.0000
2.569,586.2036,-4.6134,252.8098,0.2510,3.8000,-0.4500,350.6879,179.9984,359.9925,0.0000,0.0000,0.0000
2.680,585.9506,-4.8266,252.8981,0.2510,3.8000,-0.4500,350.6879,179.9984,359.9925,0.0000,0.0000,0.0000
2.791,585.7400,-5.0023,252.9712,0.2510,3.8000,-0.4500,350.6879,179.9984,359.9925,0.0000,0.0000,0.0000
2.902,585.4872,-5.2054,253.0596,0.2510,3.8000,-0.4500,350.6879,179.9984,359.9925,0.0000,0.0000,0.0000
3.013,585.2763,-5.3674,253.1340,0.2510,3.8000,-0.4500,350.6879,179.9984,359.9925,0.0000,0.0000,0.0000
3.125,585.0220,-5.5568,253.2235,0.2510,3.8000,-0.4500,350.7404,179.9983,359.8338,0.0000,0.0000,0.0000
3.236,584.8101,-5.7110,253.2987,0.2510,3.8000,-0.4500,350.8027,179.9980,359.6775,0.0000,0.0000,0.0000
3.347,584.5555,-5.8946,253.3888,0.2510,3.8000,-0.4500,350.9739,179.9966,359.3939,0.0000,0.0000,0.0000
3.458,584.3440,-6.0457,253.4648,0.2510,3.8000,-0.4500,351.0746,179.9954,359.2671,0.0000,0.0000,0.0000
3.569,584.0900,-6.2280,253.5557,0.2510,3.8000,-0.4500,351.2977,179.9921,359.0244,0.0000,0.0000,0.0000
3.680,583.8373,-6.4096,253.6486,0.2510,3.8000,-0.4500,351.4130,179.9899,358.9110,0.0000,0.0000,0.0000
3.791,583.6253,-6.5620,253.7250,0.2510,3.8000,-0.4500,351.7403,179.9829,358.6400,0.0000,0.0000,0.0000
3.902,583.3725,-6.7425,253.8200,0.2510,3.8000,-0.4500,351.8745,179.9795,358.5403,0.0000,0.0000,0.0000
4.014,583.1610,-6.8924,253.8986,0.2510,3.8000,-0.4500,352.2360,179.9694,358.2974,0.0000,0.0000,0.0000
4.124,582.9085,-7.0688,253.9969,0.2510,3.8000,-0.4500,352.3807,179.9650,358.2108,0.0000,0.0000,0.0000
4.236,582.6971,-7.2132,254.0786,0.2510,3.8000,-0.4500,352.7733,179.9519,358.0038,0.0000,0.0000,0.0000
4.347,582.4448,-7.3821,254.1822,0.2510,3.8000,-0.4500,352.9961,179.9438,357.8995,0.0000,0.0000,0.0000
4.472,582.1923,-7.5446,254.2884,0.2510,3.8000,-0.4500,353.4164,179.9278,357.7595,0.0000,0.0000,0.0000
4.585,581.9402,-7.7006,254.3993,0.2510,3.8000,-0.4500,353.7453,179.9146,357.6740,0.0000,0.0000,0.0000
4.694,581.7300,-7.8233,254.4931,0.2510,3.8000,-0.4500,354.1647,179.8972,357.6145,0.0000,0.0000,0.0000
4.806,581.4781,-7.9622,254.6086,0.2510,3.8000,-0.4500,354.5815,179.8797,357.5937,0.0000,0.0000,0.0000
4.916,581.2681,-8.0689,254.7051,0.2510,3.8000,-0.4500,355.0038,179.8619,357.6122,0.0000,0.0000,0.0000
5.027,581.0161,-8.1866,254.8206,0.2510,3.8000,-0.4500,355.4270,179.8444,357.6687,0.0000,0.0000,0.0000
5.139,580.8058,-8.2734,254.9151,0.2510,3.8000,-0.4500,355.8658,179.8268,357.7610,0.0000,0.0000,0.0000
5.250,580.5534,-8.3643,255.0264,0.2510,3.8000,-0.4500,356.3879,179.8070,357.9099,0.0000,0.0000,0.0000
5.360,580.3009,-8.4394,255.1348,0.2510,3.8000,-0.4500,356.9104,179.7887,358.0994,0.0000,0.0000,0.0000
5.472,580.0903,-8.4891,255.2223,0.2510,3.8000,-0.4500,357.3520,179.7748,358.2883,0.0000,0.0000,0.0000
5.584,579.8376,-8.5324,255.3219,0.2510,3.8000,-0.4500,357.8924,179.7598,358.5515,0.0000,0.0000,0.0000
5.695,579.6272,-8.5542,255.3991,0.2510,3.8000,-0.4500,358.3514,179.7492,358.8006,0.0000,0.0000,0.0000
5.806,579.3750,-8.5628,255.4845,0.2510,3.8000,-0.4500,358.9110,179.7391,359.1336,0.0000,0.0000,0.0000
5.918,579.1653,-8.5549,255.5497,0.2510,3.8000,-0.4500,359.3828,179.7332,359.4380,0.0000,0.0000,0.0000
6.028,578.9148,-8.5270,255.6216,0.2510,3.8000,-0.4500,359.9532,179.7295,359.8332,0.0000,0.0000,0.0000
6.140,578.6658,-8.4788,255.6887,0.2510,3.8000,-0.4500,0.5257,179.7299,0.2578,0.0000,0.0000,0.0000
6.250,578.4606,-8.4229,255.7444,0.2510,3.8000,-0.4500,1.0028,179.7336,0.6315,0.0000,0.0000,0.0000
6.361,578.2172,-8.3366,255.8128,0.2510,3.8000,-0.4500,1.5739,179.7423,1.1004,0.0000,0.0000,0.0000
6.473,578.0170,-8.2487,255.8715,0.2510,3.8000,-0.4500,2.0474,179.7530,1.5054,0.0000,0.0000,0.0000
6.584,577.7803,-8.1241,255.9440,0.2510,3.8000,-0.4500,2.6103,179.7703,2.0049,0.0000,0.0000,0.0000
