time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.110,599.6057,4.6292,250.0096,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.220,599.2070,4.2861,250.0151,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.332,598.7861,3.9291,250.0192,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.444,598.1859,3.4245,250.0236,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.556,597.4933,2.8458,250.0275,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.666,596.8531,2.3130,250.0305,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.777,596.0173,1.6198,250.0336,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.889,595.2705,1.0016,250.0359,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.000,594.3215,0.2166,250.0504,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.113,593.4930,-0.4699,250.0907,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.224,592.4598,-1.3284,250.1843,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.334,591.3895,-2.2206,250.3306,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.445,590.5568,-2.9446,250.4767,359.4203,180.0000,0.0019,359.4203,180.0000,0.0019
1.557,589.8745,-3.6248,250.6309,355.4673,179.9995,0.0126,355.4673,179.9995,0.0126
1.667,589.4660,-3.9396,250.7586,352.9610,179.9988,0.0153,352.9610,179.9988,0.0153
1.779,589.0816,-4.1053,250.9191,351.3583,179.9985,0.0090,351.3583,179.9985,0.0090
1.890,588.8115,-4.1487,251.0558,350.7291,179.9984,-0.0028,350.7291,179.9984,-0.0028
2.001,588.5205,-4.1736,251.2167,350.6485,179.9984,359.9941,350.6485,179.9984,359.9941
2.112,588.2936,-4.2155,251.3439,350.6484,179.9984,359.9942,350.6484,179.9984,359.9942
2.224,588.0318,-4.3150,251.4861,350.6484,179.9984,359.9942,350.6484,179.9984,359.9942
2.334,587.7762,-4.4689,251.6178,350.6484,179.9984,359.9942,350.6484,179.9984,359.9942
2.446,587.5658,-4.6282,251.7220,350.6484,179.9984,359.9942,350.6484,179.9984,359.9942
2.557,587.3151,-4.8403,251.8439,350.6484,179.9984,359.9942,350.6484,179.9984,359.9942
2.668,587.1068,-5.0229,251.9449,350.6484,179.9984,359.9942,350.6484,179.9984,359.9942
2.780,586.8573,-5.2393,252.0670,350.6484,179.9984,359.9941,350.6484,179.9984,359.9941
2.891,586.6494,-5.4132,252.1699,350.6484,179.9984,359.9941,350.6484,179.9984,359.9941
3.002,586.3997,-5.6135,252.2947,350.6484,179.9984,359.9941,350.6484,179.9984,359.9941
3.113,586.1496,-5.8061,252.4205,350.6750,179.9984,359.9136,350.6750,179.9984,359.9136
3.224,585.9415,-5.9631,252.5259,350.7994,179.9978,359.6009,350.7994,179.9978,359.6009
3.334,585.6917,-6.1492,252.6527,350.8466,179.9975,359.5306,350.8466,179.9975,359.5306
3.446,585.4838,-6.3038,252.7585,351.0492,179.9953,359.2556,351.0492,179.9953,359.2556
3.557,585.2346,-6.4895,252.8856,351.2265,179.9927,359.0699,351.2265,179.9927,359.0699
3.668,585.0269,-6.6443,252.9920,351.3469,179.9906,358.9517,351.3469,179.9906,358.9517
3.779,584.7778,-6.8299,253.1203,351.6698,179.9838,358.6813,351.6698,179.9838,358.6813
3.890,584.5703,-6.9837,253.2277,351.9352,179.9772,358.4875,351.9352,179.9772,358.4875
4.002,584.3212,-7.1664,253.3573,352.1537,179.9711,358.3468,352.1537,179.9711,358.3468
4.112,584.1138,-7.3166,253.4663,352.5154,179.9599,358.1312,352.5154,179.9599,358.1312
4.223,583.8647,-7.4931,253.5984,352.6733,179.9546,358.0532,352.6733,179.9546,358.0532
4.334,583.6155,-7.6648,253.7321,353.1581,179.9370,357.8396,353.1581,179.9370,357.8396
4.449,583.4082,-7.8035,253.8450,353.3867,179.9281,357.7584,353.3867,179.9281,357.7584
4.571,583.1591,-7.9637,253.9820,353.8075,179.9112,357.6535,353.8075,179.9112,357.6535
4.681,582.9095,-8.1160,254.1206,354.1422,179.8972,357.5975,354.1422,179.8972,357.5975
4.792,582.7014,-8.2358,254.2370,354.5856,179.8784,357.5669,354.5856,179.8784,357.5669
4.904,582.4513,-8.3702,254.3775,355.1026,179.8563,357.5763,355.1026,179.8563,357.5763
5.016,582.2009,-8.4928,254.5180,355.6012,179.8354,357.6344,355.6012,179.8354,357.6344
5.140,581.9500,-8.6025,254.6577,356.1002,179.8151,357.7378,356.1002,179.8151,357.7378
5.252,581.7407,-8.6829,254.7730,356.5246,179.7987,357.8573,356.5246,179.7987,357.8573
5.363,581.4890,-8.7653,254.9095,357.0480,179.7799,358.0398,357.0480,179.7799,358.0398
5.474,581.2371,-8.8312,255.0433,357.5876,179.7625,358.2642,357.5876,179.7625,358.2642
5.584,581.0272,-8.8727,255.1523,358.0488,179.7494,358.4824,358.0488,179.7494,358.4824
