time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.101,598.5455,4.9589,250.4428,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.212,598.1341,4.5996,250.3700,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.322,597.7081,4.2305,250.2662,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.432,597.1082,3.7129,250.0947,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.545,596.4218,3.1227,249.8773,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.656,595.7908,2.5814,249.6646,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.767,594.9707,1.8789,249.3772,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.878,594.2400,1.2539,249.1145,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.990,593.3125,0.4615,248.7753,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.102,592.5150,-0.2190,248.4813,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.210,591.8024,-0.8319,248.2250,0.2510,3.8000,-0.4500,359.2504,180.0000,0.0017,0.0000,0.0000,0.0000
1.322,591.3790,-1.1052,248.0825,0.2510,3.8000,-0.4500,358.2323,179.9999,0.0041,0.0000,0.0000,0.0000
1.433,590.9834,-1.1977,247.9568,0.2510,3.8000,-0.4500,357.4878,179.9999,0.0058,0.0000,0.0000,0.0000
1.544,590.7074,-1.1522,247.8713,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0060,0.0000,0.0000,0.0000
1.656,590.4116,-1.0445,247.7817,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0060,0.0000,0.0000,0.0000
1.766,590.1371,-0.9486,247.6980,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0060,0.0000,0.0000,0.0000
1.879,589.9173,-0.9047,247.6294,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
1.989,589.6594,-0.9021,247.5469,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
2.100,589.4470,-0.9343,247.4790,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
2.211,589.1932,-0.9992,247.4047,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0060,0.0000,0.0000,0.0000
2.323,588.9821,-1.0633,247.3499,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0060,0.0000,0.0000,0.0000
2.434,588.7285,-1.1409,247.2926,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0060,0.0000,0.0000,0.0000
2.550,588.4739,-1.2128,247.2480,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0060,0.0000,0.0000,0.0000
2.658,588.2610,-1.2668,247.2211,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
2.767,588.0047,-1.3258,247.1995,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
2.878,587.7905,-1.3721,247.1953,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
2.989,587.5337,-1.4273,247.2113,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
3.100,587.3204,-1.4744,247.2398,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
3.210,587.0652,-1.5330,247.2879,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
3.322,586.8530,-1.5838,247.3367,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
3.436,586.5989,-1.6467,247.4025,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
3.546,586.3451,-1.7111,247.4735,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
3.655,586.1336,-1.7654,247.5350,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
3.766,585.8798,-1.8309,247.6107,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
3.878,585.6683,-1.8854,247.6747,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
3.989,585.4146,-1.9507,247.7520,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
4.100,585.2029,-2.0049,247.8167,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
4.212,584.9487,-2.0694,247.8943,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
4.323,584.7369,-2.1228,247.9590,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
4.433,584.4825,-2.1862,248.0363,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
4.557,584.2280,-2.2488,248.1133,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
4.671,583.9733,-2.3101,248.1895,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
4.781,583.7609,-2.3600,248.2521,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
4.892,583.5060,-2.4181,248.3264,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
5.002,583.2936,-2.4648,248.3878,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
5.114,583.0388,-2.5184,248.4616,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
5.225,582.8264,-2.5608,248.5232,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
5.337,582.5716,-2.6086,248.5973,0.2510,3.8000,-0.4500,357.4080,179.9999,0.0059,0.0000,0.0000,0.0000
5.447,582.3162,-2.6533,248.6703,0.2510,3.8000,-0.4500,357.6126,179.9996,359.8646,0.0000,0.0000,0.0000
5.558,582.1041,-2.6867,248.7326,0.2510,3.8000,-0.4500,357.6126,179.9996,359.8646,0.0000,0.0000,0.0000
5.669,581.8498,-2.7223,248.8070,0.2510,3.8000,-0.4500,357.6935,179.9994,359.8433,0.0000,0.0000,0.0000
5.779,581.6381,-2.7478,248.8683,0.2510,3.8000,-0.4500,357.8569,179.9989,359.8063,0.0000,0.0000,0.0000
5.890,581.3845,-2.7730,248.9420,0.2510,3.8000,-0.4500,358.0213,179.9983,359.8029,0.0000,0.0000,0.0000
6.003,581.1736,-2.7885,249.0025,0.2510,3.8000,-0.4500,358.2693,179.9975,359.8215,0.0000,0.0000,0.0000
6.114,580.9209,-2.8024,249.0754,0.2510,3.8000,-0.4500,358.4304,179.9971,359.8586,0.0000,0.0000,0.0000
6.224,580.7109,-2.8078,249.1350,0.2510,3.8000,-0.4500,358.6631,179.9966,359.9275,0.0000,0.0000,0.0000
6.338,580.4592,-2.8097,249.2065,0.2510,3.8000,-0.4500,358.8184,179.9965,359.9915,0.0000,0.0000,0.0000
6.448,580.2081,-2.8036,249.2766,0.2510,3.8000,-0.4500,359.0432,179.9967,0.0945,0.0000,0.0000,0.0000
6.558,579.9993,-2.7938,249.3343,0.2510,3.8000,-0.4500,359.1891,179.9970,0.1725,0.0000,0.0000,0.0000
6.670,579.7493,-2.7746,249.4020,0.2510,3.8000,-0.4500,359.4088,179.9979,0.2992,0.0000,0.0000,0.0000
