time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.122,599.6055,4.6292,250.0089,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.235,599.2069,4.2861,250.0138,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.348,598.6927,3.8505,250.0181,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.459,598.1857,3.4245,250.0213,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.571,597.4930,2.8458,250.0247,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.681,596.8528,2.3130,250.0273,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.792,596.0170,1.6198,250.0300,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.903,595.2702,1.0016,250.0321,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.014,594.3200,0.2166,250.0343,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.128,593.3174,-0.6105,250.0362,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.236,592.6323,-1.1893,250.0374,359.6728,180.0000,0.0013,359.6728,180.0000,0.0013
1.347,592.0567,-1.5921,250.0396,358.3475,179.9999,0.0065,358.3475,179.9999,0.0065
1.458,591.6944,-1.7097,250.0429,357.5907,179.9998,0.0094,357.5907,179.9998,0.0094
1.570,591.3373,-1.6845,250.0474,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
1.681,591.0767,-1.6009,250.0501,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
1.792,590.7886,-1.4984,250.0499,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
1.904,590.5600,-1.4439,250.0462,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
2.015,590.2934,-1.4295,250.0375,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
2.126,590.0314,-1.4645,250.0251,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
2.241,589.8151,-1.5189,250.0128,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
2.352,589.5566,-1.5986,249.9970,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
2.459,589.3419,-1.6669,249.9835,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
2.571,589.0846,-1.7435,249.9675,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
2.681,588.8704,-1.8008,249.9536,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
2.793,588.6136,-1.8618,249.9355,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
2.904,588.3997,-1.9081,249.9191,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
3.015,588.1429,-1.9609,249.8981,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
3.130,587.8862,-2.0131,249.8760,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
3.241,587.6723,-2.0574,249.8568,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
3.352,587.4156,-2.1120,249.8333,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
3.460,587.2017,-2.1587,249.8132,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
3.571,586.9448,-2.2158,249.7888,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
3.683,586.7306,-2.2640,249.7683,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
3.797,586.4735,-2.3221,249.7432,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
3.904,586.2590,-2.3704,249.7222,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
4.015,586.0016,-2.4282,249.6968,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
4.127,585.7440,-2.4857,249.6714,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
4.237,585.5291,-2.5332,249.6502,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
4.337,585.3143,-2.5804,249.6289,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
4.449,585.0561,-2.6364,249.6032,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
4.560,584.8409,-2.6825,249.5816,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
4.846,584.1955,-2.8153,249.5160,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
4.957,583.9802,-2.8571,249.4938,357.3076,179.9997,0.0104,357.3076,179.9997,0.0104
5.067,583.7220,-2.9052,249.4670,357.4097,179.9996,359.8793,357.4097,179.9996,359.8793
5.178,583.5068,-2.9433,249.4444,357.4097,179.9996,359.8793,357.4097,179.9996,359.8793
5.289,583.2488,-2.9863,249.4156,357.5443,179.9993,359.7881,357.5443,179.9993,359.7881
5.400,583.0356,-3.0192,249.3750,357.5443,179.9993,359.7881,357.5443,179.9993,359.7881
5.511,582.7828,-3.0544,249.2917,357.7026,179.9986,359.7374,357.7026,179.9986,359.7374
5.623,582.5746,-3.0802,249.1957,357.7807,179.9982,359.7152,357.7807,179.9982,359.7152
