time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8699,5.2478,250.4535,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.100,598.6557,5.0566,250.4581,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.210,598.2777,4.7300,250.4630,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.334,597.7823,4.3091,250.4716,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.445,597.1843,3.8045,250.4987,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.556,596.6169,3.3270,250.5411,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.668,595.8624,2.6930,250.6190,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.779,595.1791,2.1191,250.7095,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.891,594.3013,1.3816,250.8508,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.002,593.5269,0.7305,250.9954,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.113,592.5521,-0.0899,251.2052,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.225,591.5479,-0.9365,251.4559,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.336,590.9100,-1.5341,251.6463,0.2510,3.8000,-0.4500,358.7438,179.9999,0.0061,0.0000,0.0000,0.0000
1.447,590.3710,-1.9249,251.8468,0.2510,3.8000,-0.4500,356.9036,179.9996,0.0147,0.0000,0.0000,0.0000
1.558,590.0298,-2.0337,252.0036,0.2510,3.8000,-0.4500,355.9957,179.9993,0.0182,0.0000,0.0000,0.0000
1.670,589.6920,-2.0128,252.1867,0.2510,3.8000,-0.4500,355.5870,179.9992,0.0187,0.0000,0.0000,0.0000
1.781,589.4446,-1.9483,252.3385,0.2510,3.8000,-0.4500,355.5870,179.9992,0.0187,0.0000,0.0000,0.0000
1.892,589.1713,-1.8870,252.5292,0.2510,3.8000,-0.4500,355.5870,179.9992,0.0187,0.0000,0.0000,0.0000
2.004,588.9553,-1.8765,252.6953,0.2510,3.8000,-0.4500,355.5870,179.9992,0.0187,0.0000,0.0000,0.0000
2.115,588.7042,-1.9196,252.9017,0.2510,3.8000,-0.4500,355.5870,179.9992,0.0187,0.0000,0.0000,0.0000
