time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.100,599.6597,4.6766,250.0081,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.210,599.2817,4.3500,250.0130,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.334,598.7864,3.9291,250.0216,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.445,598.1884,3.4245,250.0487,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.556,597.6209,2.9470,250.0911,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.668,596.8664,2.3130,250.1690,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.779,596.1831,1.7391,250.2595,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.891,595.3054,1.0016,250.4008,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.002,594.5309,0.3505,250.5454,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.113,593.5561,-0.4699,250.7552,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.225,592.5519,-1.3165,251.0059,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.336,591.9139,-1.9043,251.1881,358.7438,179.9999,0.0061,358.7438,179.9999,0.0061
1.447,591.3749,-2.2803,251.3770,356.9036,179.9996,0.0147,356.9036,179.9996,0.0147
1.558,591.0337,-2.3817,251.5281,355.9957,179.9993,0.0182,355.9957,179.9993,0.0182
1.670,590.6959,-2.3574,251.7087,355.5870,179.9992,0.0187,355.5870,179.9992,0.0187
1.781,590.4485,-2.2929,251.8606,355.5870,179.9992,0.0187,355.5870,179.9992,0.0187
1.892,590.1752,-2.2316,252.0513,355.5870,179.9992,0.0187,355.5870,179.9992,0.0187
2.004,589.9592,-2.2210,252.2174,355.5870,179.9992,0.0187,355.5870,179.9992,0.0187
2.115,589.7081,-2.2642,252.4237,355.5870,179.9992,0.0187,355.5870,179.9992,0.0187
2.226,589.4622,-2.3566,252.6390,355.5870,179.9992,0.0187,355.5870,179.9992,0.0187
2.337,589.2598,-2.4567,252.8254,355.5870,179.9992,0.0187,355.5870,179.9992,0.0187
2.448,589.0187,-2.5878,253.0562,355.5870,179.9992,0.0187,355.5870,179.9992,0.0187
2.560,588.8188,-2.6964,253.2542,355.5870,179.9992,0.0187,355.5870,179.9992,0.0187
2.671,588.5794,-2.8192,253.4976,355.5870,179.9992,0.0187,355.5870,179.9992,0.0187
2.782,588.3804,-2.9136,253.7042,355.5870,179.9992,0.0187,355.5870,179.9992,0.0187
2.893,588.1413,-3.0184,253.9510,355.5870,179.9992,0.0187,355.5870,179.9992,0.0187
3.004,587.9413,-3.1001,254.1499,355.5870,179.9992,0.0187,355.5870,179.9992,0.0187
3.115,587.7005,-3.1939,254.3790,355.5870,179.9992,0.0187,355.5870,179.9992,0.0187
3.227,587.4569,-3.2833,254.5397,355.5870,179.9992,0.0187,355.5870,179.9992,0.0187
3.338,587.2567,-3.3479,254.5086,355.5870,179.9992,0.0187,355.5870,179.9992,0.0187
3.449,587.0253,-3.4122,254.2628,355.5870,179.9992,0.0187,355.5870,179.9992,0.0187
3.561,586.8389,-3.4572,253.9197,355.7328,179.9990,359.8188,355.7328,179.9990,359.8188
3.671,586.6223,-3.5025,253.3679,355.7328,179.9990,359.8189,355.7328,179.9990,359.8189
3.783,586.4454,-3.5350,252.8300,355.7328,179.9990,359.8189,355.7328,179.9990,359.8189
3.894,586.2354,-3.5709,252.1366,355.7328,179.9989,359.8189,355.7328,179.9989,359.8189
4.005,586.0262,-3.6056,251.4208,355.7328,179.9989,359.8189,355.7328,179.9989,359.8189
4.116,585.8521,-3.6344,250.8192,355.7714,179.9988,359.7471,355.7714,179.9988,359.7471
4.228,585.6429,-3.6695,250.0971,355.7713,179.9988,359.7471,355.7713,179.9988,359.7471
4.353,585.4339,-3.7052,249.3750,355.7713,179.9988,359.7471,355.7713,179.9988,359.7471
4.477,585.2248,-3.7412,248.6509,355.7713,179.9988,359.7471,355.7713,179.9988,359.7471
4.602,585.0157,-3.7772,247.9242,355.7713,179.9988,359.7471,355.7713,179.9988,359.7471
4.713,584.8073,-3.8121,247.1850,355.7713,179.9988,359.7471,355.7713,179.9988,359.7471
4.825,584.5989,-3.8464,246.4495,355.7713,179.9988,359.7471,355.7713,179.9988,359.7471
4.936,584.4241,-3.8756,245.8575,355.7713,179.9989,359.7471,355.7713,179.9989,359.7471
5.047,584.2109,-3.9131,245.2112,355.7713,179.9989,359.7471,355.7713,179.9989,359.7471
5.159,584.0254,-3.9509,244.7950,355.7713,179.9989,359.7471,355.7713,179.9989,359.7471
5.269,583.7908,-4.0067,244.4691,355.7713,179.9989,359.7471,355.7713,179.9989,359.7471
5.381,583.5865,-4.0605,244.3232,355.7713,179.9989,359.7471,355.7713,179.9989,359.7471
5.492,583.3378,-4.1305,244.2625,355.7714,179.9989,359.7471,355.7714,179.9989,359.7471
