time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.107,599.6057,4.6292,250.0096,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.224,599.2070,4.2861,250.0151,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.348,598.6929,3.8505,250.0200,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.459,598.0766,3.3329,250.0243,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.572,597.4933,2.8458,250.0275,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.681,596.7187,2.2014,250.0310,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.792,596.0173,1.6198,250.0336,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.904,595.1161,0.8739,250.0367,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.015,594.3209,0.2166,250.0436,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.127,593.3199,-0.6105,250.0634,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.237,592.4512,-1.3284,250.0918,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.349,591.3720,-2.2206,250.1407,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.459,590.3947,-3.0759,250.1975,358.8513,180.0000,0.0034,358.8513,180.0000,0.0034
1.571,589.8387,-3.5951,250.2431,355.4822,179.9995,0.0117,355.4822,179.9995,0.0117
1.682,589.3516,-3.9210,250.3093,352.6278,179.9988,0.0137,352.6278,179.9988,0.0137
1.793,589.0310,-4.0225,250.3746,351.3873,179.9986,0.0080,351.3873,179.9986,0.0080
1.905,588.7027,-4.0462,250.4578,350.7572,179.9985,-0.0030,350.7572,179.9985,-0.0030
2.016,588.4558,-4.0508,250.5248,350.7572,179.9985,-0.0030,350.7572,179.9985,-0.0030
2.127,588.1772,-4.0898,250.5964,350.7572,179.9985,-0.0030,350.7572,179.9985,-0.0030
2.238,587.9533,-4.1662,250.6467,350.7572,179.9985,-0.0031,350.7572,179.9985,-0.0031
2.349,587.6901,-4.3086,250.6969,350.7572,179.9985,-0.0031,350.7572,179.9985,-0.0031
2.460,587.4302,-4.4912,250.7392,350.7572,179.9985,-0.0031,350.7572,179.9985,-0.0031
2.571,587.2149,-4.6596,250.7711,350.7572,179.9985,-0.0031,350.7572,179.9985,-0.0031
2.682,586.9573,-4.8672,250.8081,350.7572,179.9985,-0.0031,350.7572,179.9985,-0.0031
2.793,586.7427,-5.0375,250.8391,350.7572,179.9985,-0.0031,350.7572,179.9985,-0.0031
2.905,586.4853,-5.2340,250.8773,350.7573,179.9985,-0.0031,350.7573,179.9985,-0.0031
3.016,586.2706,-5.3910,250.9100,350.7573,179.9985,-0.0031,350.7573,179.9985,-0.0031
3.127,586.0127,-5.5735,250.9494,350.7573,179.9985,-0.0031,350.7573,179.9985,-0.0031
3.238,585.7540,-5.7516,250.9839,350.7491,179.9986,359.8333,350.7491,179.9986,359.8333
3.349,585.5378,-5.8984,251.0074,350.7491,179.9986,359.8333,350.7491,179.9986,359.8333
3.461,585.2782,-6.0744,251.0305,350.7735,179.9984,359.6691,350.7735,179.9984,359.6691
3.572,585.0616,-6.2217,251.0476,350.8505,179.9978,359.4300,350.8505,179.9978,359.4300
3.682,584.8019,-6.3999,251.0682,350.9624,179.9965,359.2104,350.9624,179.9965,359.2104
3.794,584.5858,-6.5495,251.0861,351.0560,179.9950,359.0734,351.0560,179.9950,359.0734
3.906,584.3267,-6.7274,251.0925,351.2078,179.9923,358.8815,351.2078,179.9923,358.8815
4.016,584.1115,-6.8735,251.0861,351.2609,179.9912,358.8214,351.2609,179.9912,358.8214
4.128,583.8531,-7.0463,251.0691,351.5065,179.9856,358.5906,351.5065,179.9856,358.5906
4.238,583.5953,-7.2182,251.0686,351.6980,179.9806,358.4437,351.6980,179.9806,358.4437
4.350,583.3809,-7.3618,251.0887,351.9070,179.9746,358.3135,351.9070,179.9746,358.3135
4.474,583.1245,-7.5329,251.1303,352.1351,179.9676,358.2014,352.1351,179.9676,358.2014
4.599,582.8262,-7.7286,251.1959,352.4437,179.9575,358.0883,352.4437,179.9575,358.0883
4.710,582.6136,-7.8641,251.2504,352.8551,179.9433,357.9992,352.8551,179.9433,357.9992
4.821,582.3587,-8.0206,251.3217,353.0951,179.9348,357.9753,353.0951,179.9348,357.9753
4.934,582.1466,-8.1449,251.3845,353.5203,179.9196,357.9794,353.5203,179.9196,357.9794
5.044,581.8921,-8.2852,251.4650,353.8523,179.9079,358.0123,353.8523,179.9079,358.0123
5.155,581.6807,-8.3941,251.5414,354.2917,179.8929,358.0985,354.2917,179.8929,358.0985
5.266,581.4278,-8.5144,251.6456,354.8087,179.8763,358.2389,354.8087,179.8763,358.2389
5.377,581.2178,-8.6045,251.7410,355.2309,179.8638,358.3833,355.2309,179.8638,358.3833
5.488,580.9663,-8.6992,251.8625,355.7440,179.8501,358.5896,355.7440,179.8501,358.5896
