time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.107,598.5439,4.9589,250.4612,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.221,598.1251,4.5996,250.4672,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.332,597.6891,4.2305,250.4717,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.444,597.0728,3.7129,250.4766,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.570,596.3658,3.1227,250.4809,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.683,595.5786,2.4682,250.4847,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.806,594.7204,1.7567,250.4894,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.917,593.9570,1.1249,250.4955,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.042,592.8231,0.1880,250.5086,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.153,591.9719,-0.5147,250.5215,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.265,590.9102,-1.3905,250.5408,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.376,589.9952,-2.1448,250.5599,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.487,589.1384,-2.9496,250.5976,0.2510,3.8000,-0.4500,357.5011,179.9998,0.0070,0.0000,0.0000,0.0000
1.599,588.5624,-3.4513,250.6523,0.2510,3.8000,-0.4500,353.8416,179.9991,0.0137,0.0000,0.0000,0.0000
1.709,588.2003,-3.6434,250.7066,0.2510,3.8000,-0.4500,352.0404,179.9987,0.0118,0.0000,0.0000,0.0000
1.821,587.8435,-3.7137,250.7809,0.2510,3.8000,-0.4500,350.9661,179.9986,0.0018,0.0000,0.0000,0.0000
1.932,587.5834,-3.7179,250.8439,0.2510,3.8000,-0.4500,350.7649,179.9986,-0.0031,0.0000,0.0000,0.0000
2.043,587.2960,-3.7331,250.9156,0.2510,3.8000,-0.4500,350.7649,179.9986,-0.0031,0.0000,0.0000,0.0000
2.154,587.0681,-3.7841,250.9689,0.2510,3.8000,-0.4500,350.7650,179.9986,-0.0031,0.0000,0.0000,0.0000
2.254,586.8461,-3.8770,251.0153,0.2510,3.8000,-0.4500,350.7650,179.9986,-0.0031,0.0000,0.0000,0.0000
2.362,586.5844,-4.0357,251.0640,0.2510,3.8000,-0.4500,350.7650,179.9986,-0.0031,0.0000,0.0000,0.0000
2.474,586.3690,-4.1954,251.1060,0.2510,3.8000,-0.4500,350.7650,179.9986,-0.0031,0.0000,0.0000,0.0000
2.585,586.1129,-4.4037,251.1639,0.2510,3.8000,-0.4500,350.7650,179.9986,-0.0031,0.0000,0.0000,0.0000
2.696,585.9006,-4.5806,251.2192,0.2510,3.8000,-0.4500,350.7650,179.9986,-0.0031,0.0000,0.0000,0.0000
2.807,585.6470,-4.7890,251.2932,0.2510,3.8000,-0.4500,350.7650,179.9986,-0.0031,0.0000,0.0000,0.0000
2.918,585.3936,-4.9895,251.3736,0.2510,3.8000,-0.4500,350.7650,179.9986,-0.0031,0.0000,0.0000,0.0000
3.030,585.1824,-5.1507,251.4440,0.2510,3.8000,-0.4500,350.7650,179.9986,-0.0031,0.0000,0.0000,0.0000
3.141,584.9290,-5.3392,251.5319,0.2510,3.8000,-0.4500,350.7650,179.9986,-0.0031,0.0000,0.0000,0.0000
3.252,584.7173,-5.4979,251.6137,0.2510,3.8000,-0.4500,350.7584,179.9986,359.8323,0.0000,0.0000,0.0000
3.363,584.4654,-5.6892,251.7286,0.2510,3.8000,-0.4500,350.7778,179.9985,359.6721,0.0000,0.0000,0.0000
3.474,584.2570,-5.8500,251.8372,0.2510,3.8000,-0.4500,350.8076,179.9983,359.5907,0.0000,0.0000,0.0000
3.585,584.0063,-6.0493,251.9778,0.2510,3.8000,-0.4500,350.9835,179.9964,359.2047,0.0000,0.0000,0.0000
3.696,583.7997,-6.2134,252.1035,0.2510,3.8000,-0.4500,351.0327,179.9957,359.1395,0.0000,0.0000,0.0000
3.807,583.5517,-6.4125,252.2592,0.2510,3.8000,-0.4500,351.2508,179.9919,358.8861,0.0000,0.0000,0.0000
3.918,583.3042,-6.6104,252.4197,0.2510,3.8000,-0.4500,351.4952,179.9865,358.6601,0.0000,0.0000,0.0000
4.030,583.0986,-6.7731,252.5553,0.2510,3.8000,-0.4500,351.6992,179.9814,358.5050,0.0000,0.0000,0.0000
4.141,582.8518,-6.9647,252.7167,0.2510,3.8000,-0.4500,351.9088,179.9756,358.3604,0.0000,0.0000,0.0000
4.251,582.6453,-7.1204,252.8476,0.2510,3.8000,-0.4500,352.2886,179.9639,358.1507,0.0000,0.0000,0.0000
4.377,582.3983,-7.3017,253.0047,0.2510,3.8000,-0.4500,352.5119,179.9564,358.0437,0.0000,0.0000,0.0000
4.488,582.1503,-7.4753,253.1590,0.2510,3.8000,-0.4500,352.9407,179.9411,357.9016,0.0000,0.0000,0.0000
4.599,581.9025,-7.6405,253.3129,0.2510,3.8000,-0.4500,353.4370,179.9223,357.7834,0.0000,0.0000,0.0000
4.710,581.6961,-7.7725,253.4429,0.2510,3.8000,-0.4500,353.5999,179.9159,357.7620,0.0000,0.0000,0.0000
4.821,581.4476,-7.9187,253.5912,0.2510,3.8000,-0.4500,354.1429,179.8944,357.7379,0.0000,0.0000,0.0000
4.932,581.2390,-8.0306,253.6978,0.2510,3.8000,-0.4500,354.5795,179.8771,357.7558,0.0000,0.0000,0.0000
5.043,580.9866,-8.1529,253.8045,0.2510,3.8000,-0.4500,355.0042,179.8606,357.8131,0.0000,0.0000,0.0000
5.155,580.7749,-8.2428,253.8791,0.2510,3.8000,-0.4500,355.4388,179.8443,357.9078,0.0000,0.0000,0.0000
5.266,580.5198,-8.3370,253.9570,0.2510,3.8000,-0.4500,355.9497,179.8262,358.0609,0.0000,0.0000,0.0000
5.377,580.3067,-8.4032,253.9993,0.2510,3.8000,-0.4500,356.3706,179.8125,358.2201,0.0000,0.0000,0.0000
5.489,580.0507,-8.4665,254.0091,0.2510,3.8000,-0.4500,356.8728,179.7978,358.4489,0.0000,0.0000,0.0000
5.599,579.7944,-8.5130,253.9964,0.2510,3.8000,-0.4500,357.3711,179.7854,358.7184,0.0000,0.0000,0.0000
5.711,579.5809,-8.5389,253.9785,0.2510,3.8000,-0.4500,357.7857,179.7771,358.9722,0.0000,0.0000,0.0000
5.822,579.3254,-8.5542,253.9502,0.2510,3.8000,-0.4500,358.2864,179.7695,359.3095,0.0000,0.0000,0.0000
5.933,579.1136,-8.5536,253.9197,0.2510,3.8000,-0.4500,358.7080,179.7656,359.6157,0.0000,0.0000,0.0000
6.044,578.8614,-8.5364,253.8751,0.2510,3.8000,-0.4500,359.2192,179.7639,0.0105,0.0000,0.0000,0.0000
6.154,578.6531,-8.5082,253.8317,0.2510,3.8000,-0.4500,359.6486,179.7653,0.3601,0.0000,0.0000,0.0000
6.279,578.3644,-8.4473,253.7624,0.2510,3.8000,-0.4500,0.2528,179.7718,0.8768,0.0000,0.0000,0.0000
6.391,578.1608,-8.3885,253.7067,0.2510,3.8000,-0.4500,0.6850,179.7798,1.2626,0.0000,0.0000,0.0000
6.516,577.9194,-8.3012,253.6324,0.2510,3.8000,-0.4500,1.2021,179.7934,1.7405,0.0000,0.0000,0.0000
6.638,577.6426,-8.1766,253.5330,0.2510,3.8000,-0.4500,1.7998,179.8145,2.3138,0.0000,0.0000,0.0000
6.752,577.4487,-8.0731,253.4516,0.2510,3.8000,-0.4500,2.2203,179.8330,2.7302,0.0000,0.0000,0.0000
