time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.107,598.6016,5.0092,250.4596,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.237,598.1249,4.5996,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.347,597.6889,4.2305,250.4700,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.459,597.0730,3.7129,250.4702,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.571,596.4928,3.2258,250.4407,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.681,595.7275,2.5814,250.3439,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.782,595.0393,1.9998,250.2050,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.890,594.3105,1.3816,250.0123,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.015,593.3880,0.5966,249.7126,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.140,592.2672,-0.3605,249.2809,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.252,591.6536,-0.8909,249.0200,0.2510,3.8000,-0.4500,359.2396,180.0000,0.0022,0.0000,0.0000,0.0000
1.363,591.1324,-1.2138,248.7805,0.2510,3.8000,-0.4500,358.0454,179.9999,0.0055,0.0000,0.0000,0.0000
1.474,590.8005,-1.2741,248.6150,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
1.585,590.4700,-1.1986,248.4366,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
1.696,590.1800,-1.0711,248.2735,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
1.808,589.9532,-0.9808,248.1671,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
1.919,589.6877,-0.9243,248.0935,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
2.030,589.4699,-0.9246,248.0733,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
2.141,589.2119,-0.9705,248.0870,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
2.253,588.9989,-1.0330,248.1213,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
2.363,588.7451,-1.1199,248.1822,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
2.475,588.5350,-1.1931,248.2496,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
2.586,588.2845,-1.2752,248.3497,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
2.697,588.0353,-1.3491,248.4659,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
2.808,587.8282,-1.4053,248.5713,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
2.919,587.5803,-1.4686,248.7047,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
3.030,587.3740,-1.5201,248.8206,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
3.142,587.1271,-1.5823,248.9674,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
3.253,586.9218,-1.6355,249.0959,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
3.364,586.6757,-1.7011,249.2556,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
3.475,586.4709,-1.7571,249.3919,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
3.586,586.2252,-1.8252,249.5582,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
3.697,585.9781,-1.8930,249.7094,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
3.808,585.7693,-1.9480,249.8039,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
3.919,585.5151,-2.0117,249.8785,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
4.031,585.3010,-2.0629,249.9142,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
4.142,585.0430,-2.1226,249.9339,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
4.253,584.8278,-2.1713,249.9368,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
4.367,584.5693,-2.2285,249.9296,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
4.478,584.3119,-2.2844,249.9026,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
4.589,584.1004,-2.3290,249.8444,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
4.851,583.5624,-2.4351,249.5467,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
4.961,583.3179,-2.4800,249.3618,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0070,0.0000,0.0000,0.0000
5.073,583.1158,-2.5153,249.1881,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0071,0.0000,0.0000,0.0000
5.183,582.8748,-2.5553,248.9627,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0071,0.0000,0.0000,0.0000
5.309,582.6349,-2.5927,248.7248,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0071,0.0000,0.0000,0.0000
5.420,582.3957,-2.6275,248.4788,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0071,0.0000,0.0000,0.0000
5.531,582.1968,-2.6544,248.2703,0.2510,3.8000,-0.4500,357.4566,179.9998,0.0071,0.0000,0.0000,0.0000
5.642,581.9581,-2.6842,248.0211,0.2510,3.8000,-0.4500,357.5296,179.9998,359.9660,0.0000,0.0000,0.0000
5.753,581.7591,-2.7067,247.8172,0.2510,3.8000,-0.4500,357.5296,179.9998,359.9660,0.0000,0.0000,0.0000
5.865,581.5198,-2.7300,247.5752,0.2510,3.8000,-0.4500,357.7717,179.9995,359.8970,0.0000,0.0000,0.0000
5.975,581.2811,-2.7505,247.3384,0.2510,3.8000,-0.4500,357.7717,179.9995,359.8970,0.0000,0.0000,0.0000
6.087,581.0817,-2.7633,247.1491,0.2510,3.8000,-0.4500,357.9367,179.9992,359.9034,0.0000,0.0000,0.0000
6.197,580.8373,-2.7759,246.9882,0.2510,3.8000,-0.4500,358.0977,179.9990,359.9321,0.0000,0.0000,0.0000
6.309,580.6299,-2.7833,246.9246,0.2510,3.8000,-0.4500,358.2614,179.9989,359.9815,0.0000,0.0000,0.0000
6.409,580.4225,-2.7878,246.9179,0.2510,3.8000,-0.4500,358.4205,179.9989,0.0348,0.0000,0.0000,0.0000
6.518,580.1754,-2.7863,246.9669,0.2510,3.8000,-0.4500,358.7261,179.9994,0.1747,0.0000,0.0000,0.0000
6.629,579.9705,-2.7832,247.0430,0.2510,3.8000,-0.4500,358.7999,179.9997,0.2140,0.0000,0.0000,0.0000
6.740,579.7269,-2.7695,247.1606,0.2510,3.8000,-0.4500,359.0929,180.0012,0.3762,0.0000,0.0000,0.0000
