time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.107,599.6057,4.6292,250.0096,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.237,599.1290,4.2196,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.347,598.6929,3.8505,250.0200,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.459,598.0770,3.3329,250.0202,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.571,597.4968,2.8458,249.9907,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.681,596.7316,2.2014,249.8939,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.782,596.0433,1.6198,249.7550,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.890,595.3145,1.0016,249.5623,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.015,594.3920,0.2166,249.2626,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.140,593.2712,-0.7405,248.8309,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.252,592.6575,-1.2650,248.5650,359.2396,180.0000,0.0022,359.2396,180.0000,0.0022
1.363,592.1364,-1.5783,248.3178,358.0454,179.9999,0.0055,358.0454,179.9999,0.0055
1.474,591.8045,-1.6339,248.1485,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
1.585,591.4739,-1.5583,247.9701,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
1.696,591.1840,-1.4309,247.8071,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
1.808,590.9572,-1.3406,247.7007,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
1.919,590.6917,-1.2841,247.6271,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
2.030,590.4739,-1.2844,247.6069,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
2.141,590.2159,-1.3303,247.6206,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
2.253,590.0029,-1.3927,247.6549,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
2.363,589.7490,-1.4797,247.7157,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
2.475,589.5389,-1.5529,247.7832,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
2.586,589.2885,-1.6350,247.8833,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
2.697,589.0392,-1.7089,247.9995,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
2.808,588.8322,-1.7651,248.1049,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
2.919,588.5842,-1.8284,248.2383,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
3.030,588.3780,-1.8799,248.3541,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
3.142,588.1310,-1.9421,248.5010,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
3.253,587.9257,-1.9953,248.6294,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
3.364,587.6797,-2.0609,248.7891,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
3.475,587.4749,-2.1169,248.9255,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
3.586,587.2292,-2.1849,249.0918,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
3.697,586.9821,-2.2528,249.2430,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
3.808,586.7733,-2.3078,249.3375,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
3.919,586.5190,-2.3714,249.4121,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
4.031,586.3049,-2.4227,249.4478,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
4.142,586.0470,-2.4824,249.4674,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
4.253,585.8318,-2.5310,249.4704,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
4.367,585.5732,-2.5883,249.4632,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
4.478,585.3159,-2.6442,249.4362,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
4.589,585.1044,-2.6887,249.3779,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
4.851,584.5663,-2.7949,249.0803,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
4.961,584.3219,-2.8398,248.8954,357.4566,179.9998,0.0070,357.4566,179.9998,0.0070
5.073,584.1198,-2.8751,248.7216,357.4566,179.9998,0.0071,357.4566,179.9998,0.0071
5.183,583.8788,-2.9151,248.4963,357.4566,179.9998,0.0071,357.4566,179.9998,0.0071
5.309,583.6389,-2.9525,248.2584,357.4566,179.9998,0.0071,357.4566,179.9998,0.0071
5.420,583.3997,-2.9873,248.0124,357.4566,179.9998,0.0071,357.4566,179.9998,0.0071
5.531,583.2007,-3.0142,247.8039,357.4566,179.9998,0.0071,357.4566,179.9998,0.0071
5.642,582.9623,-3.0439,247.5551,357.5296,179.9998,359.9660,357.5296,179.9998,359.9660
5.753,582.7633,-3.0664,247.3513,357.5296,179.9998,359.9660,357.5296,179.9998,359.9660
