time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.108,598.5439,4.9589,250.4612,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.222,598.1251,4.5996,250.4672,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.334,597.5931,4.1497,250.4726,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.446,597.0728,3.7129,250.4766,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.558,596.3658,3.1227,250.4809,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.668,595.7154,2.5814,250.4787,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.779,594.8722,1.8789,250.4421,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.891,593.9696,1.1249,250.3519,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.001,593.1778,0.4615,250.2314,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.113,592.1857,-0.3721,250.0326,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.224,591.3278,-1.0949,249.8238,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.335,590.2658,-1.9923,249.5175,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.446,589.5522,-2.6610,249.2854,0.2510,3.8000,-0.4500,358.2251,179.9999,0.0044,0.0000,0.0000,0.0000
1.557,588.9646,-3.1519,249.0767,0.2510,3.8000,-0.4500,354.4384,179.9994,0.0115,0.0000,0.0000,0.0000
1.668,588.6026,-3.3217,248.9292,0.2510,3.8000,-0.4500,352.4550,179.9990,0.0119,0.0000,0.0000,0.0000
1.780,588.2529,-3.3502,248.7676,0.2510,3.8000,-0.4500,351.2469,179.9988,0.0067,0.0000,0.0000,0.0000
1.891,588.0018,-3.3128,248.6352,0.2510,3.8000,-0.4500,350.9246,179.9987,0.0023,0.0000,0.0000,0.0000
2.002,587.7266,-3.2740,248.4771,0.2510,3.8000,-0.4500,350.9246,179.9987,0.0023,0.0000,0.0000,0.0000
2.114,587.4625,-3.2951,248.3647,0.2510,3.8000,-0.4500,350.9246,179.9987,0.0023,0.0000,0.0000,0.0000
2.224,587.2451,-3.3706,248.3210,0.2510,3.8000,-0.4500,350.9246,179.9987,0.0023,0.0000,0.0000,0.0000
2.335,586.9880,-3.5208,248.3218,0.2510,3.8000,-0.4500,350.9245,179.9987,0.0023,0.0000,0.0000,0.0000
2.446,586.7762,-3.6803,248.3571,0.2510,3.8000,-0.4500,350.9245,179.9987,0.0023,0.0000,0.0000,0.0000
2.558,586.5243,-3.8940,248.4303,0.2510,3.8000,-0.4500,350.8438,179.9987,359.9851,0.0000,0.0000,0.0000
2.670,586.3157,-4.0770,248.5097,0.2510,3.8000,-0.4500,350.8438,179.9987,359.9851,0.0000,0.0000,0.0000
2.794,586.0251,-4.3300,248.6421,0.2510,3.8000,-0.4500,350.8438,179.9987,359.9851,0.0000,0.0000,0.0000
2.905,585.8176,-4.5077,248.7477,0.2510,3.8000,-0.4500,350.7011,179.9989,359.9143,0.0000,0.0000,0.0000
3.016,585.5697,-4.7120,248.8812,0.2510,3.8000,-0.4500,350.7011,179.9989,359.9143,0.0000,0.0000,0.0000
3.127,585.3632,-4.8791,248.9965,0.2510,3.8000,-0.4500,350.7011,179.9989,359.9143,0.0000,0.0000,0.0000
3.239,585.1152,-5.0780,249.1375,0.2510,3.8000,-0.4500,350.7011,179.9989,359.9143,0.0000,0.0000,0.0000
3.350,584.9083,-5.2440,249.2558,0.2510,3.8000,-0.4500,350.7011,179.9989,359.9143,0.0000,0.0000,0.0000
3.461,584.6589,-5.4474,249.3971,0.2510,3.8000,-0.4500,350.6592,179.9990,359.7596,0.0000,0.0000,0.0000
3.572,584.4106,-5.6492,249.5377,0.2510,3.8000,-0.4500,350.6592,179.9990,359.7596,0.0000,0.0000,0.0000
3.684,584.2018,-5.8222,249.6535,0.2510,3.8000,-0.4500,350.6745,179.9989,359.5128,0.0000,0.0000,0.0000
3.794,583.9517,-6.0286,249.7917,0.2510,3.8000,-0.4500,350.7525,179.9980,359.2793,0.0000,0.0000,0.0000
3.905,583.7439,-6.1955,249.8804,0.2510,3.8000,-0.4500,350.7525,179.9980,359.2793,0.0000,0.0000,0.0000
4.030,583.4955,-6.3811,249.8506,0.2510,3.8000,-0.4500,350.9304,179.9953,358.9883,0.0000,0.0000,0.0000
4.141,583.2560,-6.5393,249.6632,0.2510,3.8000,-0.4500,350.9859,179.9943,358.9229,0.0000,0.0000,0.0000
4.253,583.0221,-6.6784,249.3527,0.2510,3.8000,-0.4500,351.1530,179.9908,358.7336,0.0000,0.0000,0.0000
4.364,582.8318,-6.7809,249.0293,0.2510,3.8000,-0.4500,351.1530,179.9908,358.7336,0.0000,0.0000,0.0000
4.489,582.6061,-6.8940,248.5880,0.2510,3.8000,-0.4500,351.1530,179.9908,358.7336,0.0000,0.0000,0.0000
4.599,582.3831,-6.9977,248.0889,0.2510,3.8000,-0.4500,351.2183,179.9893,358.6856,0.0000,0.0000,0.0000
4.713,582.1640,-7.0914,247.5347,0.2510,3.8000,-0.4500,351.2183,179.9893,358.6856,0.0000,0.0000,0.0000
4.822,581.9834,-7.1634,247.0409,0.2510,3.8000,-0.4500,351.2183,179.9893,358.6856,0.0000,0.0000,0.0000
4.933,581.7682,-7.2438,246.4219,0.2510,3.8000,-0.4500,351.2183,179.9893,358.6856,0.0000,0.0000,0.0000
5.044,581.5897,-7.3065,245.8914,0.2510,3.8000,-0.4500,351.2183,179.9893,358.6856,0.0000,0.0000,0.0000
5.156,581.3758,-7.3779,245.2558,0.2510,3.8000,-0.4500,351.2183,179.9893,358.6856,0.0000,0.0000,0.0000
5.267,581.1931,-7.4419,244.8055,0.2510,3.8000,-0.4500,351.2981,179.9875,358.7012,0.0000,0.0000,0.0000
5.377,580.9631,-7.5340,244.4219,0.2510,3.8000,-0.4500,351.4544,179.9840,358.7411,0.0000,0.0000,0.0000
5.489,580.7637,-7.6199,244.2231,0.2510,3.8000,-0.4500,351.7666,179.9774,358.8839,0.0000,0.0000,0.0000
5.600,580.5179,-7.7342,244.1087,0.2510,3.8000,-0.4500,352.0606,179.9720,359.0421,0.0000,0.0000,0.0000
5.711,580.2704,-7.8495,244.0902,0.2510,3.8000,-0.4500,352.5027,179.9656,359.3009,0.0000,0.0000,0.0000
5.822,580.0641,-7.9433,244.1240,0.2510,3.8000,-0.4500,352.8659,179.9618,359.5156,0.0000,0.0000,0.0000
5.934,579.8171,-8.0475,244.2045,0.2510,3.8000,-0.4500,353.3177,179.9590,359.7796,0.0000,0.0000,0.0000
6.044,579.6123,-8.1240,244.2938,0.2510,3.8000,-0.4500,353.7208,179.9583,0.0132,0.0000,0.0000,0.0000
6.155,579.3677,-8.2001,244.4182,0.2510,3.8000,-0.4500,354.2422,179.9598,0.3160,0.0000,0.0000,0.0000
6.267,579.1651,-8.2489,244.5311,0.2510,3.8000,-0.4500,354.7075,179.9635,0.5890,0.0000,0.0000,0.0000
6.378,578.9235,-8.2882,244.6738,0.2510,3.8000,-0.4500,355.2992,179.9714,0.9420,0.0000,0.0000,0.0000
6.489,578.7238,-8.3042,244.7963,0.2510,3.8000,-0.4500,355.8167,179.9814,1.2566,0.0000,0.0000,0.0000
6.600,578.4861,-8.3025,244.9456,0.2510,3.8000,-0.4500,356.4624,179.9978,1.6569,0.0000,0.0000,0.0000
6.711,578.2511,-8.2775,245.0966,0.2510,3.8000,-0.4500,357.1298,180.0196,2.0797,0.0000,0.0000,0.0000
