time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.4220,4.4699,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.4220,4.4699,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.119,598.9644,4.0792,250.0265,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.246,598.3981,3.6013,250.0359,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.346,597.8521,3.1438,250.0430,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.454,597.2457,2.6379,250.0493,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.567,596.4464,1.9734,250.0552,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.691,595.5802,1.2530,250.0297,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.804,594.6591,0.4832,249.9291,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.913,593.8558,-0.1920,249.7741,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.024,592.8546,-1.0383,249.4994,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.150,591.8179,-1.9197,249.1325,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.275,590.8816,-2.7453,248.7371,358.8748,180.0000,0.0029,358.8748,180.0000,0.0029
1.387,590.2629,-3.2852,248.4355,354.9961,179.9995,0.0112,354.9961,179.9995,0.0112
1.499,589.8214,-3.5261,248.2018,352.4863,179.9989,0.0130,352.4863,179.9989,0.0130
1.611,589.5276,-3.5753,248.0392,351.4241,179.9987,0.0099,351.4241,179.9987,0.0099
1.721,589.2247,-3.5514,247.8564,350.9636,179.9986,0.0051,350.9636,179.9986,0.0051
1.846,588.9528,-3.5177,247.6597,350.9636,179.9987,0.0051,350.9636,179.9987,0.0051
1.957,588.6981,-3.5234,247.4384,350.9636,179.9987,0.0051,350.9636,179.9987,0.0051
2.069,588.4945,-3.5685,247.2195,350.9636,179.9987,0.0051,350.9636,179.9987,0.0051
2.179,588.2610,-3.6555,246.8605,350.9636,179.9987,0.0051,350.9636,179.9987,0.0051
2.305,588.0366,-3.7601,246.4034,350.9636,179.9987,0.0051,350.9636,179.9987,0.0051
2.416,587.8543,-3.8493,245.9638,350.8012,179.9987,359.9782,350.8012,179.9987,359.9782
2.527,587.6406,-3.9461,245.3663,350.8012,179.9987,359.9782,350.8012,179.9987,359.9782
2.653,587.4307,-4.0259,244.7089,350.8012,179.9986,359.9782,350.8012,179.9986,359.9782
2.763,587.2233,-4.0896,244.0133,350.6446,179.9987,359.9362,350.6446,179.9987,359.9362
2.875,587.0515,-4.1331,243.4153,350.6446,179.9987,359.9362,350.6446,179.9987,359.9362
2.985,586.8459,-4.1786,242.6870,350.6446,179.9988,359.9362,350.6446,179.9988,359.9362
3.110,586.6404,-4.2215,241.9547,350.6446,179.9988,359.9362,350.6446,179.9988,359.9362
3.221,586.4344,-4.2658,241.2283,350.4886,179.9990,359.8834,350.4886,179.9990,359.8834
3.333,586.2620,-4.3061,240.6332,350.4886,179.9990,359.8834,350.4886,179.9990,359.8834
3.444,586.0547,-4.3593,239.9328,350.3381,179.9994,359.8279,350.3381,179.9994,359.8279
3.556,585.8818,-4.4062,239.3479,350.3381,179.9994,359.8279,350.3381,179.9994,359.8279
3.667,585.6752,-4.4614,238.6279,350.3381,179.9994,359.8279,350.3381,179.9994,359.8279
3.778,585.4694,-4.5155,237.8958,350.1830,180.0000,359.7683,350.1830,180.0000,359.7683
3.904,585.2628,-4.5715,237.1814,350.1830,180.0000,359.7683,350.1830,180.0000,359.7683
4.027,585.0495,-4.6442,236.5760,350.0277,180.0007,359.7107,350.0277,180.0007,359.7107
4.138,584.8258,-4.7451,236.1247,350.0276,180.0007,359.7107,350.0276,180.0007,359.7107
4.250,584.6318,-4.8512,235.8559,349.8724,180.0016,359.6530,349.8724,180.0016,359.6530
4.361,584.3909,-5.0011,235.6344,349.8724,180.0016,359.6530,349.8724,180.0016,359.6530
4.472,584.1852,-5.1407,235.5116,349.8724,180.0016,359.6530,349.8724,180.0016,359.6530
4.596,583.9341,-5.3208,235.4148,349.7970,180.0021,359.6230,349.7970,180.0021,359.6230
4.708,583.6802,-5.5097,235.3530,349.7970,180.0021,359.6230,349.7970,180.0021,359.6230
4.833,583.4242,-5.7031,235.3118,349.7970,180.0021,359.6230,349.7970,180.0021,359.6230
4.958,583.1244,-5.9304,235.2769,349.7970,180.0021,359.6230,349.7970,180.0021,359.6230
5.069,582.9108,-6.0907,235.2488,349.7970,180.0021,359.6230,349.7970,180.0021,359.6230
5.182,582.6555,-6.2783,235.2045,349.7970,180.0021,359.6230,349.7970,180.0021,359.6230
5.293,582.4439,-6.4300,235.1585,349.7970,180.0021,359.6230,349.7970,180.0021,359.6230
5.419,582.1496,-6.6337,235.0768,349.7970,180.0021,359.6230,349.7970,180.0021,359.6230
5.544,581.8989,-6.7991,234.9902,349.7970,180.0021,359.6230,349.7970,180.0021,359.6230
5.653,581.6913,-6.9304,234.9090,349.7970,180.0021,359.6230,349.7970,180.0021,359.6230
5.767,581.4424,-7.0809,234.8123,349.7970,180.0021,359.6230,349.7970,180.0021,359.6230
5.876,581.2346,-7.2013,234.7399,349.7970,180.0021,359.6230,349.7970,180.0021,359.6230
5.986,580.9847,-7.3394,234.6638,350.1229,180.0008,359.9240,350.1229,180.0008,359.9240
6.111,580.7336,-7.4695,234.5997,350.5155,180.0014,0.2530,350.5155,180.0014,0.2530
6.235,580.4821,-7.5902,234.5465,350.8460,180.0036,0.5044,350.8460,180.0036,0.5044
6.347,580.2305,-7.6998,234.5011,351.2552,180.0083,0.8007,351.2552,180.0083,0.8007
6.459,579.9789,-7.7969,234.4630,351.6776,180.0154,1.0964,351.6776,180.0154,1.0964
6.569,579.7696,-7.8673,234.4362,352.0471,180.0234,1.3505,352.0471,180.0234,1.3505
