time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.121,598.4825,4.9058,250.4622,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.248,598.0439,4.5306,250.4682,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.359,597.4944,4.0666,250.4734,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.471,596.8469,3.5238,250.4803,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.582,596.2410,3.0179,250.4928,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.694,595.4435,2.3534,250.5198,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.805,594.7266,1.7567,250.5533,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.916,593.8102,0.9947,250.6099,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.027,593.0059,0.3253,250.6782,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.139,592.0380,-0.4811,250.7863,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.250,591.3529,-1.0674,250.8891,0.2510,3.8000,-0.4500,358.9835,180.0000,0.0044,0.0000,0.0000,0.0000
1.361,590.9400,-1.3108,250.9496,0.2510,3.8000,-0.4500,357.9857,179.9998,0.0087,0.0000,0.0000,0.0000
1.472,590.5498,-1.3770,250.9810,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0112,0.0000,0.0000,0.0000
1.584,590.2756,-1.3214,250.9765,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0112,0.0000,0.0000,0.0000
1.695,589.9807,-1.2144,250.9449,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0112,0.0000,0.0000,0.0000
1.806,589.7513,-1.1386,250.9020,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0112,0.0000,0.0000,0.0000
1.917,589.4872,-1.0926,250.8357,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0112,0.0000,0.0000,0.0000
2.028,589.2297,-1.1000,250.7580,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
2.140,589.0181,-1.1382,250.6876,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
2.250,588.7661,-1.2067,250.5991,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
2.362,588.5568,-1.2710,250.5236,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
2.473,588.3044,-1.3475,250.4595,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
2.584,588.0942,-1.4085,250.4609,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
2.694,587.8447,-1.4774,250.5298,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
2.806,587.6392,-1.5321,250.6336,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
2.917,587.3954,-1.5962,250.8030,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
3.028,587.1539,-1.6606,251.0087,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
3.140,586.9539,-1.7153,251.1989,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
3.250,586.7148,-1.7825,251.4412,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
3.361,586.5161,-1.8396,251.6501,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
3.473,586.2775,-1.9091,251.9058,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
3.584,586.0788,-1.9671,252.1218,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
3.694,585.8407,-2.0364,252.3836,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
3.807,585.6420,-2.0935,252.6032,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
3.917,585.4036,-2.1609,252.8677,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
4.028,585.1651,-2.2267,253.1322,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
4.140,584.9661,-2.2802,253.3522,0.2510,3.8000,-0.4500,357.3760,179.9997,0.0111,0.0000,0.0000,0.0000
4.251,584.7261,-2.3446,253.6150,0.2510,3.8000,-0.4500,357.4598,179.9996,359.8648,0.0000,0.0000,0.0000
4.361,584.5266,-2.3960,253.8336,0.2510,3.8000,-0.4500,357.5029,179.9995,359.7942,0.0000,0.0000,0.0000
4.487,584.2870,-2.4551,254.0953,0.2510,3.8000,-0.4500,357.5578,179.9993,359.7325,0.0000,0.0000,0.0000
4.597,584.0466,-2.5126,254.3550,0.2510,3.8000,-0.4500,357.7350,179.9982,359.5595,0.0000,0.0000,0.0000
4.709,583.8065,-2.5653,254.6109,0.2510,3.8000,-0.4500,357.7350,179.9982,359.5595,0.0000,0.0000,0.0000
4.820,583.6053,-2.6071,254.8176,0.2510,3.8000,-0.4500,357.9439,179.9963,359.4279,0.0000,0.0000,0.0000
4.931,583.3644,-2.6529,255.0596,0.2510,3.8000,-0.4500,357.9439,179.9963,359.4279,0.0000,0.0000,0.0000
5.042,583.1603,-2.6870,255.2309,0.2510,3.8000,-0.4500,358.2625,179.9928,359.3090,0.0000,0.0000,0.0000
5.154,582.9119,-2.7236,255.3848,0.2510,3.8000,-0.4500,358.2625,179.9928,359.3090,0.0000,0.0000,0.0000
5.265,582.7012,-2.7490,255.4704,0.2510,3.8000,-0.4500,358.5053,179.9898,359.2677,0.0000,0.0000,0.0000
5.375,582.4486,-2.7748,255.4923,0.2510,3.8000,-0.4500,358.6696,179.9877,359.2643,0.0000,0.0000,0.0000
5.486,582.2435,-2.7929,255.4056,0.2510,3.8000,-0.4500,358.6696,179.9877,359.2643,0.0000,0.0000,0.0000
5.597,582.0045,-2.8085,255.1843,0.2510,3.8000,-0.4500,358.8355,179.9855,359.2804,0.0000,0.0000,0.0000
5.709,581.7719,-2.8183,254.8661,0.2510,3.8000,-0.4500,359.0794,179.9826,359.3410,0.0000,0.0000,0.0000
5.820,581.5811,-2.8260,254.5493,0.2510,3.8000,-0.4500,359.0794,179.9826,359.3409,0.0000,0.0000,0.0000
5.931,581.3560,-2.8282,254.1242,0.2510,3.8000,-0.4500,359.3037,179.9802,359.4471,0.0000,0.0000,0.0000
6.043,581.1697,-2.8303,253.7470,0.2510,3.8000,-0.4500,359.3037,179.9802,359.4471,0.0000,0.0000,0.0000
6.153,580.9484,-2.8269,253.2764,0.2510,3.8000,-0.4500,359.4370,179.9791,359.5369,0.0000,0.0000,0.0000
6.264,580.7646,-2.8207,252.8791,0.2510,3.8000,-0.4500,359.5628,179.9781,359.6381,0.0000,0.0000,0.0000
6.375,580.5447,-2.8102,252.4020,0.2510,3.8000,-0.4500,359.6834,179.9775,359.7518,0.0000,0.0000,0.0000
6.487,580.3624,-2.7963,252.0049,0.2510,3.8000,-0.4500,359.8543,179.9770,359.9342,0.0000,0.0000,0.0000
6.598,580.1409,-2.7798,251.5608,0.2510,3.8000,-0.4500,359.9070,179.9770,-0.0031,0.0000,0.0000,0.0000
6.709,579.9109,-2.7535,251.2501,0.2510,3.8000,-0.4500,0.1132,179.9774,0.2498,0.0000,0.0000,0.0000
