time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.7571,4.7624,250.0067,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.7571,4.7624,250.0067,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.106,599.4866,4.5258,250.0128,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.221,599.0480,4.1506,250.0194,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.333,598.4986,3.6866,250.0253,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.444,597.9657,3.2393,250.0237,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.556,597.2508,2.6379,249.9623,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.668,596.6016,2.0882,249.8317,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.778,595.7675,1.3767,249.5657,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.890,595.0319,0.7449,249.2520,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.001,594.1066,-0.0547,248.7699,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.112,593.3170,-0.7405,248.2941,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.223,592.6168,-1.3264,247.8206,359.0221,180.0000,0.0024,359.0221,180.0000,0.0024
1.335,592.1342,-1.5719,247.4529,357.9225,179.9999,0.0049,357.9225,179.9999,0.0049
1.445,591.8231,-1.5862,247.1928,357.4871,179.9999,0.0057,357.4871,179.9999,0.0057
1.557,591.5099,-1.4822,246.9108,357.4871,179.9999,0.0057,357.4871,179.9999,0.0057
1.668,591.2777,-1.3666,246.6877,357.4871,179.9999,0.0057,357.4871,179.9999,0.0057
1.779,591.0179,-1.2536,246.4230,357.4871,179.9999,0.0057,357.4871,179.9999,0.0057
1.890,590.8107,-1.2023,246.2010,357.4871,179.9999,0.0057,357.4871,179.9999,0.0057
2.001,590.5682,-1.1946,245.9317,357.4871,179.9999,0.0057,357.4871,179.9999,0.0057
2.113,590.3294,-1.2316,245.6593,357.4871,179.9999,0.0057,357.4871,179.9999,0.0057
2.223,590.1320,-1.2821,245.4309,357.4871,179.9999,0.0057,357.4871,179.9999,0.0057
2.335,589.8961,-1.3503,245.1561,357.4871,179.9999,0.0057,357.4871,179.9999,0.0057
2.446,589.7000,-1.4051,244.9270,357.4871,179.9999,0.0057,357.4871,179.9999,0.0057
2.557,589.4649,-1.4632,244.6524,357.4871,179.9999,0.0057,357.4871,179.9999,0.0057
2.668,589.2693,-1.5046,244.4238,357.4871,179.9999,0.0057,357.4871,179.9999,0.0057
2.779,589.0343,-1.5475,244.1533,357.4871,179.9999,0.0057,357.4871,179.9999,0.0057
2.890,588.8353,-1.5815,243.9667,357.4871,179.9999,0.0057,357.4871,179.9999,0.0057
3.001,588.5895,-1.6257,243.8268,357.4871,179.9999,0.0057,357.4871,179.9999,0.0057
3.113,588.3389,-1.6758,243.7731,357.4871,179.9999,0.0057,357.4871,179.9999,0.0057
3.224,588.1296,-1.7225,243.7797,357.4043,179.9999,-0.0053,357.4043,179.9999,-0.0053
3.335,587.8787,-1.7836,243.8316,357.4043,179.9999,-0.0053,357.4043,179.9999,-0.0053
3.446,587.6701,-1.8378,243.9001,357.4043,179.9999,-0.0053,357.4043,179.9999,-0.0053
3.557,587.4205,-1.9054,244.0018,357.4043,179.9999,-0.0053,357.4043,179.9999,-0.0053
3.669,587.2129,-1.9632,244.0972,357.4043,179.9999,-0.0053,357.4043,179.9999,-0.0053
3.780,586.9639,-2.0333,244.2196,357.4043,179.9999,-0.0053,357.4043,179.9999,-0.0053
3.891,586.7567,-2.0921,244.3259,357.4043,179.9999,-0.0053,357.4043,179.9999,-0.0053
4.002,586.5081,-2.1626,244.4563,357.4043,179.9999,-0.0053,357.4043,179.9999,-0.0053
4.114,586.2594,-2.2330,244.5885,357.4043,179.9999,-0.0053,357.4043,179.9999,-0.0053
4.224,586.0520,-2.2916,244.6996,357.4043,179.9999,-0.0053,357.4043,179.9999,-0.0053
