time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.4180,4.8499,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.4180,4.8499,250.4659,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.117,597.9604,4.4592,250.4765,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.218,597.4955,4.0666,250.4845,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.327,596.9623,3.6194,250.4916,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.438,596.2420,3.0179,250.5022,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.565,595.4439,2.3534,250.5223,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.677,594.5775,1.6330,250.5564,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.789,593.6509,0.8632,250.6063,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.901,592.8380,0.1880,250.6615,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.011,591.8191,-0.6583,250.7442,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.122,591.1260,-1.2690,250.8131,0.2510,3.8000,-0.4500,359.4285,180.0000,0.0024,0.0000,0.0000,0.0000
1.233,590.5463,-1.7294,250.8936,0.2510,3.8000,-0.4500,357.4558,179.9998,0.0104,0.0000,0.0000,0.0000
1.357,590.1185,-1.9016,250.9682,0.2510,3.8000,-0.4500,356.1738,179.9995,0.0150,0.0000,0.0000,0.0000
1.483,589.7712,-1.8962,251.0384,0.2510,3.8000,-0.4500,355.6281,179.9993,0.0157,0.0000,0.0000,0.0000
1.594,589.4710,-1.8202,251.0391,0.2510,3.8000,-0.4500,355.6281,179.9993,0.0157,0.0000,0.0000,0.0000
1.705,589.2512,-1.7507,250.8523,0.2510,3.8000,-0.4500,355.6281,179.9993,0.0157,0.0000,0.0000,0.0000
1.830,588.9749,-1.6863,250.3264,0.2510,3.8000,-0.4500,355.6281,179.9993,0.0157,0.0000,0.0000,0.0000
1.942,588.7906,-1.6743,249.8294,0.2510,3.8000,-0.4500,355.6281,179.9993,0.0157,0.0000,0.0000,0.0000
2.053,588.5768,-1.6928,249.1669,0.2510,3.8000,-0.4500,355.6281,179.9993,0.0157,0.0000,0.0000,0.0000
2.177,588.3666,-1.7342,248.4778,0.2510,3.8000,-0.4500,355.6281,179.9993,0.0157,0.0000,0.0000,0.0000
2.303,588.1578,-1.7839,247.7861,0.2510,3.8000,-0.4500,355.6281,179.9993,0.0157,0.0000,0.0000,0.0000
2.416,587.9494,-1.8317,247.1010,0.2510,3.8000,-0.4500,355.6281,179.9993,0.0157,0.0000,0.0000,0.0000
2.525,587.7758,-1.8664,246.5363,0.2510,3.8000,-0.4500,355.6281,179.9993,0.0157,0.0000,0.0000,0.0000
2.637,587.5671,-1.9012,245.8651,0.2510,3.8000,-0.4500,355.6281,179.9993,0.0157,0.0000,0.0000,0.0000
2.748,587.3583,-1.9303,245.1993,0.2510,3.8000,-0.4500,355.6281,179.9993,0.0157,0.0000,0.0000,0.0000
2.859,587.1843,-1.9522,244.6471,0.2510,3.8000,-0.4500,355.6280,179.9993,0.0157,0.0000,0.0000,0.0000
2.984,586.9752,-1.9779,243.9867,0.2510,3.8000,-0.4500,355.6281,179.9993,0.0157,0.0000,0.0000,0.0000
3.098,586.7661,-2.0047,243.3276,0.2510,3.8000,-0.4500,355.6281,179.9993,0.0157,0.0000,0.0000,0.0000
3.206,586.5918,-2.0284,242.7791,0.2510,3.8000,-0.4500,355.6281,179.9993,0.0157,0.0000,0.0000,0.0000
3.320,586.3824,-2.0586,242.1212,0.2510,3.8000,-0.4500,355.6281,179.9993,0.0157,0.0000,0.0000,0.0000
3.429,586.1741,-2.0890,241.4410,0.2510,3.8000,-0.4500,355.6281,179.9993,0.0157,0.0000,0.0000,0.0000
3.540,585.9988,-2.1162,240.9032,0.2510,3.8000,-0.4500,355.6281,179.9993,0.0157,0.0000,0.0000,0.0000
3.651,585.7790,-2.1614,240.3971,0.2510,3.8000,-0.4500,355.5494,179.9993,359.9901,0.0000,0.0000,0.0000
3.776,585.5466,-2.2219,240.0659,0.2510,3.8000,-0.4500,355.5494,179.9993,359.9901,0.0000,0.0000,0.0000
3.887,585.3436,-2.2856,239.9096,0.2510,3.8000,-0.4500,355.4723,179.9993,359.9614,0.0000,0.0000,0.0000
3.998,585.0948,-2.3726,239.8295,0.2510,3.8000,-0.4500,355.4723,179.9993,359.9614,0.0000,0.0000,0.0000
4.123,584.8442,-2.4692,239.8302,0.2510,3.8000,-0.4500,355.4723,179.9993,359.9614,0.0000,0.0000,0.0000
4.248,584.5515,-2.5911,239.8969,0.2510,3.8000,-0.4500,355.4004,179.9994,359.9234,0.0000,0.0000,0.0000
4.359,584.3428,-2.6804,239.9712,0.2510,3.8000,-0.4500,355.4004,179.9994,359.9234,0.0000,0.0000,0.0000
4.484,584.0927,-2.7895,240.0787,0.2510,3.8000,-0.4500,355.4004,179.9994,359.9234,0.0000,0.0000,0.0000
4.596,583.8431,-2.8993,240.2002,0.2510,3.8000,-0.4500,355.4004,179.9994,359.9234,0.0000,0.0000,0.0000
4.707,583.6353,-2.9907,240.3085,0.2510,3.8000,-0.4500,355.4004,179.9994,359.9233,0.0000,0.0000,0.0000
4.832,583.3447,-3.1176,240.4673,0.2510,3.8000,-0.4500,355.4004,179.9994,359.9233,0.0000,0.0000,0.0000
4.958,583.0958,-3.2245,240.6073,0.2510,3.8000,-0.4500,355.4004,179.9994,359.9233,0.0000,0.0000,0.0000
5.069,582.8471,-3.3289,240.7494,0.2510,3.8000,-0.4500,355.4004,179.9994,359.9233,0.0000,0.0000,0.0000
5.179,582.6394,-3.4132,240.8610,0.2510,3.8000,-0.4500,355.4004,179.9994,359.9233,0.0000,0.0000,0.0000
5.304,582.3877,-3.5067,240.9259,0.2510,3.8000,-0.4500,355.4004,179.9994,359.9233,0.0000,0.0000,0.0000
5.429,582.0973,-3.6014,240.8786,0.2510,3.8000,-0.4500,355.4004,179.9994,359.9233,0.0000,0.0000,0.0000
5.541,581.8941,-3.6598,240.7647,0.2510,3.8000,-0.4500,355.4004,179.9994,359.9233,0.0000,0.0000,0.0000
5.665,581.6609,-3.7153,240.4646,0.2510,3.8000,-0.4500,355.4004,179.9994,359.9233,0.0000,0.0000,0.0000
5.779,581.4390,-3.7546,239.9939,0.2510,3.8000,-0.4500,355.4004,179.9994,359.9233,0.0000,0.0000,0.0000
5.888,581.2249,-3.7814,239.4046,0.2510,3.8000,-0.4500,355.4004,179.9994,359.9233,0.0000,0.0000,0.0000
5.999,581.0502,-3.7964,238.8515,0.2510,3.8000,-0.4500,355.4004,179.9994,359.9233,0.0000,0.0000,0.0000
6.124,580.8433,-3.8085,238.1522,0.2510,3.8000,-0.4500,355.4004,179.9994,359.9233,0.0000,0.0000,0.0000
6.235,580.6378,-3.8143,237.4445,0.2510,3.8000,-0.4500,355.5522,179.9993,359.9897,0.0000,0.0000,0.0000
6.360,580.4327,-3.8172,236.7417,0.2510,3.8000,-0.4500,355.6899,179.9994,0.0729,0.0000,0.0000,0.0000
6.485,580.2284,-3.8157,236.0450,0.2510,3.8000,-0.4500,355.8892,179.9999,0.2298,0.0000,0.0000,0.0000
6.597,580.0241,-3.8152,235.3371,0.2510,3.8000,-0.4500,355.8892,179.9999,0.2298,0.0000,0.0000,0.0000
6.721,579.8197,-3.8078,234.6645,0.2510,3.8000,-0.4500,356.0753,180.0009,0.4097,0.0000,0.0000,0.0000
6.846,579.6074,-3.8034,234.1254,0.2510,3.8000,-0.4500,356.2491,180.0025,0.5903,0.0000,0.0000,0.0000
6.957,579.3846,-3.8028,233.7453,0.2510,3.8000,-0.4500,356.4263,180.0046,0.7719,0.0000,0.0000,0.0000
7.083,579.1510,-3.8045,233.5131,0.2510,3.8000,-0.4500,356.6042,180.0073,0.9444,0.0000,0.0000,0.0000
7.197,578.9108,-3.8037,233.4043,0.2510,3.8000,-0.4500,356.8576,180.0119,1.1700,0.0000,0.0000,0.0000
7.307,578.7091,-3.7993,233.3815,0.2510,3.8000,-0.4500,357.1172,180.0177,1.3789,0.0000,0.0000,0.0000
7.418,578.4667,-3.7903,233.4106,0.2510,3.8000,-0.4500,357.3167,180.0228,1.5283,0.0000,0.0000,0.0000
7.527,578.2668,-3.7724,233.4652,0.2510,3.8000,-0.4500,357.6840,180.0334,1.7810,0.0000,0.0000,0.0000
7.652,577.9883,-3.7388,233.5737,0.2510,3.8000,-0.4500,358.0433,180.0454,2.0149,0.0000,0.0000,0.0000
7.752,577.7914,-3.7035,233.6653,0.2510,3.8000,-0.4500,358.4167,180.0592,2.2452,0.0000,0.0000,0.0000
7.860,577.5960,-3.6608,233.7655,0.2510,3.8000,-0.4500,358.7755,180.0740,2.4600,0.0000,0.0000,0.0000
7.971,577.3625,-3.6016,233.8943,0.2510,3.8000,-0.4500,359.0728,180.0872,2.6322,0.0000,0.0000,0.0000
8.097,577.1313,-3.5296,234.0278,0.2510,3.8000,-0.4500,359.4439,180.1050,2.8431,0.0000,0.0000,0.0000
8.222,576.9016,-3.4479,234.1649,0.2510,3.8000,-0.4500,359.7383,180.1200,3.0069,0.0000,0.0000,0.0000
8.332,576.6746,-3.3524,234.3028,0.2510,3.8000,-0.4500,0.2008,180.1453,3.2574,0.0000,0.0000,0.0000
8.457,576.4484,-3.2493,234.4429,0.2510,3.8000,-0.4500,0.5006,180.1628,3.4156,0.0000,0.0000,0.0000
8.583,576.2244,-3.1363,234.5829,0.2510,3.8000,-0.4500,0.8039,180.1813,3.5719,0.0000,0.0000,0.0000
8.694,576.0025,-3.0115,234.7221,0.2510,3.8000,-0.4500,1.2551,180.2104,3.7952,0.0000,0.0000,0.0000
8.819,575.7813,-2.8817,234.8631,0.2510,3.8000,-0.4500,1.4850,180.2259,3.9032,0.0000,0.0000,0.0000
8.943,575.5621,-2.7426,235.0042,0.2510,3.8000,-0.4500,1.7930,180.2473,4.0421,0.0000,0.0000,0.0000
9.068,575.3077,-2.5721,235.1698,0.2510,3.8000,-0.4500,2.0996,180.2693,4.1711,0.0000,0.0000,0.0000
9.179,575.1268,-2.4471,235.2894,0.2510,3.8000,-0.4500,2.1749,180.2748,4.2012,0.0000,0.0000,0.0000
9.304,574.9114,-2.2890,235.4312,0.2510,3.8000,-0.4500,2.4873,180.2981,4.3163,0.0000,0.0000,0.0000
9.404,574.7322,-2.1551,235.5502,0.2510,3.8000,-0.4500,2.6440,180.3100,4.3653,0.0000,0.0000,0.0000
9.512,574.5175,-1.9915,235.6931,0.2510,3.8000,-0.4500,2.7994,180.3219,4.4083,0.0000,0.0000,0.0000
9.613,574.3389,-1.8535,235.8129,0.2510,3.8000,-0.4500,2.8757,180.3278,4.4266,0.0000,0.0000,0.0000
9.721,574.1608,-1.7133,235.9323,0.2510,3.8000,-0.4500,3.0356,180.3403,4.4540,0.0000,0.0000,0.0000
