time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.4220,4.4699,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.4220,4.4699,250.0159,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.117,598.9644,4.0792,250.0265,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.218,598.4995,3.6866,250.0345,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.327,597.9664,3.2394,250.0416,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.438,597.2460,2.6379,250.0522,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.565,596.4479,1.9734,250.0723,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.677,595.5815,1.2530,250.1064,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.789,594.6550,0.4832,250.1563,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.901,593.8420,-0.1920,250.2115,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.011,592.8231,-1.0383,250.2943,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.122,592.1300,-1.6445,250.3594,359.4285,180.0000,0.0024,359.4285,180.0000,0.0024
1.233,591.5502,-2.0892,250.4272,357.4558,179.9998,0.0104,357.4558,179.9998,0.0104
1.357,591.1224,-2.2510,250.4939,356.1738,179.9995,0.0150,356.1738,179.9995,0.0150
1.483,590.7751,-2.2411,250.5607,355.6281,179.9993,0.0157,355.6281,179.9993,0.0157
1.594,590.4749,-2.1650,250.5614,355.6281,179.9993,0.0157,355.6281,179.9993,0.0157
1.705,590.2551,-2.0956,250.3747,355.6281,179.9993,0.0157,355.6281,179.9993,0.0157
1.830,589.9788,-2.0311,249.8487,355.6281,179.9993,0.0157,355.6281,179.9993,0.0157
1.942,589.7946,-2.0192,249.3518,355.6281,179.9993,0.0157,355.6281,179.9993,0.0157
2.053,589.5807,-2.0377,248.6893,355.6281,179.9993,0.0157,355.6281,179.9993,0.0157
2.177,589.3705,-2.0790,248.0001,355.6281,179.9993,0.0157,355.6281,179.9993,0.0157
2.303,589.1617,-2.1287,247.3084,355.6281,179.9993,0.0157,355.6281,179.9993,0.0157
2.416,588.9533,-2.1765,246.6233,355.6281,179.9993,0.0157,355.6281,179.9993,0.0157
2.525,588.7797,-2.2113,246.0586,355.6281,179.9993,0.0157,355.6281,179.9993,0.0157
2.637,588.5710,-2.2461,245.3875,355.6281,179.9993,0.0157,355.6281,179.9993,0.0157
2.748,588.3622,-2.2752,244.7216,355.6281,179.9993,0.0157,355.6281,179.9993,0.0157
2.859,588.1882,-2.2971,244.1694,355.6280,179.9993,0.0157,355.6280,179.9993,0.0157
2.984,587.9791,-2.3228,243.5090,355.6281,179.9993,0.0157,355.6281,179.9993,0.0157
3.098,587.7700,-2.3495,242.8499,355.6281,179.9993,0.0157,355.6281,179.9993,0.0157
3.206,587.5957,-2.3732,242.3014,355.6281,179.9993,0.0157,355.6281,179.9993,0.0157
3.320,587.3863,-2.4035,241.6435,355.6281,179.9993,0.0157,355.6281,179.9993,0.0157
3.429,587.1780,-2.4339,240.9634,355.6281,179.9993,0.0157,355.6281,179.9993,0.0157
3.540,587.0027,-2.4611,240.4256,355.6281,179.9993,0.0157,355.6281,179.9993,0.0157
3.651,586.7831,-2.5052,239.9190,355.5494,179.9993,359.9901,355.5494,179.9993,359.9901
3.776,586.5507,-2.5657,239.5878,355.5494,179.9993,359.9901,355.5494,179.9993,359.9901
3.887,586.3479,-2.6283,239.4311,355.4723,179.9993,359.9614,355.4723,179.9993,359.9614
3.998,586.0991,-2.7153,239.3510,355.4723,179.9993,359.9614,355.4723,179.9993,359.9614
4.123,585.8485,-2.8118,239.3517,355.4723,179.9993,359.9614,355.4723,179.9993,359.9614
4.248,585.5560,-2.9324,239.4180,355.4004,179.9994,359.9234,355.4004,179.9994,359.9234
4.359,585.3473,-3.0218,239.4923,355.4004,179.9994,359.9234,355.4004,179.9994,359.9234
4.484,585.0972,-3.1308,239.5998,355.4004,179.9994,359.9234,355.4004,179.9994,359.9234
4.596,584.8476,-3.2407,239.7213,355.4004,179.9994,359.9234,355.4004,179.9994,359.9234
4.707,584.6398,-3.3321,239.8296,355.4004,179.9994,359.9233,355.4004,179.9994,359.9233
4.832,584.3492,-3.4590,239.9883,355.4004,179.9994,359.9233,355.4004,179.9994,359.9233
4.958,584.1003,-3.5658,240.1284,355.4004,179.9994,359.9233,355.4004,179.9994,359.9233
5.069,583.8516,-3.6702,240.2704,355.4004,179.9994,359.9233,355.4004,179.9994,359.9233
5.179,583.6439,-3.7546,240.3821,355.4004,179.9994,359.9233,355.4004,179.9994,359.9233
5.304,583.3922,-3.8480,240.4470,355.4004,179.9994,359.9233,355.4004,179.9994,359.9233
5.429,583.1018,-3.9427,240.3997,355.4004,179.9994,359.9233,355.4004,179.9994,359.9233
5.541,582.8986,-4.0011,240.2858,355.4004,179.9994,359.9233,355.4004,179.9994,359.9233
5.665,582.6654,-4.0567,239.9857,355.4004,179.9994,359.9233,355.4004,179.9994,359.9233
5.779,582.4435,-4.0959,239.5149,355.4004,179.9994,359.9233,355.4004,179.9994,359.9233
5.888,582.2294,-4.1227,238.9257,355.4004,179.9994,359.9233,355.4004,179.9994,359.9233
5.999,582.0547,-4.1377,238.3726,355.4004,179.9994,359.9233,355.4004,179.9994,359.9233
6.124,581.8478,-4.1499,237.6733,355.4004,179.9994,359.9233,355.4004,179.9994,359.9233
6.235,581.6418,-4.1581,236.9664,355.5522,179.9993,359.9897,355.5522,179.9993,359.9897
6.360,581.4362,-4.1635,236.2643,355.6899,179.9994,0.0729,355.6899,179.9994,0.0729
6.485,581.2308,-4.1665,235.5686,355.8892,179.9999,0.2298,355.8892,179.9999,0.2298
6.597,581.0266,-4.1659,234.8607,355.8892,179.9999,0.2298,355.8892,179.9999,0.2298
