time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.107,598.6016,5.0092,250.4596,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.220,598.2030,4.6661,250.4651,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.333,597.6889,4.2305,250.4700,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.458,597.0726,3.7129,250.4743,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.570,596.3656,3.1227,250.4781,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.681,595.7147,2.5814,250.4808,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.792,594.8680,1.8789,250.4798,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.905,594.1135,1.2539,250.4721,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.014,593.1563,0.4615,250.4530,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.114,592.3199,-0.2305,250.4287,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.223,591.4518,-0.9484,250.3969,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.334,590.3728,-1.8406,250.3494,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.445,589.5308,-2.5841,250.3111,0.2510,3.8000,-0.4500,359.4241,180.0000,0.0017,0.0000,0.0000,0.0000
1.559,588.8386,-3.2387,250.3056,0.2510,3.8000,-0.4500,355.5000,179.9995,0.0109,0.0000,0.0000,0.0000
1.682,588.3504,-3.5515,250.3186,0.2510,3.8000,-0.4500,352.6574,179.9989,0.0127,0.0000,0.0000,0.0000
1.795,587.9707,-3.6406,250.3422,0.2510,3.8000,-0.4500,351.2582,179.9987,0.0058,0.0000,0.0000,0.0000
1.904,587.6995,-3.6390,250.3646,0.2510,3.8000,-0.4500,350.7092,179.9987,-0.0053,0.0000,0.0000,0.0000
2.028,587.4036,-3.6291,250.3893,0.2510,3.8000,-0.4500,350.7092,179.9987,-0.0053,0.0000,0.0000,0.0000
2.154,587.0795,-3.6794,250.4130,0.2510,3.8000,-0.4500,350.7092,179.9987,-0.0053,0.0000,0.0000,0.0000
2.279,586.8111,-3.7909,250.4259,0.2510,3.8000,-0.4500,350.7092,179.9987,-0.0053,0.0000,0.0000,0.0000
2.390,586.5469,-3.9531,250.4329,0.2510,3.8000,-0.4500,350.7092,179.9987,-0.0053,0.0000,0.0000,0.0000
2.501,586.3286,-4.1123,250.4361,0.2510,3.8000,-0.4500,350.7092,179.9987,-0.0053,0.0000,0.0000,0.0000
2.601,586.1110,-4.2811,250.4386,0.2510,3.8000,-0.4500,350.7092,179.9987,-0.0053,0.0000,0.0000,0.0000
2.724,585.8504,-4.4845,250.4424,0.2510,3.8000,-0.4500,350.7092,179.9987,-0.0053,0.0000,0.0000,0.0000
2.848,585.5900,-4.6812,250.4478,0.2510,3.8000,-0.4500,350.7092,179.9987,-0.0053,0.0000,0.0000,0.0000
2.963,585.3297,-4.8690,250.4551,0.2510,3.8000,-0.4500,350.7092,179.9987,-0.0053,0.0000,0.0000,0.0000
3.085,585.0689,-5.0492,250.4624,0.2510,3.8000,-0.4500,350.7093,179.9987,-0.0053,0.0000,0.0000,0.0000
3.199,584.8082,-5.2245,250.4651,0.2510,3.8000,-0.4500,350.7093,179.9987,-0.0053,0.0000,0.0000,0.0000
3.321,584.5470,-5.4006,250.4615,0.2510,3.8000,-0.4500,350.6759,179.9987,359.8382,0.0000,0.0000,0.0000
3.432,584.2870,-5.5738,250.4527,0.2510,3.8000,-0.4500,350.6759,179.9987,359.8382,0.0000,0.0000,0.0000
3.557,584.0259,-5.7524,250.4384,0.2510,3.8000,-0.4500,350.6927,179.9986,359.5892,0.0000,0.0000,0.0000
3.668,583.8088,-5.9012,250.4236,0.2510,3.8000,-0.4500,350.7372,179.9982,359.4311,0.0000,0.0000,0.0000
3.779,583.5495,-6.0791,250.4029,0.2510,3.8000,-0.4500,350.7618,179.9980,359.3535,0.0000,0.0000,0.0000
3.890,583.2895,-6.2589,250.3783,0.2510,3.8000,-0.4500,350.8725,179.9965,359.1339,0.0000,0.0000,0.0000
4.002,583.0735,-6.4076,250.3554,0.2510,3.8000,-0.4500,350.9652,179.9949,358.9958,0.0000,0.0000,0.0000
4.126,582.8137,-6.5856,250.3245,0.2510,3.8000,-0.4500,351.1770,179.9907,358.7401,0.0000,0.0000,0.0000
4.237,582.5557,-6.7596,250.2922,0.2510,3.8000,-0.4500,351.2292,179.9895,358.6826,0.0000,0.0000,0.0000
4.349,582.3400,-6.9033,250.2638,0.2510,3.8000,-0.4500,351.4256,179.9847,358.5305,0.0000,0.0000,0.0000
4.462,582.0818,-7.0720,250.2298,0.2510,3.8000,-0.4500,351.5655,179.9809,358.4443,0.0000,0.0000,0.0000
4.584,581.8236,-7.2385,250.2186,0.2510,3.8000,-0.4500,351.8647,179.9724,358.3070,0.0000,0.0000,0.0000
4.698,581.5662,-7.4034,250.2366,0.2510,3.8000,-0.4500,352.0250,179.9675,358.2620,0.0000,0.0000,0.0000
4.806,581.3518,-7.5367,250.2636,0.2510,3.8000,-0.4500,352.3564,179.9571,358.1958,0.0000,0.0000,0.0000
4.920,581.0951,-7.6906,250.3059,0.2510,3.8000,-0.4500,352.6927,179.9464,358.1818,0.0000,0.0000,0.0000
5.031,580.8387,-7.8351,250.3544,0.2510,3.8000,-0.4500,353.1176,179.9329,358.2111,0.0000,0.0000,0.0000
5.139,580.6251,-7.9491,250.3983,0.2510,3.8000,-0.4500,353.3644,179.9252,358.2479,0.0000,0.0000,0.0000
5.251,580.3693,-8.0721,250.4511,0.2510,3.8000,-0.4500,353.8796,179.9099,358.3816,0.0000,0.0000,0.0000
5.376,580.1133,-8.1820,250.5038,0.2510,3.8000,-0.4500,354.3842,179.8963,358.5546,0.0000,0.0000,0.0000
5.501,579.8574,-8.2776,250.5552,0.2510,3.8000,-0.4500,354.8728,179.8848,358.7602,0.0000,0.0000,0.0000
5.612,579.6016,-8.3574,250.6040,0.2510,3.8000,-0.4500,355.3642,179.8751,358.9994,0.0000,0.0000,0.0000
5.724,579.3887,-8.4110,250.6420,0.2510,3.8000,-0.4500,355.7837,179.8686,359.2250,0.0000,0.0000,0.0000
5.848,579.1335,-8.4591,250.6834,0.2510,3.8000,-0.4500,356.3027,179.8629,359.5269,0.0000,0.0000,0.0000
5.962,578.8790,-8.4887,250.7197,0.2510,3.8000,-0.4500,356.8388,179.8600,359.8615,0.0000,0.0000,0.0000
6.073,578.6252,-8.4990,250.7515,0.2510,3.8000,-0.4500,357.3904,179.8604,0.2270,0.0000,0.0000,0.0000
6.182,578.4150,-8.4926,250.7757,0.2510,3.8000,-0.4500,357.8605,179.8636,0.5533,0.0000,0.0000,0.0000
6.293,578.1647,-8.4666,250.8044,0.2510,3.8000,-0.4500,358.4353,179.8713,0.9686,0.0000,0.0000,0.0000
6.404,577.9579,-8.4293,250.8300,0.2510,3.8000,-0.4500,358.9220,179.8810,1.3323,0.0000,0.0000,0.0000
6.517,577.7133,-8.3656,250.8647,0.2510,3.8000,-0.4500,359.5136,179.8971,1.7868,0.0000,0.0000,0.0000
6.640,577.4724,-8.2811,250.9053,0.2510,3.8000,-0.4500,0.1116,179.9182,2.2578,0.0000,0.0000,0.0000
6.765,577.2360,-8.1755,250.9530,0.2510,3.8000,-0.4500,0.7133,179.9445,2.7415,0.0000,0.0000,0.0000
