time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.107,599.6057,4.6292,250.0096,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.220,599.2070,4.2861,250.0151,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.333,598.6929,3.8505,250.0200,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.458,598.0766,3.3329,250.0243,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.570,597.3696,2.7427,250.0282,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.681,596.7187,2.2014,250.0308,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.792,595.8720,1.4989,250.0298,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.905,595.1176,0.8739,250.0221,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.014,594.1603,0.0815,250.0031,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.114,593.3239,-0.6105,249.9787,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.223,592.4559,-1.3284,249.9469,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.334,591.3768,-2.2206,249.8994,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.445,590.5347,-2.9596,249.8573,359.4241,180.0000,0.0017,359.4241,180.0000,0.0017
1.559,589.8425,-3.5824,249.8271,355.5000,179.9995,0.0109,355.5000,179.9995,0.0109
1.682,589.3543,-3.8711,249.8237,352.6574,179.9989,0.0127,352.6574,179.9989,0.0127
1.795,588.9747,-3.9479,249.8397,351.2582,179.9987,0.0058,351.2582,179.9987,0.0058
1.904,588.7036,-3.9413,249.8592,350.7092,179.9987,-0.0053,350.7092,179.9987,-0.0053
2.028,588.4076,-3.9314,249.8839,350.7092,179.9987,-0.0053,350.7092,179.9987,-0.0053
2.154,588.0836,-3.9817,249.9076,350.7092,179.9987,-0.0053,350.7092,179.9987,-0.0053
2.279,587.8151,-4.0932,249.9205,350.7092,179.9987,-0.0053,350.7092,179.9987,-0.0053
2.390,587.5510,-4.2554,249.9275,350.7092,179.9987,-0.0053,350.7092,179.9987,-0.0053
2.501,587.3326,-4.4146,249.9307,350.7092,179.9987,-0.0053,350.7092,179.9987,-0.0053
2.601,587.1151,-4.5834,249.9332,350.7092,179.9987,-0.0053,350.7092,179.9987,-0.0053
2.724,586.8544,-4.7868,249.9370,350.7092,179.9987,-0.0053,350.7092,179.9987,-0.0053
2.848,586.5941,-4.9835,249.9424,350.7092,179.9987,-0.0053,350.7092,179.9987,-0.0053
2.963,586.3337,-5.1712,249.9497,350.7092,179.9987,-0.0053,350.7092,179.9987,-0.0053
3.085,586.0729,-5.3515,249.9570,350.7093,179.9987,-0.0053,350.7093,179.9987,-0.0053
3.199,585.8123,-5.5268,249.9597,350.7093,179.9987,-0.0053,350.7093,179.9987,-0.0053
3.321,585.5521,-5.6999,249.9564,350.6759,179.9987,359.8382,350.6759,179.9987,359.8382
3.432,585.2921,-5.8731,249.9475,350.6759,179.9987,359.8382,350.6759,179.9987,359.8382
3.557,585.0326,-6.0475,249.9341,350.6927,179.9986,359.5892,350.6927,179.9986,359.5892
3.668,584.8166,-6.1939,249.9199,350.7372,179.9982,359.4311,350.7372,179.9982,359.4311
3.779,584.5577,-6.3707,249.8996,350.7618,179.9980,359.3535,350.7618,179.9980,359.3535
3.890,584.2991,-6.5477,249.8761,350.8725,179.9965,359.1339,350.8725,179.9965,359.1339
4.002,584.0840,-6.6948,249.8542,350.9652,179.9949,358.9958,350.9652,179.9949,358.9958
4.126,583.8259,-6.8702,249.8251,351.1770,179.9907,358.7401,351.1770,179.9907,358.7401
4.237,583.5683,-7.0436,249.7932,351.2292,179.9895,358.6826,351.2292,179.9895,358.6826
4.349,583.3535,-7.1864,249.7663,351.4256,179.9847,358.5305,351.4256,179.9847,358.5305
4.462,583.0959,-7.3548,249.7333,351.5655,179.9809,358.4443,351.5655,179.9809,358.4443
4.584,582.8386,-7.5215,249.7240,351.8647,179.9724,358.3070,351.8647,179.9724,358.3070
4.698,582.5815,-7.6870,249.7431,352.0250,179.9675,358.2620,352.0250,179.9675,358.2620
4.806,582.3676,-7.8219,249.7720,352.3564,179.9571,358.1958,352.3564,179.9571,358.1958
4.920,582.1111,-7.9784,249.8163,352.6927,179.9464,358.1818,352.6927,179.9464,358.1818
5.031,581.8547,-8.1272,249.8671,353.1176,179.9329,358.2111,353.1176,179.9329,358.2111
5.139,581.6409,-8.2439,249.9122,353.3644,179.9252,358.2479,353.3644,179.9252,358.2479
5.251,581.3844,-8.3736,249.9678,353.8796,179.9099,358.3816,353.8796,179.9099,358.3816
5.376,581.1275,-8.4908,250.0231,354.3842,179.8963,358.5546,354.3842,179.8963,358.5546
5.501,580.8703,-8.5941,250.0770,354.8728,179.8848,358.7602,354.8728,179.8848,358.7602
5.612,580.6132,-8.6822,250.1284,355.3642,179.8751,358.9994,355.3642,179.8751,358.9994
