time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8739,4.8678,250.0035,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.107,599.6597,4.6766,250.0081,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.209,599.2817,4.3500,250.0130,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.321,598.8761,4.0053,250.0167,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.431,598.2924,3.5139,250.0207,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.543,597.7335,3.0463,250.0236,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.654,596.9852,2.4230,250.0272,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.765,596.3038,1.8570,250.0332,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.889,595.2721,1.0016,250.0500,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.001,594.4857,0.3505,250.0689,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.116,593.4941,-0.4699,250.0993,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.226,592.7593,-1.0902,250.1264,359.8625,180.0000,0.0005,359.8625,180.0000,0.0005
1.337,592.1506,-1.5503,250.1587,358.5455,179.9999,0.0059,358.5455,179.9999,0.0059
1.446,591.7734,-1.7049,250.1915,357.7072,179.9998,0.0092,357.7072,179.9998,0.0092
1.558,591.4067,-1.7065,250.2381,357.3031,179.9997,0.0107,357.3031,179.9997,0.0107
1.668,591.1420,-1.6319,250.2807,357.3032,179.9997,0.0107,357.3032,179.9997,0.0107
1.779,590.8515,-1.5295,250.3327,357.3032,179.9997,0.0107,357.3032,179.9997,0.0107
1.890,590.5773,-1.4633,250.3834,357.3032,179.9997,0.0107,357.3032,179.9997,0.0107
2.002,590.3557,-1.4503,250.4236,357.3032,179.9997,0.0107,357.3032,179.9997,0.0107
2.127,590.0942,-1.4812,250.4694,357.3032,179.9997,0.0107,357.3032,179.9997,0.0107
2.238,589.8354,-1.5474,250.5134,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
2.363,589.5781,-1.6303,250.5566,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
2.488,589.3215,-1.7151,250.5998,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
2.599,589.0652,-1.7937,250.6434,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
2.710,588.8092,-1.8633,250.6875,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
2.836,588.5532,-1.9253,250.7319,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
2.960,588.2971,-1.9825,250.7755,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
3.086,588.0400,-2.0372,250.8025,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
3.196,587.7833,-2.0907,250.8033,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
3.322,587.5275,-2.1443,250.7812,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
3.447,587.2727,-2.1985,250.7422,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
3.557,587.0185,-2.2533,250.6915,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
3.681,586.7647,-2.3084,250.6331,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
3.782,586.5533,-2.3544,250.5806,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
3.904,586.2999,-2.4094,250.5144,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
4.004,586.0887,-2.4551,250.4576,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
4.127,585.8350,-2.5095,250.3880,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
4.239,585.5809,-2.5636,250.3208,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
4.348,585.3673,-2.6091,250.2865,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
4.460,585.1102,-2.6646,250.2814,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
4.571,584.8538,-2.7207,250.3104,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
4.684,584.6408,-2.7672,250.3543,357.3032,179.9997,0.0106,357.3032,179.9997,0.0106
4.795,584.3860,-2.8222,250.4236,357.3435,179.9997,359.9396,357.3435,179.9997,359.9396
4.903,584.1742,-2.8667,250.4902,357.3435,179.9997,359.9397,357.3435,179.9997,359.9397
5.028,583.9203,-2.9179,250.5751,357.4591,179.9995,359.8124,357.4591,179.9995,359.8124
5.155,583.6243,-2.9738,250.6773,357.5917,179.9989,359.7147,357.5917,179.9989,359.7147
5.264,583.4132,-3.0108,250.7511,357.5917,179.9989,359.7147,357.5917,179.9989,359.7147
5.365,583.2023,-3.0450,250.8250,357.8291,179.9975,359.6215,357.8291,179.9975,359.6215
5.475,582.9493,-3.0821,250.9138,357.8291,179.9975,359.6215,357.8291,179.9975,359.6215
5.584,582.7386,-3.1094,250.9876,358.1567,179.9952,359.5764,358.1567,179.9952,359.5764
