time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.107,598.5438,4.9589,250.4605,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.209,598.2030,4.6661,250.4651,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.319,597.7820,4.3091,250.4692,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.444,597.1819,3.8045,250.4736,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.570,596.3656,3.1227,250.4788,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.694,595.5795,2.4682,250.4939,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.807,594.7243,1.7567,250.5316,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.917,593.9653,1.1249,250.5835,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.042,593.0051,0.3253,250.6715,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.154,592.0374,-0.4811,250.7815,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.265,591.4492,-0.9927,250.8700,0.2510,3.8000,-0.4500,359.2179,180.0000,0.0033,0.0000,0.0000,0.0000
1.390,590.8715,-1.3381,250.9995,0.2510,3.8000,-0.4500,357.8340,179.9998,0.0093,0.0000,0.0000,0.0000
1.501,590.5560,-1.3829,251.0974,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
1.626,590.1843,-1.3011,251.2394,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
1.736,589.9465,-1.2190,251.3444,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
1.851,589.6772,-1.1494,251.4710,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
1.973,589.4178,-1.1332,251.5984,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
2.085,589.2059,-1.1595,251.7056,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
2.195,588.9545,-1.2255,251.8356,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
2.295,588.7465,-1.2963,251.9450,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
2.404,588.5392,-1.3714,252.0555,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
2.515,588.2909,-1.4583,252.1886,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
2.640,588.0426,-1.5369,252.3206,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
2.765,587.7943,-1.6065,252.4507,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
2.876,587.5457,-1.6694,252.5788,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
3.001,587.2969,-1.7285,252.6953,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
3.126,587.0183,-1.7853,252.5579,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
3.237,586.8317,-1.8144,252.2249,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
3.349,586.6160,-1.8416,251.6674,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
3.449,586.4398,-1.8611,251.1357,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
3.571,586.2300,-1.8833,250.4652,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
3.697,586.0205,-1.9056,249.7846,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
3.821,585.8110,-1.9287,249.1046,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
3.935,585.6014,-1.9526,248.4285,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
4.043,585.4265,-1.9731,247.8679,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
4.169,585.1814,-2.0025,247.0866,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
4.280,585.0062,-2.0239,246.5303,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
4.404,584.7965,-2.0496,245.8518,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
4.518,584.5865,-2.0747,245.1758,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
4.629,584.3685,-2.1053,244.6252,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
4.740,584.1775,-2.1374,244.2990,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
4.852,583.9370,-2.1840,244.0556,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0116,0.0000,0.0000,0.0000
4.974,583.6880,-2.2371,243.9347,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
5.099,583.4360,-2.2941,243.9001,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
5.199,583.2258,-2.3431,243.9201,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
5.307,582.9746,-2.4022,243.9866,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
5.432,582.7244,-2.4600,244.0842,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
5.534,582.5167,-2.5062,244.1810,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
5.642,582.3094,-2.5501,244.2870,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
5.766,582.0200,-2.6067,244.4451,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
5.877,581.8138,-2.6433,244.5624,0.2510,3.8000,-0.4500,357.2921,179.9997,0.0115,0.0000,0.0000,0.0000
5.988,581.5667,-2.6825,244.7064,0.2510,3.8000,-0.4500,357.2922,179.9997,0.0115,0.0000,0.0000,0.0000
6.113,581.3200,-2.7136,244.8506,0.2510,3.8000,-0.4500,357.6252,179.9997,359.9933,0.0000,0.0000,0.0000
6.213,581.1149,-2.7369,244.9737,0.2510,3.8000,-0.4500,357.6252,179.9997,359.9933,0.0000,0.0000,0.0000
6.321,580.9103,-2.7531,245.0959,0.2510,3.8000,-0.4500,357.8769,179.9997,0.0319,0.0000,0.0000,0.0000
6.446,580.6245,-2.7689,245.2679,0.2510,3.8000,-0.4500,358.1154,180.0000,0.0921,0.0000,0.0000,0.0000
6.571,580.3804,-2.7727,245.4132,0.2510,3.8000,-0.4500,358.4305,180.0008,0.2048,0.0000,0.0000,0.0000
6.696,580.1361,-2.7699,245.5520,0.2510,3.8000,-0.4500,358.6684,180.0019,0.3152,0.0000,0.0000,0.0000
6.822,579.8915,-2.7608,245.6823,0.2510,3.8000,-0.4500,358.8218,180.0028,0.3902,0.0000,0.0000,0.0000
