time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.121,598.5438,4.9589,250.4605,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.233,598.2030,4.6661,250.4652,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.360,597.5941,4.1497,250.4819,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.470,597.0759,3.7129,250.5097,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.595,596.3737,3.1227,250.5654,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.721,595.4569,2.3534,250.6623,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.832,594.7452,1.7567,250.7520,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.943,593.8359,0.9947,250.8807,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.054,593.0367,0.3253,251.0039,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.179,591.8618,-0.6583,251.1978,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.305,590.9969,-1.4290,251.3559,0.2510,3.8000,-0.4500,359.0953,180.0000,0.0042,0.0000,0.0000,0.0000
1.417,590.5018,-1.8161,251.4651,0.2510,3.8000,-0.4500,357.4384,179.9997,0.0117,0.0000,0.0000,0.0000
1.527,590.0565,-1.9968,251.5797,0.2510,3.8000,-0.4500,356.1487,179.9994,0.0167,0.0000,0.0000,0.0000
1.652,589.7012,-1.9847,251.6844,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
1.764,589.3937,-1.8998,251.7811,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
1.876,589.1573,-1.8377,251.8566,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
1.986,588.8870,-1.8105,251.9404,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
2.112,588.6245,-1.8436,252.0172,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
2.237,588.3660,-1.9251,252.0882,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
2.348,588.1097,-2.0348,252.1555,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
2.460,587.8540,-2.1537,252.2170,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
2.572,587.6403,-2.2497,252.2565,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
2.696,587.3826,-2.3556,252.2878,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
2.807,587.1255,-2.4499,252.2926,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
2.932,586.8732,-2.5320,252.2346,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
3.043,586.6260,-2.6044,252.1094,0.2510,3.8000,-0.4500,355.6013,179.9992,0.0174,0.0000,0.0000,0.0000
3.154,586.4240,-2.6600,251.9543,0.2510,3.8000,-0.4500,355.6013,179.9992,0.0174,0.0000,0.0000,0.0000
3.265,586.1879,-2.7210,251.6809,0.2510,3.8000,-0.4500,355.6013,179.9992,0.0174,0.0000,0.0000,0.0000
3.377,585.9961,-2.7678,251.3853,0.2510,3.8000,-0.4500,355.6013,179.9992,0.0174,0.0000,0.0000,0.0000
3.487,585.7700,-2.8207,250.9696,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
3.612,585.5467,-2.8720,250.5131,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
3.738,585.2878,-2.9312,249.9534,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
3.850,585.1035,-2.9735,249.5431,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
3.975,584.8829,-3.0240,249.0379,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
4.086,584.6631,-3.0740,248.5194,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
4.196,584.4803,-3.1154,248.0791,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
4.321,584.2258,-3.1723,247.4386,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
4.432,584.0453,-3.2114,246.9591,0.2510,3.8000,-0.4500,355.6013,179.9993,0.0174,0.0000,0.0000,0.0000
4.556,583.8290,-3.2581,246.3645,0.2510,3.8000,-0.4500,355.5998,179.9993,359.9373,0.0000,0.0000,0.0000
4.656,583.6492,-3.2956,245.8722,0.2510,3.8000,-0.4500,355.5998,179.9993,359.9373,0.0000,0.0000,0.0000
4.765,583.4323,-3.3416,245.3028,0.2510,3.8000,-0.4500,355.5998,179.9993,359.9373,0.0000,0.0000,0.0000
4.876,583.2504,-3.3811,244.8487,0.2510,3.8000,-0.4500,355.5998,179.9993,359.9373,0.0000,0.0000,0.0000
4.990,583.0289,-3.4307,244.3513,0.2510,3.8000,-0.4500,355.5998,179.9993,359.9373,0.0000,0.0000,0.0000
5.112,582.8013,-3.4858,243.9445,0.2510,3.8000,-0.4500,355.5998,179.9993,359.9373,0.0000,0.0000,0.0000
5.226,582.5674,-3.5461,243.6248,0.2510,3.8000,-0.4500,355.5998,179.9993,359.9373,0.0000,0.0000,0.0000
5.335,582.3685,-3.5992,243.4136,0.2510,3.8000,-0.4500,355.5998,179.9993,359.9373,0.0000,0.0000,0.0000
5.446,582.1255,-3.6649,243.2146,0.2510,3.8000,-0.4500,355.5998,179.9993,359.9373,0.0000,0.0000,0.0000
5.557,581.9203,-3.7198,243.0833,0.2510,3.8000,-0.4500,355.5998,179.9993,359.9373,0.0000,0.0000,0.0000
5.682,581.6304,-3.7949,242.9362,0.2510,3.8000,-0.4500,355.5998,179.9993,359.9373,0.0000,0.0000,0.0000
5.807,581.3803,-3.8559,242.8333,0.2510,3.8000,-0.4500,355.5998,179.9993,359.9373,0.0000,0.0000,0.0000
5.931,581.1292,-3.9107,242.7424,0.2510,3.8000,-0.4500,355.8490,179.9990,359.9123,0.0000,0.0000,0.0000
6.032,580.9199,-3.9529,242.6745,0.2510,3.8000,-0.4500,355.9320,179.9989,359.9184,0.0000,0.0000,0.0000
6.154,580.6691,-3.9962,242.5972,0.2510,3.8000,-0.4500,356.1800,179.9986,359.9493,0.0000,0.0000,0.0000
6.267,580.4186,-4.0308,242.5229,0.2510,3.8000,-0.4500,356.5038,179.9986,0.0538,0.0000,0.0000,0.0000
6.390,580.1685,-4.0591,242.4524,0.2510,3.8000,-0.4500,356.7326,179.9990,0.1508,0.0000,0.0000,0.0000
6.515,579.9182,-4.0796,242.3905,0.2510,3.8000,-0.4500,356.9556,179.9998,0.2614,0.0000,0.0000,0.0000
6.626,579.6684,-4.0880,242.3374,0.2510,3.8000,-0.4500,357.3929,180.0027,0.5192,0.0000,0.0000,0.0000
6.752,579.4173,-4.0931,242.2956,0.2510,3.8000,-0.4500,357.5418,180.0042,0.6169,0.0000,0.0000,0.0000
6.865,579.1674,-4.0837,242.2740,0.2510,3.8000,-0.4500,357.9817,180.0101,0.9135,0.0000,0.0000,0.0000
