time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.121,599.5479,4.5789,250.0105,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.233,599.2070,4.2861,250.0152,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.360,598.5981,3.7697,250.0319,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.470,598.0800,3.3329,250.0597,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.595,597.3777,2.7427,250.1154,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.721,596.4609,1.9734,250.2123,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.832,595.7492,1.3767,250.3020,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.943,594.8399,0.6147,250.4307,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.054,594.0407,-0.0547,250.5539,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.179,592.8658,-1.0383,250.7478,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.305,592.0009,-1.8019,250.9000,359.0953,180.0000,0.0042,359.0953,180.0000,0.0042
1.417,591.5057,-2.1759,250.9986,357.4384,179.9997,0.0117,357.4384,179.9997,0.0117
1.527,591.0604,-2.3460,251.1051,356.1487,179.9994,0.0167,356.1487,179.9994,0.0167
1.652,590.7051,-2.3294,251.2066,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
1.764,590.3976,-2.2445,251.3033,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
1.876,590.1613,-2.1823,251.3788,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
1.986,589.8909,-2.1552,251.4626,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
2.112,589.6284,-2.1883,251.5394,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
2.237,589.3699,-2.2698,251.6104,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
2.348,589.1136,-2.3794,251.6777,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
2.460,588.8579,-2.4983,251.7392,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
2.572,588.6442,-2.5944,251.7786,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
2.696,588.3865,-2.7003,251.8100,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
2.807,588.1295,-2.7945,251.8147,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
2.932,587.8771,-2.8766,251.7567,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
3.043,587.6299,-2.9491,251.6316,355.6013,179.9992,0.0174,355.6013,179.9992,0.0174
3.154,587.4279,-3.0047,251.4764,355.6013,179.9992,0.0174,355.6013,179.9992,0.0174
3.265,587.1918,-3.0657,251.2031,355.6013,179.9992,0.0174,355.6013,179.9992,0.0174
3.377,587.0000,-3.1125,250.9075,355.6013,179.9992,0.0174,355.6013,179.9992,0.0174
3.487,586.7739,-3.1654,250.4918,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
3.612,586.5506,-3.2167,250.0353,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
3.738,586.2917,-3.2759,249.4756,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
3.850,586.1074,-3.3181,249.0653,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
3.975,585.8868,-3.3686,248.5601,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
4.086,585.6670,-3.4187,248.0415,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
4.196,585.4843,-3.4601,247.6013,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
4.321,585.2297,-3.5169,246.9608,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
4.432,585.0492,-3.5560,246.4812,355.6013,179.9993,0.0174,355.6013,179.9993,0.0174
4.556,584.8334,-3.6014,245.8868,355.5998,179.9993,359.9373,355.5998,179.9993,359.9373
4.656,584.6536,-3.6388,245.3944,355.5998,179.9993,359.9373,355.5998,179.9993,359.9373
4.765,584.4367,-3.6849,244.8251,355.5998,179.9993,359.9373,355.5998,179.9993,359.9373
4.876,584.2548,-3.7243,244.3710,355.5998,179.9993,359.9373,355.5998,179.9993,359.9373
4.990,584.0333,-3.7740,243.8736,355.5998,179.9993,359.9373,355.5998,179.9993,359.9373
5.112,583.8057,-3.8290,243.4668,355.5998,179.9993,359.9373,355.5998,179.9993,359.9373
5.226,583.5718,-3.8894,243.1471,355.5998,179.9993,359.9373,355.5998,179.9993,359.9373
5.335,583.3729,-3.9425,242.9359,355.5998,179.9993,359.9373,355.5998,179.9993,359.9373
5.446,583.1299,-4.0081,242.7369,355.5998,179.9993,359.9373,355.5998,179.9993,359.9373
5.557,582.9247,-4.0631,242.6056,355.5998,179.9993,359.9373,355.5998,179.9993,359.9373
5.682,582.6348,-4.1382,242.4585,355.5998,179.9993,359.9373,355.5998,179.9993,359.9373
5.807,582.3847,-4.1991,242.3555,355.5998,179.9993,359.9373,355.5998,179.9993,359.9373
