time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8000,4.8007,250.0055,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8000,4.8007,250.0055,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.102,599.4866,4.5258,250.0122,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.212,599.1292,4.2196,250.0172,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.323,598.5972,3.7697,250.0226,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.434,598.0768,3.3329,250.0251,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.544,597.3708,2.7427,250.0187,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.656,596.7219,2.2014,250.0025,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.769,595.8784,1.4989,249.9685,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.879,595.1272,0.8739,249.9281,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.991,594.1742,0.0815,249.8661,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.102,593.1710,-0.7521,249.7895,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.212,592.3010,-1.4749,249.7149,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.324,591.2206,-2.3723,249.6132,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.435,590.4916,-3.0352,249.5397,358.2104,179.9999,0.0050,358.2104,179.9999,0.0050
1.546,589.8875,-3.5570,249.4838,354.3875,179.9993,0.0131,354.3875,179.9993,0.0131
1.657,589.5128,-3.7661,249.4621,352.3817,179.9988,0.0136,352.3817,179.9988,0.0136
1.769,589.1479,-3.8457,249.4575,351.1582,179.9986,0.0071,351.1582,179.9986,0.0071
1.880,588.8840,-3.8476,249.4624,350.7498,179.9985,-0.0006,350.7498,179.9985,-0.0006
1.991,588.5937,-3.8488,249.4683,350.7498,179.9985,-0.0006,350.7498,179.9985,-0.0006
2.102,588.3193,-3.8935,249.4675,350.7498,179.9985,-0.0006,350.7498,179.9985,-0.0006
2.214,588.0973,-3.9754,249.4595,350.7498,179.9985,-0.0006,350.7498,179.9985,-0.0006
2.324,587.8351,-4.1202,249.4431,350.7498,179.9985,-0.0006,350.7498,179.9985,-0.0006
2.437,587.6186,-4.2683,249.4266,350.7498,179.9985,-0.0006,350.7498,179.9985,-0.0006
2.547,587.3597,-4.4620,249.4067,350.7498,179.9985,-0.0006,350.7498,179.9985,-0.0006
2.658,587.1443,-4.6271,249.3914,350.7498,179.9985,-0.0006,350.7498,179.9985,-0.0006
2.769,586.8857,-4.8211,249.3753,350.7498,179.9985,-0.0006,350.7498,179.9985,-0.0006
2.882,586.6272,-5.0072,249.3617,350.7498,179.9985,-0.0006,350.7498,179.9985,-0.0006
2.991,586.4115,-5.1570,249.3519,350.7497,179.9985,-0.0006,350.7497,179.9985,-0.0006
3.103,586.1523,-5.3319,249.3416,350.7497,179.9985,-0.0006,350.7497,179.9985,-0.0006
3.214,585.9361,-5.4763,249.3336,350.7497,179.9985,-0.0006,350.7497,179.9985,-0.0006
3.325,585.6764,-5.6493,249.3241,350.6943,179.9986,359.8450,350.6943,179.9986,359.8450
3.436,585.4598,-5.7949,249.3159,350.6943,179.9986,359.8450,350.6943,179.9986,359.8450
3.547,585.1998,-5.9711,249.3053,350.6865,179.9986,359.6770,350.6865,179.9986,359.6770
3.659,584.9832,-6.1196,249.2955,350.7081,179.9985,359.5107,350.7081,179.9985,359.5107
3.770,584.7235,-6.2989,249.2820,350.7216,179.9984,359.4294,350.7216,179.9984,359.4294
3.881,584.4639,-6.4783,249.2664,350.8484,179.9967,359.1179,350.8484,179.9967,359.1179
3.991,584.2479,-6.6278,249.2508,350.8484,179.9967,359.1179,350.8484,179.9967,359.1179
4.103,583.9891,-6.8056,249.2294,350.9865,179.9943,358.9134,350.9865,179.9943,358.9134
4.215,583.7737,-6.9526,249.2090,351.0943,179.9921,358.7888,351.0943,179.9921,358.7888
4.327,583.5155,-7.1264,249.1814,351.2144,179.9894,358.6752,351.2144,179.9894,358.6752
4.451,583.2576,-7.2971,249.1505,351.4129,179.9845,358.5290,351.4129,179.9845,358.5290
4.562,583.0001,-7.4635,249.1168,351.5546,179.9807,358.4479,351.5546,179.9807,358.4479
4.673,582.7856,-7.5986,249.0866,351.8603,179.9720,358.3265,351.8603,179.9720,358.3265
4.783,582.5284,-7.7552,249.0481,352.0305,179.9669,358.2954,352.0305,179.9669,358.2954
4.894,582.3143,-7.8810,249.0150,352.3699,179.9566,358.2560,352.3699,179.9566,358.2560
5.006,582.0576,-8.0250,248.9743,352.7046,179.9464,358.2733,352.7046,179.9464,358.2733
5.116,581.8436,-8.1383,248.9404,352.9484,179.9390,358.3076,352.9484,179.9390,358.3076
5.228,581.5872,-8.2661,248.9002,353.3717,179.9268,358.4190,353.3717,179.9268,358.4190
5.343,581.3303,-8.3833,248.8622,353.7736,179.9162,358.5584,353.7736,179.9162,358.5584
5.451,581.1165,-8.4724,248.8326,354.1632,179.9069,358.7307,354.1632,179.9069,358.7307
5.561,580.9023,-8.5529,248.8056,354.5500,179.8989,358.9259,354.5500,179.8989,358.9259
5.672,580.6452,-8.6375,248.7771,355.0085,179.8913,359.1840,355.0085,179.8913,359.1840
5.783,580.3882,-8.7076,248.7532,355.4745,179.8858,359.4698,355.4745,179.8858,359.4698
5.894,580.1741,-8.7544,248.7368,355.8753,179.8830,359.7301,355.8753,179.8830,359.7301
6.004,579.9177,-8.7956,248.7207,356.3746,179.8821,0.0691,356.3746,179.8821,0.0691
6.116,579.7047,-8.8167,248.7091,356.8063,179.8837,0.3729,356.8063,179.8837,0.3729
6.227,579.4503,-8.8256,248.6954,357.3415,179.8890,0.7615,357.3415,179.8890,0.7615
6.338,579.2399,-8.8188,248.6817,357.8000,179.8965,1.1036,357.8000,179.8965,1.1036
6.450,578.9894,-8.7931,248.6596,358.3616,179.9094,1.5335,358.3616,179.9094,1.5335
6.560,578.7832,-8.7571,248.6343,358.8363,179.9237,1.9059,358.8363,179.9237,1.9059
6.672,578.5390,-8.6961,248.5934,359.4095,179.9451,2.3664,359.4095,179.9451,2.3664
6.783,578.2988,-8.6162,248.5398,359.9825,179.9711,2.8382,359.9825,179.9711,2.8382
6.896,578.1019,-8.5354,248.4843,0.4565,179.9962,3.2371,0.4565,179.9962,3.2371
7.006,577.8702,-8.4220,248.4038,1.0182,180.0304,3.7194,1.0182,180.0304,3.7194
7.118,577.6808,-8.3145,248.3248,1.4776,180.0618,4.1214,1.4776,180.0618,4.1214
7.227,577.4584,-8.1700,248.2151,2.0158,180.1029,4.6006,2.0158,180.1029,4.6006
7.339,577.2772,-8.0379,248.1111,2.4516,180.1395,4.9948,2.4516,180.1395,4.9948
7.450,577.0646,-7.8655,247.9712,2.9569,180.1858,5.4584,2.9569,180.1858,5.4584
7.561,576.8918,-7.7115,247.8419,3.3622,180.2259,5.8347,3.3622,180.2259,5.8347
7.671,576.6896,-7.5146,247.6720,3.8277,180.2754,6.2713,3.8277,180.2754,6.2713
7.783,576.4926,-7.3061,247.4861,4.2694,180.3257,6.6890,4.2694,180.3257,6.6890
7.895,576.3326,-7.1237,247.3194,4.6185,180.3678,7.0207,4.6185,180.3678,7.0207
8.005,576.1450,-6.8957,247.1056,5.0140,180.4180,7.3971,5.0140,180.4180,7.3971
8.116,575.9926,-6.6992,246.9168,5.3236,180.4591,7.6912,5.3236,180.4591,7.6912
8.228,575.8137,-6.4554,246.6786,5.5785,180.4942,7.9314,5.5785,180.4942,7.9314
8.339,575.6677,-6.2470,246.4712,5.7680,180.5211,8.1090,5.7680,180.5211,8.1090
8.449,575.4959,-5.9904,246.2125,6.0805,180.5667,8.3969,6.0805,180.5667,8.3969
8.560,575.3553,-5.7727,245.9887,6.2029,180.5850,8.5076,6.2029,180.5850,8.5076
8.672,575.1896,-5.5066,245.7106,6.4560,180.6236,8.7307,6.4560,180.6236,8.7307
8.782,575.0267,-5.2373,245.4228,6.6448,180.6530,8.8893,6.6448,180.6530,8.8893
8.894,574.8926,-5.0101,245.1766,6.7728,180.6733,8.9915,6.7728,180.6733,8.9915
9.020,574.7332,-4.7354,244.8746,6.8355,180.6833,9.0403,6.8355,180.6833,9.0403
9.130,574.5751,-4.4597,244.5667,6.9737,180.7056,9.1360,6.9737,180.7056,9.1360
9.241,574.4182,-4.1832,244.2504,6.9737,180.7056,9.1360,6.9737,180.7056,9.1360
9.352,574.2880,-3.9537,243.9809,7.1201,180.7294,9.2160,7.1201,180.7294,9.2160
9.463,574.1320,-3.6791,243.6513,7.1201,180.7294,9.2160,7.1201,180.7294,9.2160
9.573,574.0020,-3.4523,243.3731,7.1201,180.7294,9.2160,7.1201,180.7294,9.2160
9.686,573.8455,-3.1818,243.0372,7.1201,180.7294,9.2160,7.1201,180.7294,9.2160
9.799,573.7139,-2.9589,242.7612,7.1201,180.7294,9.2160,7.1201,180.7294,9.2160
9.908,573.5547,-2.6931,242.4384,7.1201,180.7294,9.2160,7.1201,180.7294,9.2160
10.021,573.4206,-2.4744,242.1749,7.1201,180.7294,9.2159,7.1201,180.7294,9.2159
10.131,573.2573,-2.2167,241.8633,7.3041,180.7592,9.0588,7.3041,180.7592,9.0588
10.240,573.1194,-2.0059,241.6073,7.3401,180.7650,8.9837,7.3401,180.7650,8.9837
10.352,572.9504,-1.7593,241.3047,7.4524,180.7826,8.6659,7.4524,180.7826,8.6659
10.463,572.7780,-1.5193,241.0093,7.4695,180.7852,8.2445,7.4695,180.7852,8.2445
10.574,572.6301,-1.3257,240.7704,7.4476,180.7821,7.9938,7.4476,180.7821,7.9938
10.685,572.4487,-1.1007,240.4930,7.3372,180.7669,7.5395,7.3372,180.7669,7.5395
10.797,572.2932,-0.9208,240.2711,7.1982,180.7489,7.0923,7.1982,180.7489,7.0923
10.907,572.1014,-0.7136,240.0177,7.0102,180.7263,6.5840,7.0102,180.7263,6.5840
11.018,571.9372,-0.5494,239.8181,6.8378,180.7068,6.1655,6.8378,180.7068,6.1655
11.130,571.7348,-0.3636,239.5932,6.6120,180.6833,5.6516,6.6120,180.6833,5.6516
11.240,571.5613,-0.2184,239.4182,6.4079,180.6638,5.2065,6.4079,180.6638,5.2065
11.351,571.3478,-0.0571,239.2237,6.1442,180.6409,4.6493,6.1442,180.6409,4.6493
11.464,571.1284,0.0897,239.0468,5.8608,180.6192,4.0669,5.8608,180.6192,4.0669
11.573,570.9407,0.1999,238.9133,5.6101,180.6024,3.5631,5.6101,180.6024,3.5631
11.686,570.7101,0.3173,238.7704,5.2933,180.5844,2.9389,5.2933,180.5844,2.9389
11.796,570.5134,0.4018,238.6662,5.0170,180.5714,2.4039,5.0170,180.5714,2.4039
11.908,570.2722,0.4871,238.5594,4.6724,180.5589,1.7474,4.6724,180.5589,1.7474
12.018,570.0671,0.5440,238.4860,4.3759,180.5513,1.1904,4.3759,180.5513,1.1904
12.128,569.8162,0.5948,238.4205,4.0112,180.5458,0.5137,4.0112,180.5458,0.5137
12.240,569.6034,0.6228,238.3889,3.7012,180.5446,359.9457,3.7012,180.5446,359.9457
12.351,569.3445,0.6382,238.3661,3.3244,180.5472,359.2630,3.3244,180.5472,359.2630
12.462,569.0833,0.6336,238.3604,2.9468,180.5543,358.5840,2.9468,180.5543,358.5840
12.573,568.8649,0.6148,238.3698,2.6351,180.5636,358.0248,2.6351,180.5636,358.0248
12.684,568.6026,0.5746,238.3986,2.2689,180.5783,357.3670,2.2689,180.5783,357.3670
12.795,568.3843,0.5269,238.4372,1.9733,180.5933,356.8331,1.9733,180.5933,356.8331
12.907,568.1229,0.4532,238.5007,1.6340,180.6139,356.2142,1.6340,180.6139,356.2142
13.018,567.9061,0.3789,238.5676,1.3675,180.6327,355.7198,1.3675,180.6327,355.7198
13.128,567.6473,0.2754,238.6638,1.0718,180.6563,355.1563,1.0718,180.6563,355.1563
13.240,567.4329,0.1780,238.7566,0.8491,180.6760,354.7145,0.8491,180.6760,354.7145
13.351,567.1772,0.0495,238.8823,0.6153,180.6987,354.2212,0.6153,180.6987,354.2212
13.462,566.9230,-0.0904,239.0224,0.4520,180.7157,353.8381,0.4520,180.7157,353.8381
13.587,566.6701,-0.2392,239.1746,0.3673,180.7250,353.6019,0.3673,180.7250,353.6019
13.698,566.4603,-0.3689,239.3092,0.2920,180.7336,353.3599,0.2920,180.7336,353.3599
13.809,566.2093,-0.5298,239.4787,0.2150,180.7428,353.0376,0.2150,180.7428,353.0376
13.920,566.0011,-0.6682,239.6263,0.1966,180.7451,352.9612,0.1966,180.7451,352.9612
14.032,565.7518,-0.8393,239.8092,0.1684,180.7486,352.8834,0.1684,180.7486,352.8834
14.143,565.5032,-1.0150,239.9970,0.1037,180.7567,352.7294,0.1037,180.7567,352.7294
14.254,565.2968,-1.1651,240.1570,0.0044,180.7695,352.5983,0.0044,180.7695,352.5983
14.365,565.0504,-1.3484,240.3528,359.9508,180.7765,352.5370,359.9508,180.7765,352.5370
14.476,564.8455,-1.5039,240.5187,359.7332,180.8053,352.4166,359.7332,180.8053,352.4166
