time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.8349,5.2159,250.4544,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.108,598.5438,4.9589,250.4605,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.221,598.2030,4.6661,250.4651,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.331,597.6889,4.2305,250.4700,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.443,597.0728,3.7129,250.4719,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.555,596.4908,3.2258,250.4608,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.666,595.7203,2.5814,250.4219,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.777,595.0247,1.9998,250.3655,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.888,594.1329,1.2539,250.2688,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.000,593.3472,0.5966,250.1653,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.112,592.3589,-0.2305,250.0158,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.222,591.5014,-0.9484,249.8720,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.333,590.4360,-1.8406,249.6789,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.444,589.5320,-2.6758,249.5172,0.2510,3.8000,-0.4500,358.2210,179.9999,0.0045,0.0000,0.0000,0.0000
1.556,589.0190,-3.1312,249.4429,0.2510,3.8000,-0.4500,354.9622,179.9995,0.0112,0.0000,0.0000,0.0000
1.667,588.5620,-3.3872,249.3893,0.2510,3.8000,-0.4500,352.4272,179.9989,0.0125,0.0000,0.0000,0.0000
1.778,588.2563,-3.4431,249.3623,0.2510,3.8000,-0.4500,351.3503,179.9987,0.0082,0.0000,0.0000,0.0000
1.888,587.9394,-3.4308,249.3379,0.2510,3.8000,-0.4500,350.7992,179.9987,0.0000,0.0000,0.0000,0.0000
2.000,587.6988,-3.4173,249.3159,0.2510,3.8000,-0.4500,350.7992,179.9987,0.0000,0.0000,0.0000,0.0000
2.111,587.4257,-3.4455,249.2830,0.2510,3.8000,-0.4500,350.7992,179.9987,0.0000,0.0000,0.0000,0.0000
2.224,587.1620,-3.5359,249.2406,0.2510,3.8000,-0.4500,350.7992,179.9987,0.0000,0.0000,0.0000,0.0000
2.333,586.9461,-3.6527,249.1993,0.2510,3.8000,-0.4500,350.7992,179.9987,0.0000,0.0000,0.0000,0.0000
2.445,586.6892,-3.8262,249.1456,0.2510,3.8000,-0.4500,350.7992,179.9987,0.0000,0.0000,0.0000,0.0000
2.556,586.4763,-3.9848,249.0996,0.2510,3.8000,-0.4500,350.7992,179.9987,0.0000,0.0000,0.0000,0.0000
2.667,586.2213,-4.1781,249.0449,0.2510,3.8000,-0.4500,350.7992,179.9987,0.0000,0.0000,0.0000,0.0000
2.778,586.0089,-4.3355,249.0008,0.2510,3.8000,-0.4500,350.7992,179.9987,0.0000,0.0000,0.0000,0.0000
2.889,585.7540,-4.5167,248.9498,0.2510,3.8000,-0.4500,350.7992,179.9987,0.0000,0.0000,0.0000,0.0000
3.001,585.5415,-4.6619,248.9088,0.2510,3.8000,-0.4500,350.7992,179.9987,0.0000,0.0000,0.0000,0.0000
3.111,585.2859,-4.8327,248.8607,0.2510,3.8000,-0.4500,350.7406,179.9987,359.9450,0.0000,0.0000,0.0000
3.222,585.0729,-4.9720,248.8208,0.2510,3.8000,-0.4500,350.7406,179.9987,359.9450,0.0000,0.0000,0.0000
3.334,584.8171,-5.1395,248.7729,0.2510,3.8000,-0.4500,350.7406,179.9987,359.9450,0.0000,0.0000,0.0000
3.444,584.5603,-5.3121,248.7246,0.2510,3.8000,-0.4500,350.6641,179.9989,359.7988,0.0000,0.0000,0.0000
3.558,584.3471,-5.4551,248.6842,0.2510,3.8000,-0.4500,350.6641,179.9989,359.7988,0.0000,0.0000,0.0000
3.666,584.0906,-5.6306,248.6353,0.2510,3.8000,-0.4500,350.6486,179.9989,359.7179,0.0000,0.0000,0.0000
3.778,583.8759,-5.7800,248.5940,0.2510,3.8000,-0.4500,350.6349,179.9990,359.5533,0.0000,0.0000,0.0000
3.889,583.6183,-5.9595,248.5440,0.2510,3.8000,-0.4500,350.6533,179.9988,359.3916,0.0000,0.0000,0.0000
4.000,583.4050,-6.1073,248.5023,0.2510,3.8000,-0.4500,350.6533,179.9988,359.3916,0.0000,0.0000,0.0000
4.111,583.1473,-6.2877,248.4507,0.2510,3.8000,-0.4500,350.7230,179.9979,359.1609,0.0000,0.0000,0.0000
4.223,582.8906,-6.4648,248.3986,0.2510,3.8000,-0.4500,350.7640,179.9973,359.0883,0.0000,0.0000,0.0000
4.333,582.6764,-6.6120,248.3539,0.2510,3.8000,-0.4500,350.8505,179.9958,358.9457,0.0000,0.0000,0.0000
4.458,582.4197,-6.7858,248.2990,0.2510,3.8000,-0.4500,350.9561,179.9937,358.8236,0.0000,0.0000,0.0000
4.570,582.1631,-6.9565,248.2427,0.2510,3.8000,-0.4500,351.1430,179.9896,358.6677,0.0000,0.0000,0.0000
4.682,581.9495,-7.0954,248.2002,0.2510,3.8000,-0.4500,351.2141,179.9879,358.6288,0.0000,0.0000,0.0000
4.792,581.6925,-7.2590,248.1558,0.2510,3.8000,-0.4500,351.3607,179.9842,358.5558,0.0000,0.0000,0.0000
4.905,581.4349,-7.4165,248.1151,0.2510,3.8000,-0.4500,351.6828,179.9758,358.4675,0.0000,0.0000,0.0000
5.014,581.2207,-7.5426,248.0952,0.2510,3.8000,-0.4500,352.0139,179.9667,358.4423,0.0000,0.0000,0.0000
5.125,580.9641,-7.6911,248.1037,0.2510,3.8000,-0.4500,352.2644,179.9599,358.4578,0.0000,0.0000,0.0000
5.236,580.7506,-7.8072,248.1251,0.2510,3.8000,-0.4500,352.6908,179.9485,358.5284,0.0000,0.0000,0.0000
5.347,580.4944,-7.9393,248.1615,0.2510,3.8000,-0.4500,353.0250,179.9401,358.6213,0.0000,0.0000,0.0000
5.458,580.2812,-8.0385,248.1952,0.2510,3.8000,-0.4500,353.4509,179.9303,358.7708,0.0000,0.0000,0.0000
5.570,580.0253,-8.1454,248.2367,0.2510,3.8000,-0.4500,353.9404,179.9206,358.9772,0.0000,0.0000,0.0000
5.682,579.8120,-8.2232,248.2701,0.2510,3.8000,-0.4500,354.3414,179.9141,359.1712,0.0000,0.0000,0.0000
5.792,579.5561,-8.3017,248.3066,0.2510,3.8000,-0.4500,354.8298,179.9081,359.4323,0.0000,0.0000,0.0000
5.902,579.3007,-8.3628,248.3385,0.2510,3.8000,-0.4500,355.3344,179.9044,359.7251,0.0000,0.0000,0.0000
6.013,579.0880,-8.3999,248.3616,0.2510,3.8000,-0.4500,355.7692,179.9033,359.9930,0.0000,0.0000,0.0000
6.126,578.8339,-8.4272,248.3863,0.2510,3.8000,-0.4500,356.3081,179.9049,0.3420,0.0000,0.0000,0.0000
6.237,578.6232,-8.4353,248.4066,0.2510,3.8000,-0.4500,356.7707,179.9089,0.6544,0.0000,0.0000,0.0000
6.347,578.3724,-8.4269,248.4334,0.2510,3.8000,-0.4500,357.3411,179.9174,1.0529,0.0000,0.0000,0.0000
6.459,578.1655,-8.4046,248.4595,0.2510,3.8000,-0.4500,357.8284,179.9278,1.4028,0.0000,0.0000,0.0000
6.570,577.9202,-8.3590,248.4965,0.2510,3.8000,-0.4500,358.4260,179.9447,1.8414,0.0000,0.0000,0.0000
