time_sec,world_x,world_y,world_z,local_x,local_y,local_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.000,598.7960,5.1807,250.4555,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.120,598.4825,4.9058,250.4622,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.248,598.0439,4.5306,250.4682,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.358,597.5931,4.1497,250.4726,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.470,596.9609,3.6194,250.4774,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.581,596.2399,3.0179,250.4813,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.706,595.4407,2.3534,250.4796,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.818,594.7220,1.7567,250.4700,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
0.930,593.8031,0.9947,250.4468,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.030,592.9955,0.3253,250.4175,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.137,592.1675,-0.3605,250.3802,0.2510,3.8000,-0.4500,0.0000,180.0000,0.0000,0.0000,0.0000,0.0000
1.263,591.3321,-1.0561,250.3429,0.2510,3.8000,-0.4500,358.9906,180.0000,0.0039,0.0000,0.0000,0.0000
1.374,590.9171,-1.2888,250.3285,0.2510,3.8000,-0.4500,358.0006,179.9999,0.0077,0.0000,0.0000,0.0000
1.487,590.5247,-1.3451,250.3171,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
1.610,590.1961,-1.2666,250.3070,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
1.722,589.9013,-1.1575,250.2989,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
1.832,589.6696,-1.0887,250.2927,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
1.944,589.4008,-1.0557,250.2850,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
2.044,589.1810,-1.0697,250.2779,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
2.152,588.9634,-1.1126,250.2703,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
2.264,588.7039,-1.1867,250.2610,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
2.376,588.4883,-1.2555,250.2535,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
2.486,588.2300,-1.3362,250.2451,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
2.597,588.0150,-1.3976,250.2387,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
2.708,587.7572,-1.4632,250.2317,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
2.819,587.5423,-1.5123,250.2266,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
2.933,587.2841,-1.5672,250.2219,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
3.042,587.0258,-1.6204,250.2187,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
3.152,586.8104,-1.6652,250.2168,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
3.278,586.5517,-1.7202,250.2150,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
3.402,586.2496,-1.7865,250.2134,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
3.514,586.0338,-1.8350,250.2123,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
3.625,585.7745,-1.8940,250.2111,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
3.750,585.5153,-1.9533,250.2098,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
3.862,585.2559,-2.0124,250.2065,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
3.974,585.0401,-2.0614,250.1983,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
4.098,584.7817,-2.1193,250.1809,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
4.207,584.5239,-2.1765,250.1567,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0101,0.0000,0.0000,0.0000
4.333,584.2663,-2.2328,250.1274,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
4.444,584.0089,-2.2884,250.0947,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
4.555,583.7943,-2.3339,250.0656,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
4.680,583.4940,-2.3962,250.0231,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
4.791,583.2794,-2.4395,249.9919,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0100,0.0000,0.0000,0.0000
4.901,583.0220,-2.4898,249.9538,0.2510,3.8000,-0.4500,357.3135,179.9998,0.0101,0.0000,0.0000,0.0000
5.027,582.7639,-2.5393,249.9146,0.2510,3.8000,-0.4500,357.4210,179.9996,359.8805,0.0000,0.0000,0.0000
5.138,582.5496,-2.5775,249.8824,0.2510,3.8000,-0.4500,357.4210,179.9996,359.8805,0.0000,0.0000,0.0000
5.252,582.2923,-2.6209,249.8430,0.2510,3.8000,-0.4500,357.4882,179.9995,359.8348,0.0000,0.0000,0.0000
5.375,582.0352,-2.6609,249.8024,0.2510,3.8000,-0.4500,357.5617,179.9993,359.7985,0.0000,0.0000,0.0000
5.485,581.7788,-2.6971,249.7565,0.2510,3.8000,-0.4500,357.6359,179.9990,359.7640,0.0000,0.0000,0.0000
5.597,581.5657,-2.7234,249.7123,0.2510,3.8000,-0.4500,357.7984,179.9982,359.7301,0.0000,0.0000,0.0000
5.708,581.3109,-2.7513,249.6546,0.2510,3.8000,-0.4500,357.8792,179.9979,359.7236,0.0000,0.0000,0.0000
5.819,581.0991,-2.7703,249.6024,0.2510,3.8000,-0.4500,358.0419,179.9971,359.7229,0.0000,0.0000,0.0000
5.932,580.8456,-2.7892,249.5374,0.2510,3.8000,-0.4500,358.1231,179.9967,359.7338,0.0000,0.0000,0.0000
6.055,580.5931,-2.8011,249.4690,0.2510,3.8000,-0.4500,358.3693,179.9957,359.7847,0.0000,0.0000,0.0000
6.179,580.3412,-2.8071,249.3990,0.2510,3.8000,-0.4500,358.6112,179.9949,359.8732,0.0000,0.0000,0.0000
6.305,580.0477,-2.8089,249.3167,0.2510,3.8000,-0.4500,358.7633,179.9947,359.9346,0.0000,0.0000,0.0000
6.417,579.8391,-2.8032,249.2564,0.2510,3.8000,-0.4500,358.9831,179.9946,0.0526,0.0000,0.0000,0.0000
6.527,579.5892,-2.7915,249.1819,0.2510,3.8000,-0.4500,359.1951,179.9951,0.1818,0.0000,0.0000,0.0000
6.653,579.3403,-2.7737,249.1035,0.2510,3.8000,-0.4500,359.4037,179.9960,0.3243,0.0000,0.0000,0.0000
6.777,579.0920,-2.7511,249.0215,0.2510,3.8000,-0.4500,359.5370,179.9969,0.4208,0.0000,0.0000,0.0000
6.902,578.8043,-2.7146,248.9211,0.2510,3.8000,-0.4500,359.7971,179.9992,0.6218,0.0000,0.0000,0.0000
