time_sec,world_x,world_y,world_z,world_rot_x,world_rot_y,world_rot_z,local_rot_x,local_rot_y,local_rot_z
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.000,599.8389,4.8359,250.0044,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.109,599.6057,4.6292,250.0096,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.210,599.2819,4.3500,250.0142,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.333,598.7861,3.9291,250.0192,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.444,598.1859,3.4245,250.0236,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.570,597.4933,2.8458,250.0275,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.695,596.5823,2.0882,250.0315,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.806,595.8715,1.4989,250.0341,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
0.917,594.9600,0.7450,250.0368,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.028,594.1567,0.0816,250.0388,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.140,593.1600,-0.7405,250.0410,0.0000,180.0000,0.0000,0.0000,180.0000,0.0000
1.250,592.5218,-1.2796,250.0431,359.4536,180.0000,0.0022,359.4536,180.0000,0.0022
1.362,591.9775,-1.6297,250.0510,358.1635,179.9999,0.0073,358.1635,179.9999,0.0073
1.473,591.6292,-1.7162,250.0631,357.4839,179.9998,0.0098,357.4839,179.9998,0.0098
1.584,591.2807,-1.6719,250.0823,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
1.697,590.9743,-1.5670,250.1036,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
1.821,590.6912,-1.4766,250.1349,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
1.932,590.4661,-1.4396,250.1731,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
2.057,590.1603,-1.4530,250.2423,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
2.169,589.9458,-1.4993,250.3002,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
2.280,589.6909,-1.5781,250.3765,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
2.391,589.4797,-1.6511,250.4443,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
2.501,589.2272,-1.7370,250.5298,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
2.613,589.0172,-1.8029,250.6038,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
2.724,588.7654,-1.8738,250.6950,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
2.835,588.5138,-1.9374,250.7878,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
2.946,588.3041,-1.9871,250.8660,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
3.059,588.0526,-2.0450,250.9603,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
3.168,587.8429,-2.0933,251.0390,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
3.293,587.5910,-2.1523,251.1334,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
3.418,587.2971,-2.2229,251.2435,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
3.529,587.0870,-2.2741,251.3219,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
3.641,586.8347,-2.3361,251.4158,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
3.751,586.6245,-2.3877,251.4939,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
3.856,586.3718,-2.4492,251.5874,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
3.969,586.1612,-2.5000,251.6651,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
4.083,585.9081,-2.5602,251.7581,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
4.195,585.6551,-2.6194,251.8509,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
4.306,585.4439,-2.6679,251.9280,357.3073,179.9997,0.0104,357.3073,179.9997,0.0104
4.417,585.1905,-2.7250,252.0202,357.3480,179.9997,359.9377,357.3480,179.9997,359.9377
4.529,584.9793,-2.7715,252.0974,357.4450,179.9995,359.7995,357.4450,179.9995,359.7995
4.653,584.7256,-2.8258,252.1905,357.4450,179.9995,359.7995,357.4450,179.9995,359.7995
4.764,584.4721,-2.8780,252.2841,357.5582,179.9990,359.6825,357.5582,179.9990,359.6825
4.889,584.2187,-2.9277,252.3780,357.5582,179.9990,359.6825,357.5582,179.9990,359.6825
5.001,583.9655,-2.9744,252.4720,357.7710,179.9976,359.5459,357.7710,179.9976,359.5459
5.112,583.7543,-3.0108,252.5494,357.7710,179.9975,359.5459,357.7710,179.9975,359.5459
5.237,583.4587,-3.0574,252.6535,357.9294,179.9962,359.4934,357.9294,179.9962,359.4934
5.350,583.2472,-3.0871,252.7252,358.0937,179.9947,359.4518,358.0937,179.9947,359.4518
5.473,582.9933,-3.1186,252.8085,358.2630,179.9931,359.4399,358.2630,179.9931,359.4399
5.585,582.7397,-3.1452,252.8898,358.4282,179.9914,359.4340,358.4282,179.9914,359.4340
5.696,582.4861,-3.1666,252.9695,358.6772,179.9890,359.4689,358.6772,179.9890,359.4689
