# Angle Log - 2026-05-13 18:41:31
Time,EulerX,EulerY,EulerZ
0.00,0.00,180.00,0.00
0.50,0.00,180.00,0.00
1.00,0.00,180.00,0.00
1.50,0.00,180.00,0.00
2.02,0.00,180.00,0.00
2.52,0.00,180.00,0.00
3.01,0.00,180.00,0.00
3.51,0.35,180.00,0.03
4.01,2.98,180.01,0.40
4.52,3.18,180.01,0.67
5.00,3.37,180.01,1.04
5.50,3.51,180.02,1.52
6.02,3.58,180.02,1.85
6.50,3.64,180.02,2.26
7.00,3.68,180.02,2.58
7.51,3.69,180.02,2.66
8.01,3.70,180.02,2.82
8.51,3.73,180.02,2.98
9.01,3.77,180.03,3.14
9.51,3.83,180.03,3.28
10.13,3.99,180.04,3.57
10.51,4.12,180.05,3.77
11.01,4.29,180.06,4.04
11.50,4.45,180.07,4.33
12.02,4.57,180.08,4.63
12.52,4.61,180.08,4.87
13.01,4.57,180.08,5.44
13.51,4.47,180.07,5.74
14.00,4.18,180.04,6.24
14.50,4.12,180.03,6.31
15.01,4.13,180.03,6.31
15.50,4.13,180.03,6.31
16.01,4.13,180.03,6.31
16.51,4.13,180.03,6.31
17.01,4.13,180.03,6.31
17.50,4.13,180.03,6.31
18.03,4.13,180.03,6.31
18.52,4.02,180.02,6.36
19.00,4.02,180.02,6.36
19.52,4.02,180.02,6.36
20.01,2.80,179.89,6.09
20.52,1.61,179.77,5.27
